count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1683843327.860496,1.6065196048464792e-12,1.5255127022717474e-11,1.8636857335163626e-10,2.1703328023647828e-10,9.182547978285951e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9393,5:15:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.6065196048464792e-12, 1.5255127022717474e-11, 1.8636857335163626e-10, 2.1703328023647828e-10, 9.182547978285951e-14]",True
2,1683843328.3515477,1.5859722389544029e-12,1.5528019842170337e-11,1.8662256462409488e-10,2.192031278713813e-10,9.64366119512311e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9394,5:15:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.5859722389544029e-12, 1.5528019842170337e-11, 1.8662256462409488e-10, 2.192031278713813e-10, 9.64366119512311e-14]",False
3,1683843330.8886528,1.4913772257083013e-12,1.5167402056537327e-11,1.8810251967149583e-10,2.1865369237428212e-10,1.0101853164731778e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9395,5:15:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4913772257083013e-12, 1.5167402056537327e-11, 1.8810251967149583e-10, 2.1865369237428212e-10, 1.0101853164731778e-13]",True
4,1683843333.498373,1.4241853139515537e-12,1.5244477555298452e-11,1.882777406203573e-10,2.1907273217713907e-10,9.55240864164951e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9396,5:15:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4241853139515537e-12, 1.5244477555298452e-11, 1.882777406203573e-10, 2.1907273217713907e-10, 9.55240864164951e-14]",False
5,1683843336.097838,1.2502419889301453e-12,1.5176105164216303e-11,1.8823274883228436e-10,2.2005375299727348e-10,9.52548315832219e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9397,5:15:33 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.2502419889301453e-12, 1.5176105164216303e-11, 1.8823274883228436e-10, 2.2005375299727348e-10, 9.52548315832219e-14]",True
6,1683843338.6810906,1.18238285915645e-12,1.5157892302442022e-11,1.8874345142361193e-10,2.2068646909900735e-10,9.732756186273464e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9398,5:15:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.18238285915645e-12, 1.5157892302442022e-11, 1.8874345142361193e-10, 2.2068646909900735e-10, 9.732756186273464e-14]",False
7,1683843341.237049,1.1947905772385914e-12,1.5093735289406496e-11,1.885246264654583e-10,2.2130607069126285e-10,9.792517410020865e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9399,5:15:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1947905772385914e-12, 1.5093735289406496e-11, 1.885246264654583e-10, 2.2130607069126285e-10, 9.792517410020865e-14]",True
8,1683843343.7629364,1.198460710012672e-12,1.5206365680531242e-11,1.8768396559121214e-10,2.2232722607373745e-10,8.81653826551379e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9400,5:15:41 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.198460710012672e-12, 1.5206365680531242e-11, 1.8768396559121214e-10, 2.2232722607373745e-10, 8.81653826551379e-14]",False
9,1683843346.3602011,1.1264126567253618e-12,1.52344369758195e-11,1.8920240374420416e-10,2.2228976992444416e-10,1.0099165020970371e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9401,5:15:44 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1264126567253618e-12, 1.52344369758195e-11, 1.8920240374420416e-10, 2.2228976992444416e-10, 1.0099165020970371e-13]",True
10,1683843349.0437045,1.1636063206726943e-12,1.523170652106831e-11,1.8891253839026234e-10,2.2245824626843103e-10,9.21453329762699e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9402,5:15:46 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1636063206726943e-12, 1.523170652106831e-11, 1.8891253839026234e-10, 2.2245824626843103e-10, 9.21453329762699e-14]",False
11,1683843352.0694451,1.0519089939375892e-12,1.5410579062846708e-11,1.885867850770495e-10,2.2178768543934524e-10,9.362747122737547e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9403,5:15:49 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0519089939375892e-12, 1.5410579062846708e-11, 1.885867850770495e-10, 2.2178768543934524e-10, 9.362747122737547e-14]",True
12,1683843354.5773888,1.046469768478664e-12,1.5195369268417025e-11,1.8984919192277516e-10,2.213365463132888e-10,9.590274402523566e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9404,5:15:52 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.046469768478664e-12, 1.5195369268417025e-11, 1.8984919192277516e-10, 2.213365463132888e-10, 9.590274402523566e-14]",False
13,1683843357.0993865,9.869010990370963e-13,1.5217155660551818e-11,1.9023893571556982e-10,2.2233094532086994e-10,9.464532022690486e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9405,5:15:54 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.869010990370963e-13, 1.5217155660551818e-11, 1.9023893571556982e-10, 2.2233094532086994e-10, 9.464532022690486e-14]",True
14,1683843359.6361492,9.729743052910855e-13,1.5160586328000214e-11,1.890321510433779e-10,2.2427204537933676e-10,9.579750865186878e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9406,5:15:57 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.729743052910855e-13, 1.5160586328000214e-11, 1.890321510433779e-10, 2.2427204537933676e-10, 9.579750865186878e-14]",False
15,1683843362.191311,9.521531783504567e-13,1.5208024076174276e-11,1.9042580012840205e-10,2.2360574503110797e-10,9.240967501844902e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9407,5:16:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.521531783504567e-13, 1.5208024076174276e-11, 1.9042580012840205e-10, 2.2360574503110797e-10, 9.240967501844902e-14]",True
16,1683843364.7775247,9.55227758871191e-13,1.532492882594383e-11,1.9015078400741459e-10,2.234678136980861e-10,9.3386066837408e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9408,5:16:02 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.55227758871191e-13, 1.532492882594383e-11, 1.9015078400741459e-10, 2.234678136980861e-10, 9.3386066837408e-14]",False
17,1683843367.7992523,9.030894521783184e-13,1.5128405472797368e-11,1.9027843189967086e-10,2.230787221613184e-10,9.043734863637201e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9409,5:16:05 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.030894521783184e-13, 1.5128405472797368e-11, 1.9027843189967086e-10, 2.230787221613184e-10, 9.043734863637201e-14]",True
