,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_03062023,lb,0.004072681373334834,8.823893487889456e-05,7443,1124,,1678123169.941568,10000-3553-14886-001.csv
hb01_03062023,hb,0.004273426930637844,0.00010498109531910862,7444,1124,,1678124413.973013,10000-3554-14888-001.csv
std1125,std,1.163411993405716,0.002467638088801204,7445,1125,,1678125064.790521,10000-3555-14890-001.csv
20UM06Z_01,zirc,2.769385890439417,0.0055741379751520015,7447,1125,,1678128249.2430599,10000-3557-14894-001.csv
20UM06Z_01_re1,zirc,0.4025185770142092,0.00101836175803151,7448,1125,"laser quit, used laser manually",1678130653.0254078,10000-3558-14896-001.csv
20UM06Z_01_re2,zirc,0.039628252294070895,0.00047425263007176607,7449,1125,,1678132035.84492,10000-3559-14898-001.csv
20UM06Z_02,zirc,2.2979088928737186,0.0035793125194792746,7450,1125,,1678133407.9831169,10000-3560-14900-001.csv
20UM06Z_02_re1,zirc,0.004745217146635916,7.861938317099647e-05,7451,1125,,1678134631.0208986,10000-3561-14902-001.csv
20UM06Z_03,zirc,5.49187480168281,0.006233107769577088,7452,1125,,1678136022.889874,10000-3562-14904-001.csv
20UM06Z_03_re1,zirc,0.004702774070458131,3.675626493309573e-05,7453,1125,,1678137211.6395986,10000-3563-14906-001.csv
std1126,std,1.1646275211475559,0.0018266295269243797,7454,1126,,1678137854.8280592,10000-3564-14908-001.csv
20UM06Z_04,zirc,2.409672953898542,0.0037430591088019926,7455,1126,,1678139433.1456633,10000-3565-14910-001.csv
20UM06Z_04_re1,zirc,0.10207455417360503,0.00043617129756528904,7456,1126,re-extract 3.90%,1678140608.359843,10000-3566-14912-001.csv
20UM06Z_04_re2,zirc,0.19206220996276785,0.0005498357098177838,7457,1126,re-extract 6.97%,1678141783.9490943,10000-3567-14914-001.csv
20UM06Z_04_re3,zirc,0.004694518988770194,9.507082546634961e-05,7458,1126,re-extract 0.02%,1678143048.2915843,10000-3568-14916-001.csv
std1127,std,1.1632986235899718,0.0020714525572032415,7459,1127,,1678143677.8421867,10000-3569-14918-001.csv
lb03_03072023,lb,0.004040681460121086,6.697167204352831e-05,7462,1127,,1678200404.243379,10000-3572-14924-001.csv
hb01_03072023,hb,0.004360496350780745,7.988139252535267e-05,7463,1127,,1678201908.8322709,10000-3573-14926-001.csv
std1128,std,1.1654669640955295,0.0018428546390150537,7464,1128,,1678202461.9463687,10000-3574-14928-001.csv
20UM06z_05,zirc,3.2287658709377505,0.003972710110560074,7465,1128,,1678203669.9644763,10000-3575-14930-001.csv
20UM06z_05_re1,zirc,0.3988829201783038,0.000945651261458527,7466,1128,re-extract 10.89%,1678204847.0624857,10000-3576-14932-001.csv
20UM06z_05_re2,zirc,0.3091604711123098,0.0006577533315429529,7467,1128,re-extract 7.76%,1678205963.3897555,10000-3577-14934-001.csv
20UM06Z_06,zirc,2.5912078962353013,0.003955269554720559,7468,1128,,1678207284.6970038,10000-3578-14936-001.csv
20UM06Z_06_re1,zirc,0.30909889205851865,0.0007658235269054938,7469,1128,re-extract 10.52%,1678208424.651553,10000-3579-14938-001.csv
20UM06Z_06_re2,zirc,0.14079307427815796,0.0005657089826261458,7470,1128,re-extract 4.5%,1678209588.4912348,10000-3580-14940-001.csv
std1129,std,1.1655129384338303,0.0014987154110718047,7471,1129,,1678210278.1134598,10000-3581-14942-001.csv
20UM06Z_07,zirc,2.1744646934977774,0.0033751447451113694,7472,1129,,1678211478.3975894,10000-3582-14944-001.csv
20UM06Z_07_re1,zirc,0.27640942158544607,0.0009119840123864022,7473,1129,11.12% remaining,1678212592.6064882,10000-3583-14946-001.csv
20UM06Z_07_re2,zirc,0.2640850965031156,0.0007869012061953441,7474,1129,9.6% remaining,1678213884.942746,10000-3584-14948-001.csv
20UM06Z_07_re3,zirc,0.10078835971060011,0.000393913675942693,7475,1129,3.4% remaining,1678215127.6022675,10000-3585-14950-001.csv
FCTZ_AM_02,zirc,0.5262186141952582,0.001183396623085133,7476,1129,15 min lasing,1678217728.1048725,10000-3586-14952-001.csv
FCTZ_AM_02_re1,zirc,0.006081074013491597,8.86415920810587e-05,7477,1129,re-extract .3%; 15 min lasing,1678219274.322182,10000-3587-14954-001.csv
20UM06Z_08,zirc,1.42236255797219,0.0021570684838685345,7478,1129,,1678220912.7771275,10000-3588-14956-001.csv
20UM06Z_08_re1,zirc,0.2734638724501134,0.0006982223345469784,7479,1129,15.91% re-extract; 60s lasing before continuing,1678224391.402177,10000-3589-14958-001.csv
20UM06Z_08_re2,zirc,0.004858040940756493,9.030590963828562e-05,7480,1129,re-extract 0.03%,1678225921.8489897,10000-3590-14960-001.csv
std1130,std,1.1740286815393763,0.0017169809815987265,7481,1130,,1678226902.4512484,10000-3591-14962-001.csv
20UM07Z_01,zirc,0.21830953460314384,0.0006534468627363391,7482,1130,,1678229209.2676885,10000-3592-14964-001.csv
20UM07Z_01_re1,zirc,0.004387176775124816,8.443618647321224e-05,7483,1130,re-extract 0.01%,1678230687.7999272,10000-3593-14966-001.csv
20UM06z_05_re3,zirc,0.1889315969701994,0.0005804068139211562,7484,1130,re-extract 4.49%,1678232457.268798,10000-3594-14968-001.csv
20UM06z_05_re4,zirc,0.07740065263100834,0.00031334366572216646,7485,1130,re-extract 1.74%,1678234302.312326,10000-3595-14970-001.csv
20UM06Z_06_re3,zirc,0.22713999967802562,0.0005522793612975315,7486,1130,re-extract 6.84%,1678235924.887083,10000-3596-14972-001.csv
20UM06Z_06_re4,zirc,0.013100266013246561,0.0001357332055137343,7487,1130,re-extract 0.27%,1678238084.56119,10000-3597-14974-001.csv
std1131,std,1.1652312760166705,0.0016159705794540297,7488,1131,,1678238648.379599,10000-3598-14976-001.csv
lb03_03082023,lb,0.004446775956625853,8.271768390669485e-05,7491,1131,,1678286432.9541917,10000-3601-14982-001.csv
hb01_03082023,hb,0.004063594402259968,8.021659726173155e-05,7492,1131,,1678287972.5544853,10000-3602-14984-001.csv
std1132,std,1.1657571394185278,0.0020410772234416927,7493,1132,,1678288722.8493967,10000-3603-14986-001.csv
20UM07Z_02,zirc,0.4371602225569252,0.0010494135903885448,7494,1132,,1678290338.7351162,10000-3604-14988-001.csv
20UM07Z_02_re1,zirc,0.004340192309162904,7.361669484235833e-05,7495,1132,re-extract 0.06%,1678291781.257475,10000-3605-14990-001.csv
20UM07Z_04,zirc,0.07458560938900996,0.00031691301943223484,7496,1132,,1678293344.1950521,10000-3606-14992-001.csv
20UM07Z_04_re1,zirc,0.004499624404304599,8.197061631966277e-05,7497,1132,re-extract 0.58%,1678295069.5966666,10000-3607-14994-001.csv
22DP01_C1_1,zirc,3.340883536408749,0.00587297959542852,7498,1132,,1678296677.0416074,10000-3608-14996-001.csv
22DP01_C1_1_re1,zirc,0.26806463888214793,0.0006327373194160703,7499,1132,re-extract 7.32%,1678298099.6912327,10000-3609-14998-001.csv
22DP01_C1_1_re2,zirc,0.3015627819902168,0.0007535261108402257,7500,1132,re-extract 7.62%,1678299547.7548418,10000-3610-15000-001.csv
22DP01_C1_1_re3,zirc,0.1981241416914547,0.0006621618001541578,7501,1132,re-extract 4.74%,1678301006.8244932,10000-3611-15002-001.csv
22DP01_C1_1_re4,zirc,0.05027422506596306,0.00027003342150971,7502,1132,re-extract 1.12%,1678302547.0150852,10000-3612-15004-001.csv
std1133,std,1.16136063368492,0.0023657141599547978,7503,1133,,1678303085.817894,10000-3613-15006-001.csv
22DP01_C1_2,zirc,5.043653639565152,0.0067886807830386635,7504,1133,,1678304698.9481175,10000-3614-15008-001.csv
22DP01_C1_2_re1,zirc,0.4418740131485063,0.0010870254941873195,7505,1133,7.99% remaining,1678306288.3967233,10000-3615-15010-001.csv
22DP01_C1_2_re2,zirc,0.5332366243175602,0.0012563150085803056,7506,1133,8.80% remaining,1678307762.6499403,10000-3616-15012-001.csv
22DP01_C1_2_re3,zirc,0.00654438905489101,0.0001020012713863033,7507,1133,0.04% remaining,1678309734.1039171,10000-3617-15014-001.csv
22DP01_C1_3,zirc,5.025657160274755,0.0064540355314992226,7508,1133,,1678311221.853718,10000-3618-15016-001.csv
22DP01_C1_3_re1,zirc,0.006185971645703387,0.00011641490829715398,7509,1133,re-extract 0.04%,1678312646.7418451,10000-3619-15018-001.csv
std1134,std,1.166747912868989,0.0015463532562094027,7510,1134,,1678313226.8931484,10000-3620-15020-001.csv
22DP01_C1_4,zirc,4.835805013075141,0.008520802073874583,7511,1134,,1678315030.7990894,10000-3621-15022-001.csv
22DP01_C1_4_re1,zirc,0.00444955490471779,7.346037844239818e-05,7512,1134,re-extract 0.01%,1678316573.3576415,10000-3622-15024-001.csv
FCTZ_AM_04,zirc,0.2573866232833273,0.000814407360421486,7513,1134,,1678318134.792409,10000-3623-15026-001.csv
FCTZ_AM_04_re1,zirc,0.005795735896464347,9.283058953687657e-05,7514,1134,re-extract 0.67%,1678319585.310673,10000-3624-15028-001.csv
22DP01_C1_5,zirc,5.760367756676802,0.009031294960749517,7515,1134,,1678321166.823886,10000-3625-15030-001.csv
22DP01_C1_5_re1,zirc,0.4375724843022458,0.0006863051353988495,7516,1134,re-extract 7.00%,1678322589.5640204,10000-3626-15032-001.csv
22DP01_C1_5_re2,zirc,0.20909332456290772,0.0007058810482473295,7517,1134,re-extract 3.20%,1678324050.6029744,10000-3627-15034-001.csv
22DP01_C1_5_re3,zirc,0.2028655050418437,0.0006874094310627534,7518,1134,re-extract 3.01%,1678325695.2525082,10000-3628-15036-001.csv
std1135,std,1.1632451561344652,0.0024702725204981493,7519,1135,,1678326273.2309573,10000-3629-15038-001.csv
