count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1689687206.286779,1.6507936510812282e-12,1.3226256895260136e-11,1.6632176191855308e-10,7.230524772666724e-13,8.915941986445408e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),946,8:33:22 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.6507936510812282e-12, 1.3226256895260136e-11, 1.6632176191855308e-10, 7.230524772666724e-13, 8.915941986445408e-14]",False
2,1689687207.3868818,1.4360757591772022e-12,1.3368270032620977e-11,1.6662558832702956e-10,7.52921542387236e-13,9.163994568609293e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),947,8:33:25 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4360757591772022e-12, 1.3368270032620977e-11, 1.6662558832702956e-10, 7.52921542387236e-13, 9.163994568609293e-14]",True
3,1689687209.910166,1.4300726401683672e-12,1.3510865169708008e-11,1.6681937775597788e-10,6.961366162336335e-13,8.36640801668391e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),948,8:33:27 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4300726401683672e-12, 1.3510865169708008e-11, 1.6681937775597788e-10, 6.961366162336335e-13, 8.36640801668391e-14]",False
4,1689687212.455039,1.4034978691387923e-12,1.343819326649065e-11,1.656430548280241e-10,7.89160132640826e-13,9.208490903394456e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),949,8:33:30 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4034978691387923e-12, 1.343819326649065e-11, 1.656430548280241e-10, 7.89160132640826e-13, 9.208490903394456e-14]",True
5,1689687215.4973304,1.2876423018115535e-12,1.3262357358156951e-11,1.6798895607905706e-10,7.459552723784735e-13,8.727140375381498e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),950,8:33:32 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.2876423018115535e-12, 1.3262357358156951e-11, 1.6798895607905706e-10, 7.459552723784735e-13, 8.727140375381498e-14]",False
6,1689687218.0264895,1.237513238584731e-12,1.3285556682562927e-11,1.6704765348762862e-10,8.232930396451232e-13,8.817085787610895e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),951,8:33:35 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.237513238584731e-12, 1.3285556682562927e-11, 1.6704765348762862e-10, 8.232930396451232e-13, 8.817085787610895e-14]",True
7,1689687220.5584638,1.16433902450086e-12,1.3253142507052562e-11,1.667567334218134e-10,7.534982837328896e-13,8.40107673640185e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),952,8:33:38 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.16433902450086e-12, 1.3253142507052562e-11, 1.667567334218134e-10, 7.534982837328896e-13, 8.40107673640185e-14]",False
8,1689687223.108916,1.0857155018778597e-12,1.3166525161811826e-11,1.669570315332436e-10,7.120129139059905e-13,9.007781364344866e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),953,8:33:40 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0857155018778597e-12, 1.3166525161811826e-11, 1.669570315332436e-10, 7.120129139059905e-13, 9.007781364344866e-14]",True
9,1689687225.6268277,1.104053480582845e-12,1.3328991556316172e-11,1.6750516251828884e-10,8.071094790770839e-13,8.297400581284281e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),954,8:33:43 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.104053480582845e-12, 1.3328991556316172e-11, 1.6750516251828884e-10, 8.071094790770839e-13, 8.297400581284281e-14]",False
10,1689687228.1911817,1.1323860685946707e-12,1.3226378325903454e-11,1.6698228910705382e-10,7.656592374005733e-13,9.294466102793483e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),955,8:33:46 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1323860685946707e-12, 1.3226378325903454e-11, 1.6698228910705382e-10, 7.656592374005733e-13, 9.294466102793483e-14]",True
