,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
FCT_AM_z01,,clear and crisp; variety of inclusions,26.99964379411159,0.4379600076212402,1.6220955022997592,55.83639152129285,0.7779997842436647,21.017383382607115,0.33911555093627455,1.6135003333331628,2.1605175666772736,0.0393957743150322,1.1307653626359462,0.023055708859253937,0,0,0.2754712798636366,0.000913968743424144,5.799738420000001e-06,372.51982938176604,194.96833835411942,0.0,418.3373888949841
23UM01z_01,,"mostly clear, faceted, clean shape",229.61896797200544,3.9449377153167813,1.7180365150834307,53.146428179595574,0.7637637581330016,176.14425535072434,2.9948618079402713,1.7002324611592594,0.6495302111921295,0.013663563540425083,0.8123778358943015,0.01979170552932375,0,0,0.8104554017766347,0.0021018025123844667,4.743913392000001e-06,136.91864870203545,171.24634637391824,0.0,177.16154009990623
23UM01z_02,,"mostly clear, slightly rough texture; imperfect tips",78.6304239173101,1.130251954007145,1.4374231979160494,42.00167875958214,0.7041057281558354,55.46903481735956,0.7876822010270645,1.4200394934230078,0.4352140170451297,0.008127552695544386,0.7886022254839249,0.012288645175981045,0,0,0.18674049536348963,0.0008427319448018629,2.511146485999999e-06,173.3128750041107,314.040710042403,0.0,247.1124418640754
23UM01z_03,,"clear, but still some texture around edges; fair facets; no obvious fractures or inclusions",285.6155020623555,5.371622629928203,1.8807181652050076,39.430819733435044,0.6938565888308232,199.66865573253816,3.702279240406573,1.854211532012256,0.18583878649414876,0.0038730421268858466,0.11249653148197558,0.0032879537273970746,0,0,0.23255615812828426,0.0007911958772375502,1.9970476493333334e-06,93.05676134276847,56.331420794856776,0.0,106.2946452295598
23UM01z_04,"laser error, brief lasing time",clear; faceted; clear central bubble inclusion,173.3796231020366,2.011982737182901,1.1604493660704396,59.34128183510523,0.7870969455209618,136.87814967748562,1.577321976800825,1.1523548356822,0.9321071434167307,0.01278837149987815,1.1024084591549528,0.020687780316656173,0,0,0.8898202127886884,0.0023342738322531154,7.114715365333334e-06,131.01116426364027,154.94765462107893,0.0,167.4238630995938
23UM01z_07,,"medium-dark brown, uniform metamictization with a few dark inclusions",45.098591911285055,0.48862668201709664,1.0834632774750272,60.32363654106892,0.7902420889817391,35.66852839906523,0.3849539769804911,1.079253880826156,3.4623565896879493,0.04419374709658229,4.179271014435513,0.07955873382920989,0,0,0.8582593855165443,0.002239690305592004,6.790502795999999e-06,509.88221251119705,615.4582569198479,0.0,654.5149028873614
FCT_AM_z02,,clear and crisp; variety of inclusions,22.77288146099117,0.27544266357546415,1.2095204730560072,67.55674003999397,0.8144651501422148,18.555059387745462,0.22351195711740426,1.20458766769036,3.467812024541254,0.0466655475875948,1.74408243504676,0.027442562349040724,0,0,0.3885866911133202,0.001109777489595432,1.0829325181133334e-05,320.2242029432099,161.05181125092366,0.0,358.0713785871769
23UM01z_08,,dark gray; straw color under directed lights; uniform metamictization; ,46.35842620815566,0.5796067556635949,1.2502727186231073,58.4575279931759,0.785383399728572,36.44132152266406,0.452619795571897,1.2420509922791847,2.207249281140665,0.032599236814556884,1.9794140518256358,0.029530446519305174,0,0,0.5270706206969821,0.0016124840603852731,5.957038272e-06,370.5279671469375,332.2815737359822,0.0,448.6141369748933
23UM01z_09,,"gray; light straw color under directed lights; bumpy texture; uniform damage, ",46.681701816056865,0.5945565284458896,1.2736393604257654,52.27218784007985,0.7613754350449504,35.57742295633301,0.4501847067385138,1.2653662613255072,1.942077671799675,0.029218792472767766,1.9167714398557554,0.03620931877500532,0,0,0.4607033881671886,0.0013760598294608238,4.099191110733333e-06,473.7709512285323,467.59748157066304,0.0,583.6563593976381
23UM01z_10,,light gray; a few small inclusions; uniform moderate damage,57.3278152122775,0.8056797657452881,1.4053906690181022,52.290693930591424,0.7578344168348379,43.49542152009551,0.6049530909801858,1.3908431504697312,1.3463490687674684,0.025639527177290816,2.448165073225418,0.03545630089835677,0,0,0.4530682924074493,0.0013980114333035352,4.60685607e-06,292.24899764829604,531.4177469463287,0.0,417.13216818068327
