"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
FCT_AM_z01,clear and crisp; variety of inclusions,2,207.6,206.5,84,100.5,40.2,46.35
23UM01z_01,"mostly clear, faceted, clean shape",1,186.9,187.2,91.5,86.4,43.15,41.75
23UM01z_02,"mostly clear, slightly rough texture; imperfect tips",3,165.1,166.3,77.1,62.2,36,41.8
23UM01z_03,"clear, but still some texture around edges; fair facets; no obvious fractures or inclusions",2,153.4,152.9,67,64.4,42.75,36.05
23UM01z_04,clear; faceted; clear central bubble inclusion,2,239.2,240.4,94,99.4,57.7,53.7
23UM01z_05,medium gray; great shape; fair amount of inclusions; moderate metamictization,1,180.6,180.6,80,69.9,29.9,40.85
23UM01z_06,"gray; uniform metamictization, a few tiny inclusions",3,177.4,176.2,89.6,88.6,47.05,55.5
23UM01z_07,"medium-dark brown, uniform metamictization with a few dark inclusions",2,213.2,213.2,104.5,100.4,55.2,53.55
FCT_AM_z02,clear and crisp; variety of inclusions,1,269.5,270.4,106.6,109.7,53.25,49.7
23UM01z_08,dark gray; straw color under directed lights; uniform metamictization; ,2,193.7,194.1,96,108.7,55.2,49.5
23UM01z_09,"gray; light straw color under directed lights; bumpy texture; uniform damage, ",2,168,170.5,92.3,98.2,52.05,54.35
23UM01z_10,light gray; a few small inclusions; uniform moderate damage,2,201,203.4,83,93.9,58.75,51.8
23UM01z_11,dark gray to brown under directed light; uniform metamictization; no obvious fractures or inclusions,2,185.7,186.1,9.8,95.2,44.65,57.3
23UM01z_12,medium gray; uniform damage with one small dark inclusion; bumpy texture,3,216.9,219.3,97.3,112.1,67.3,82.65
23UM01z_13,"medium to dark gray; fairly uniform damage, meh shape",3,240.2,235.8,113,93.7,62.35,65.7
23UM01z_14,"very dark, opaque; equant",2,165.5,165.5,93.9,99,52.4,47.6
FCT_AM_z03,"clear, limited inclusions around edges",1,306.7,309.9,118,104.7,84,48.25
23UM07z_01,light gray or straw; beautiful uniform damage; no obvious fractures or inclusions,2,187,189.9,105.5,75.8,41.5,51
23UM07z_02,light gray to straw; faint uniform metamictization; ,1,208.6,208.4,96.6,71.6,50.75,60.85
23UM07z_03,"almost clear, moderate damage, a few small inclusions",1,241.3,241.6,87.2,89.7,56.6,54.75
23UM07z_04,"very dark, nearly opaque, fairly uniform damage; short and equant; sharp tips with rounded edges",3,200,192.8,131,111.8,66.8,58.6
23UM07z_05,"light to medium gray, straw color; uniform damage; possible slight staining ?",2,311,314.1,111.9,148.7,81.7,91.15
23UM07z_06,"medium gray, straw; short, no obvious fractures or inclusions",2,204.5,205.5,118.4,127.6,60,69.9
23UM07z_07,"medium gray, less translucent; uniform metamictization, no obvious fractures or inclusions; one tip imperfect",2,201.3,201.1,89.7,100.3,40.05,51
FCT_AM_z04,clear and crisp; a few inclusions,1,199.6,199.1,88.3,76.7,43.4,50.1
23UM07z_08,"medium gray, less translucent; uniform metamictization; a few dark bubble inclusions",1,198.7,198.9,94.8,90.8,56.3,48.9
23UM07z_09,"light gray, darker tips; moderate damage",1,167.8,168,95.8,101.1,49.3,52.45
23UM07z_10,"light gray, uniform damage; edges bowed",2,186.7,183.2,94.9,86.8,49.7,63.2
23UM07z_11,"dark, limited translucency; short/squat, but angular ",1,203.4,204,134.4,127.7,72.45,72
23UM07z_12,"light gray/straw, uniform metamictization; smaller than most of the other picked grains in this sample",1,154.1,152.9,68.2,64,41.05,49.9
23UM07z_13,"light to medium gray, straw color; short and equant",2,197.7,198.4,115,116.9,55.4,60
23UM07z_14,medium gray / darker straw color; uniform metamictization,2,187,188.4,93.3,84.7,50.55,54.55
