,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_07152023,lb,0.003346996,8.03E-05,8203,1280,,1689434227,10000-4308-16406-001.csv
hb01_07152023,hb,0.003537162,7.65E-05,8204,1280,,1689435754,10000-4309-16408-001.csv
std1281,std,1.181490923,0.001712896,8205,1281,,1689437075,10000-4310-16410-001.csv
FCT_AM_z01,zirc,1.081278187,0.002033669,8206,1281,,1689438429,10000-4311-16412-001.csv
FCT_AM_z01_re1,zirc,0.007653945,8.20E-05,8207,1281,,1689439567,10000-4312-16414-001.csv
23UM01z_01,zirc,3.184663796,0.003922293,8208,1281,,1689440771,10000-4313-16416-001.csv
23UM01z_01_re1,zirc,0.005310411,9.82E-05,8209,1281,,1689441898,10000-4314-16418-001.csv
23UM01z_02,zirc,0.491741331,0.000917206,8210,1281,,1689443195,10000-4315-16420-001.csv
23UM01z_02_re1,zirc,0.097799624,0.00025503,8211,1281,re-extract 16%,1689444446,10000-4316-16422-001.csv
23UM01z_02_re2,zirc,0.138784763,0.000403999,8212,1281,re-extract 19%,1689445646,10000-4317-16424-001.csv
std1282,std,1.175272299,0.002165143,8213,1282,,1689446300,10000-4318-16426-001.csv
23UM01z_02_re3,zirc,0.019208505,0.000143536,8214,1282,,1689447443,10000-4319-16428-001.csv
23UM01z_03,zirc,0.916212583,0.001506052,8215,1282,,1689448623,10000-4320-16430-001.csv
23UM01z_03_re1,zirc,0.004179077,9.42E-05,8216,1282,,1689449941,10000-4321-16432-001.csv
23UM01z_04,zirc,2.466383844,0.003147657,8217,1282,"laser error, brief lasing time",1689450726,10000-4322-16434-001.csv
23UM01z_04_re1,zirc,0.52111224,0.001036214,8218,1282,re-extract 17%,1689451897,10000-4323-16436-001.csv
23UM01z_04_re2,zirc,0.224281915,0.000717482,8219,1282,re-extract 7%,1689453150,10000-4324-16438-001.csv
23UM01z_04_re3,zirc,0.164707782,0.000641947,8220,1282,re-extract 5%,1689454280,10000-4325-16440-001.csv
23UM01z_04_re4,zirc,0.135789176,0.00049872,8221,1282,re-extract 3.8%,1689455451,10000-4326-16442-001.csv
std1283,std,1.175018344,0.002038171,8222,1283,,1689456134,10000-4327-16444-001.csv
23UM01z_05,zirc,0.0043862,6.88E-05,8223,1283,,1689457408,10000-4328-16446-001.csv
23UM01z_05_re1,zirc,0.004261757,7.49E-05,8224,1283,empty,1689458632,10000-4329-16448-001.csv
23UM01z_06,zirc,0.004327793,8.81E-05,8225,1283,,1689459979,10000-4330-16450-001.csv
23UM01z_07,zirc,3.369868006,0.005226578,8226,1283,,1689461224,10000-4331-16452-001.csv
