count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1697126484.0348117,1.558875316158559e-12,1.2261596252227669e-11,1.5276525877627734e-10,8.72803240271891e-13,8.520175667423024e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2760,11:01:21 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.558875316158559e-12, 1.2261596252227669e-11, 1.5276525877627734e-10, 8.72803240271891e-13, 8.520175667423024e-14]",False
2,1697126486.6168466,1.5715264376284233e-12,1.2172075847249886e-11,1.522707931966849e-10,8.78107753610885e-13,8.424364043814123e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2761,11:01:23 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.5715264376284233e-12, 1.2172075847249886e-11, 1.522707931966849e-10, 8.78107753610885e-13, 8.424364043814123e-14]",True
3,1697126489.1497543,1.6104531987484738e-12,1.2495541927559639e-11,1.5173061418405354e-10,8.672840006926363e-13,8.347671647890645e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2762,11:01:26 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.6104531987484738e-12, 1.2495541927559639e-11, 1.5173061418405354e-10, 8.672840006926363e-13, 8.347671647890645e-14]",False
4,1697126491.7446754,1.5080125733216154e-12,1.241704048610126e-11,1.524936427133028e-10,8.483793095120928e-13,9.080452725461138e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2763,11:01:28 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.5080125733216154e-12, 1.241704048610126e-11, 1.524936427133028e-10, 8.483793095120928e-13, 9.080452725461138e-14]",True
5,1697126494.264293,1.5033973415137791e-12,1.2163073499771304e-11,1.526813953045547e-10,8.667696009719006e-13,9.055762731488212e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2764,11:01:31 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.5033973415137791e-12, 1.2163073499771304e-11, 1.526813953045547e-10, 8.667696009719006e-13, 9.055762731488212e-14]",False
6,1697126496.859158,1.3854996793946639e-12,1.2265656372523193e-11,1.531354903994142e-10,9.01147483457071e-13,8.568982383470175e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2765,11:01:34 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.3854996793946639e-12, 1.2265656372523193e-11, 1.531354903994142e-10, 9.01147483457071e-13, 8.568982383470175e-14]",True
7,1697126500.051476,1.3682272545847973e-12,1.2472799702789583e-11,1.523004222736546e-10,9.23391788379413e-13,8.577889104317143e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2766,11:01:36 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.3682272545847973e-12, 1.2472799702789583e-11, 1.523004222736546e-10, 9.23391788379413e-13, 8.577889104317143e-14]",False
8,1697126502.581117,1.4465149997949789e-12,1.2463492911340968e-11,1.5250918583564754e-10,8.629197074776218e-13,9.042576800191715e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2767,11:01:39 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4465149997949789e-12, 1.2463492911340968e-11, 1.5250918583564754e-10, 8.629197074776218e-13, 9.042576800191715e-14]",True
9,1697126505.0990171,1.4014008052967708e-12,1.2469600872699882e-11,1.5334915282050332e-10,8.918732722837386e-13,8.421896128619002e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2768,11:01:42 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4014008052967708e-12, 1.2469600872699882e-11, 1.5334915282050332e-10, 8.918732722837386e-13, 8.421896128619002e-14]",False
10,1697126507.6212938,1.3465877718443764e-12,1.2434983598375027e-11,1.5355053339938252e-10,8.505461417639137e-13,8.686482116286934e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,2769,11:01:44 AM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.3465877718443764e-12, 1.2434983598375027e-11, 1.5355053339938252e-10, 8.505461417639137e-13, 8.686482116286934e-14]",True
