,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
DUR_HG_6,,,31.498670423943278,0.6355176587151203,2.017601537339939,NaN,1,31.498670423943278,0.6355176587151203,2.017601537339939,0.11194252581897102,0.0031950236717316408,2.251845196953101,0.04817669127060995,1.9610720520854734,0.10425658011693657,0.11026300389037345,0.0009421536969396905,NaN,0,0,0,0
CTJ2_ap1,,,15.813030168276883,0.9073378692503085,5.737912718781459,38.68455160646364,0.6348858748245337,10.108246899387487,0.5839288419152459,5.776756817748776,0.020964275968451237,0.0011026931527926397,0.01417883040123837,0.0024373426268157563,0.3281126992347807,0.013465203050308691,0.0013474614100536515,4.140475821381234e-05,1.0172847945025301e-06,20.608069718277005,13.937916380802747,322.53770134766785,23.88348006776565
CTJ2_ap2,,,82.82289552448648,5.356859927486309,6.467849129837003,32.043945985844054,0.5656463521992225,47.41721322554446,3.184387498765002,6.715678299393432,0.006692006826825742,0.00034706906604822064,0.008102732878313148,0.001878511305926175,0.12796495497289082,0.00595775211017207,0.0022483619392909757,4.72270145044377e-05,7.214911495539347e-07,9.275244514036114,11.230536761708997,177.3617806011976,11.914420653037729
CTJ2_ap3,,,3.0089143646283683,0.35741667055759535,11.878592317523132,27.632014384682815,0.5064639961328272,1.5278923828330635,0.18220455648244815,11.925221863113098,0.017514895858630482,0.0006581347189470207,0.02520574102027113,0.003119752591670733,0.06491627951181454,0.005201132462796117,0.00019407113540460938,2.1706192341601863e-05,5.884332344269581e-07,29.765306977752964,42.83534570377823,110.32055246681104,39.831613218140845
CTJ2_ap5,,,271.57018094060584,775.5655765977151,285.58569056126834,43.282707142124266,0.6965332820522603,190.60483620016467,585.1379744650993,306.99009853591207,0.0002701744385793455,0.0002071751864797455,-0.00038009329236814263,0.0020915253490671197,-0.0005297665869887155,0.0015623327467386451,0.00018864051389355597,4.255882029721983e-05,1.3705821222539964e-06,0.19712386014128727,-0.2773225231794638,-0.386526701601423,0.13195306719411326
CTJ2_ap7,,,15.163508263291899,0.8778378161917398,5.789147214149814,20.495736669633434,0.37771994186310454,5.7506707123662855,0.34177248797374365,5.943176110549914,0.01626833017266106,0.0006711193524433516,0.01954118644834684,0.0028881417401857247,0.045676007479222805,0.003726971986929809,0.0006496462490970106,2.524746019422447e-05,2.4526818119225656e-07,66.32874306638627,79.67273354968631,186.22883432000947,85.05183545056255
CTJ2_ap8,,,17.39543782035125,0.5063469581489627,2.910803185169492,38.726294907096495,0.6243829940638352,10.892168136732975,0.31343437210432357,2.8776123189587106,0.026849303619184008,0.0010214895183313997,0.06918372484766706,0.001945919207130573,0.18407686536876908,0.008055688833612327,0.0025540975497234807,3.6481623581388144e-05,1.477436274607378e-06,18.1729013160443,46.82687574193501,124.59208463504571,29.177217115399024
CTJ2_ap9,,,45.16832707324747,2.149683015057536,4.759270830578894,22.62719095641841,0.42576919393247864,19.386101581408592,0.9481509889364073,4.890880123344091,0.01232154447575422,0.0005068717955045844,0.011042818955659086,0.001812528585079525,0.0788366126544353,0.006650768514394538,0.0015728417222581619,3.5675519975461844e-05,3.583806235599967e-07,34.38116813726528,30.813102689438235,219.98012021773607,41.622247269283264
CTJ2_ap10,,,28.67442020446201,1.637506188999238,5.710686309690149,45.89057250459393,0.6809249331318197,19.630785831291803,1.115322651877282,5.681497732502583,0.019898980942394055,0.0014537808529164198,0.03244768259896768,0.0024897647539543163,0.3277266110267286,0.014699296300023555,0.0029650512311255785,4.957323766080581e-05,1.8840019069908064e-06,10.562081104353766,17.222744031503797,173.95237754837785,14.609425951757157
CTJ2_ap11,,,2.1292317977315065,0.1600913040687266,7.518735359827362,48.41653422655728,0.6959082933969827,1.4934054654315971,0.11256192590452026,7.537264896240997,0.028537479655226964,0.0008938478563837718,0.04705594942982753,0.003473762892142094,0.8551774745787201,0.0348744960539734,0.0003278037529355469,2.2769353961515875e-05,2.7481864714569425e-06,10.384113287661267,17.122546056665858,311.1788386489474,14.407911610977742
