,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
NFCT-3,,,25.65968674,0.445239432,1.735170958,86.14483284,0.852838304,21.8912014,0.378658909,1.729731054,3.478350823,0.066361815,1.688802875,0.035619031,0,0,0.458282001,0.00218063,5.37E-06,647.7908957,314.5143153,0,721.7017598
JI38.45-5,,Possible small roundish inclusion on one side,7.037539186,0.156640877,2.225790471,47.93997067,0.747284527,5.259848752,0.116817881,2.220936133,2.789601676,0.054905763,0.307114193,0.006205979,0,0,0.081133598,0.001000949,5.37E-06,519.5216528,57.19543208,0,532.9625793
JI38.45-6,,"ASK WILLY Small spherical opening on one side, also makes it hard for measurements, but unsure how much it affects diffusion?",59.60920762,0.901763453,1.512792215,68.71063978,0.819538534,48.89902569,0.737634491,1.508485048,4.063455366,0.064431414,0.431957173,0.011136871,0,0,1.102174702,0.00216272,5.37E-06,756.757879,80.44557269,0,775.6625886
JI38.45-8,,"hard to tell where corners are, but peaks strongly present",158.6958348,2.338703047,1.473701594,70.06978833,0.822760161,130.8988501,1.92044562,1.467121842,3.08268704,0.047336652,0.379318147,0.008987754,0,0,2.264133984,0.004377426,5.37E-06,574.104425,70.64234017,0,590.7053749
JI38.45-9,,one peak absent but other very prominent. Odd slight curve on one side,71.71897054,0.889425239,1.240153383,65.98843044,0.812512216,58.3426783,0.72127376,1.236271252,3.655747369,0.047233506,0.385169521,0.009316796,0,0,1.18386677,0.002332097,5.37E-06,680.8283532,71.73207117,0,697.6853899
JI38.45-11,,liiiittle knick in one corner,101.4423244,1.595913823,1.573222845,49.63070009,0.755390055,76.79912268,1.202466893,1.565729986,1.964850884,0.032151401,0.179181353,0.005428744,0,0,0.836276209,0.001669441,5.37E-06,365.9241344,33.36985112,0,373.7660494
JI38.45-16,,black dot-ish in center,332.5014349,4.270199361,1.284264942,82.50987546,0.848171768,283.3060381,3.615582171,1.27621077,3.291659757,0.043438105,0.489961135,0.010367692,0,0,5.339208077,0.010284068,5.37E-06,613.0224728,91.24794447,0,634.4657397
JI38.45-18,,just too small on one side. Basicaly ellipsoid. Very clear,886.493285,17.29005551,1.950387646,46.70330014,0.736720119,666.4866707,12.64863986,1.897808376,0.331506727,0.007078853,0.244590022,0.005539798,0,0,1.482436221,0.002883728,5.37E-06,61.73817717,45.55123895,0,72.44271832
NFCT-4,pretty low but I can't find anything that was wrong,"Two inclusions, very thin and elongate",19.83282037,0.272414614,1.37355459,65.68029581,0.808043829,16.03176265,0.219774239,1.370867597,1.395696615,0.018647418,1.115987152,0.028542304,0,0,0.143592809,0.001056635,5.37E-06,259.9276514,207.8359412,0,308.7690976
JI38.45-20,,possible core or zonation visible,53.76814841,1.037135928,1.928903931,51.63248931,0.764132008,41.13245404,0.790551946,1.9219664,1.783646374,0.035577731,0.176101076,0.005049466,0,0,0.405952732,0.00156216,5.37E-06,332.1775005,32.79619551,0,339.8846065
