,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_05032023,lb,0.004345983,8.62e-05,7747,1194,,1683129019.0,10000-3854-15494-001.csv
std1195,std,1.179518142,0.001725256,7748,1195,,1683130353.0,10000-3855-15496-001.csv
hb01_05032023,hb,0.0044516059999999994,7.730000000000001e-05,7749,1195,,1683131816.0,10000-3856-15498-001.csv
hb02_05032023,hb,0.004506602,6.879999999999999e-05,7750,1195,ran second hb to confirm script changes,1683139500.0,10000-3857-15500-001.csv
NFCT-3,zirc,1.394490408,0.00226955,7751,1195,,1683140914.0,10000-3858-15502-001.csv
NFCT-3_re1,zirc,0.145902967,0.000487884,7752,1195,9.21% remaining,1683142320.0,10000-3859-15504-001.csv
NFCT-3_re2,zirc,0.23272759,0.000583601,7753,1195,12.94% remaining,1683143757.0,10000-3860-15506-001.csv
NFCT-3_re3,zirc,0.036059045,0.000204307,7754,1195,1.76% remaining,1683145326.0,10000-3861-15508-001.csv
std1196,std,1.169281623,0.0018388739999999999,7755,1196,,1683145962.0,10000-3862-15510-001.csv
JI38.45-5,zirc,0.32124062600000003,0.000919095,7756,1196,,1683147709.0,10000-3863-15512-001.csv
JI38.45-5_re1,zirc,0.004840359,7.840000000000001e-05,7757,1196,,1683150673.0,10000-3864-15514-001.csv
lb05_05042023,lb,0.004065537,9.37e-05,7761,1197,forgot to restart counting id number with the new day's line blank. This one is only line blank 3,1683210954.0,10000-3868-15522-001.csv
hb01_05042023,hb,0.004422623,9.39e-05,7762,1197,,1683212469.0,10000-3869-15524-001.csv
std1198,std,1.169754667,0.002507213,7763,1198,,1683213129.0,10000-3870-15526-001.csv
JI38.45-6,zirc,3.8986524910000004,0.004778897,7764,1198,,1683214488.0,10000-3871-15528-001.csv
JI38.45-6_re1,zirc,0.406940378,0.00095522,7765,1198,Tried one re-extract before but the laser crashed partway through. Didn't get far enough to spike so started this one,1683215950.0,10000-3872-15530-001.csv
JI38.45-6_re2,zirc,0.004530241,6.23e-05,7766,1198,0% remaining. Couldn't get laser above 900 C,1683217386.0,10000-3873-15532-001.csv
JI38.45-8,zirc,8.79453198,0.011492001000000002,7767,1198,,1683218702.0,10000-3874-15534-001.csv
JI38.45-8_re1,zirc,0.041095409,0.000604587,7768,1198,0.42% remaining,1683220161.0,10000-3875-15536-001.csv
std1199,std,1.1736424909999998,0.002464583,7770,1199,,1683220761.0,10000-3876-15538-001.csv
JI38.45-9,zirc,4.408279567,0.0064289640000000006,7770,1199,,1683221995.0,10000-3877-15540-001.csv
JI38.45-9_re1,zirc,0.14730328199999998,0.000564234,7771,1199,2.50%,1683223474.0,10000-3878-15542-001.csv
JI38.45-9_re2,zirc,0.073018804,0.000433169,7772,1199,1.18% remaining,1683224721.0,10000-3879-15544-001.csv
JI38.45-11,zirc,3.197188379,0.004474954000000001,7773,1199,,1683225945.0,10000-3880-15546-001.csv
JI38.45-11_re1,zirc,0.07190028,0.00029672,7774,1199,2.07% remaining. Moving onto next one,1683227737.0,10000-3881-15548-001.csv
JI38.45-16,zirc,20.46580382,0.030416256000000003,7775,1199,,1683229013.0,10000-3882-15550-001.csv
std1200,std,1.170308904,0.002286375,7776,1200,,1683229626.0,10000-3883-15552-001.csv
JI38.45-16_re1,zirc,0.358075715,0.000642832,7777,1200,1.70%,1683230834.0,10000-3884-15554-001.csv
JI38.45-18,zirc,5.762938296000001,0.007787707,7778,1200,,1683232087.0,10000-3885-15556-001.csv
JI38.45-18_re1,zirc,0.025221097,0.000157841,7779,1200,,1683233407.0,10000-3886-15558-001.csv
NFCT-4,zirc,0.398491571,0.0009252010000000001,7780,1200,pretty low but I can't find anything that was wrong,1683234997.0,10000-3887-15560-001.csv
NFCT-4_re1,zirc,0.06713899,0.000324372,7781,1200,13.6% remaining,1683236381.0,10000-3888-15562-001.csv
NFCT-4_re2,zirc,0.041121488,0.00038997699999999996,7782,1200,7.37% remaining,1683237618.0,10000-3889-15564-001.csv
NFCT-4_re3,zirc,0.068834596,0.000269366,7783,1200,11.45% remaining. Moved to an 1100 C routine,1683239452.0,10000-3890-15566-001.csv
NFCT-4_re4,zirc,0.0063265759999999996,5.429999999999999e-05,7784,1200,back to original 1000C routine,1683240843.0,10000-3891-15568-001.csv
lb01_05052023,lb,0.039859535,0.0037124540000000004,7786,1201,,1683296780.0,10000-3893-15572-001.csv
lb02_05052023,lb,0.018891408999999998,0.000166866,7787,1201,,1683297445.0,10000-3894-15574-001.csv
lb03_05052023,lb,0.004102784,8.71e-05,7788,1201,,1683298250.0,10000-3895-15576-001.csv
hb01_05052023,hb,0.0042489220000000005,6.77e-05,7789,1201,,1683299556.0,10000-3896-15578-001.csv
std1202,std,1.162745505,0.002365314,7790,1202,,1683300097.0,10000-3897-15580-001.csv
JI38.45-20,zirc,1.5551477930000002,0.001785673,7791,1202,,1683301316.0,10000-3898-15582-001.csv
JI38.45-20_re1,zirc,0.031814432000000004,0.000188135,7792,1202,1.74% remaining,1683302498.0,10000-3899-15584-001.csv
JI38.45-22,zirc,1.220307322,0.002060689,7793,1202,,1683303887.0,10000-3900-15586-001.csv
JI38.45-22_re1,zirc,0.004692853,8.83e-05,7794,1202,0.04% remaining,1683305059.0,10000-3901-15588-001.csv
JI38.45-23,zirc,5.0461649369999995,0.009104853000000001,7795,1202,,1683306267.0,10000-3902-15590-001.csv
JI38.45-23_re1,zirc,0.07168342,0.00040475300000000005,7796,1202,1.32% remaining,1683307591.0,10000-3903-15592-001.csv
std1203,std,1.173177173,0.002086111,7797,1203,,1683308255.0,10000-3904-15594-001.csv
JI211.2-1,zirc,15.28225724,0.016445308999999998,7798,1203,,1683309458.0,10000-3905-15596-001.csv
JI211.2-1_re1,zirc,0.641256281,0.00132046,7799,1203,4.00% remaining,1683310654.0,10000-3906-15598-001.csv
JI211.2-1_re2,zirc,0.27348716,0.00077781,7800,1203,1.66% remaining,1683311817.0,10000-3907-15600-001.csv
JI211.2-3,zirc,3.230198291,0.004458545,7801,1203,,1683313036.0,10000-3908-15602-001.csv
JI211.2-3_re1,zirc,0.010996286999999999,0.000133174,7802,1203,0.21% remaining,1683314271.0,10000-3909-15604-001.csv
JI211.2-4,zirc,39.38603058,0.042595195,7803,1203,,1683316632.0,10000-3910-15606-001.csv
JI211.2-4_re1,zirc,1.911001097,0.0029963629999999997,7804,1203,4.62% remaining,1683317967.0,10000-3911-15608-001.csv
std1204,std,1.165337931,0.002307893,7805,1204,,1683318534.0,10000-3912-15610-001.csv
JI211.2-4_re2,zirc,0.882375035,0.0017895570000000002,7806,1204,2.08% remaining. Moving on,1683319944.0,10000-3913-15612-001.csv
JI211.2-5,zirc,7.323260922,0.010313379000000001,7807,1204,,1683323200.0,10000-3914-15614-001.csv
JI211.2-5_re1,zirc,0.18625665800000002,0.00036398199999999994,7808,1204,2.43% remaining. Seems good enough,1683324445.0,10000-3915-15616-001.csv
NFCT-5,zirc,2.323725574,0.0030863279999999997,7809,1204,,1683325799.0,10000-3916-15618-001.csv
NFCT-5_re1,zirc,0.362422202,0.000783574,7810,1204,,1683327112.0,10000-3917-15620-001.csv
NFCT-5_re2,zirc,0.166356628,0.00041267800000000004,7811,1204,5.70% remaining,1683328334.0,10000-3918-15622-001.csv
NFCT-5_re3,zirc,0.11835435400000001,0.000542886,7812,1204,3.86% remaining. Not going to do another,1683329646.0,10000-3919-15624-001.csv
std1205,std,1.170342432,0.001919375,7813,1205,,1683330246.0,10000-3920-15626-001.csv
lb02_05062023,lb,0.003981053,0.00010476700000000001,7815,1205,,1683384681.0,10000-3922-15630-001.csv
hb01_05062023,hb,0.004447119,8.75e-05,7816,1205,,1683385847.0,10000-3923-15632-001.csv
std1206,std,1.162008331,0.001852105,7817,1206,,1683386380.0,10000-3924-15634-001.csv
JI211.2-6,zirc,20.50678736,0.021359306,7818,1206,,1683387697.0,10000-3925-15636-001.csv
JI211.2-6_re1,zirc,0.323278833,0.000822597,7819,1206,1.53% remaining,1683389177.0,10000-3926-15638-001.csv
JI211.2-7,zirc,9.786655654,0.012264638999999999,7820,1206,,1683390379.0,10000-3927-15640-001.csv
JI211.2-7_re1,zirc,1.589649716,0.001568879,7821,1206,"13.94% remaining. Laser would not go above 470 C; I think I melted a hole in the packet, so will only try one re-extract more",1683391626.0,10000-3928-15642-001.csv
JI211.2-8,zirc,24.04973801,0.020714603999999998,7822,1206,,1683393435.0,10000-3929-15644-001.csv
JI211.2-8_re1,zirc,0.17495264100000002,0.000486186,7823,1206,0.70% remaining,1683394605.0,10000-3930-15646-001.csv
std1207,std,1.168444658,0.001581584,7824,1207,,1683395230.0,10000-3931-15648-001.csv
JI211.2-9,zirc,43.68869397,0.052460047999999995,7825,1207,,1683396547.0,10000-3932-15650-001.csv
JI211.2-9_re1,zirc,0.42786799799999997,0.0009701410000000001,7826,1207,0.96% remaining,1683397896.0,10000-3933-15652-001.csv
JI631.5-2,zirc,31.97713061,0.049830455999999995,7827,1207,laser crashed toward end,1683399132.0,10000-3934-15654-001.csv
JI631.5-2_re1,zirc,0.664833651,0.001539891,7828,1207,2.02% remaining. Moving on,1683400343.0,10000-3935-15656-001.csv
JI631.5-3,zirc,15.11162177,0.011676148,7829,1207,,1683401571.0,10000-3936-15658-001.csv
JI631.5-3_re1,zirc,1.122409899,0.001983075,7830,1207,6.89% remaining,1683402781.0,10000-3937-15660-001.csv
JI631.5-3_re2,zirc,0.698695815,0.000972078,7831,1207,4.10% remaining,1683404083.0,10000-3938-15662-001.csv
JI631.5-3_re3,zirc,1.437937585,0.001968363,7832,1207,Moved up to 1100 C. 7.81% remaining. Just going to move on,1683405680.0,10000-3939-15664-001.csv
JI631.5-3_re4,zirc,0.572856997,0.001300075,7833,1207,1100 C. 3.00$ remaining so now I'm done.,1683407598.0,10000-3940-15666-001.csv
std1208,std,1.170996705,0.00158292,7834,1208,,1683408303.0,10000-3941-15668-001.csv
JI631.5-4,zirc,10.82576385,0.01507158,7835,1208,,1683409741.0,10000-3942-15670-001.csv
JI631.5-4_re1,zirc,0.9248812470000001,0.000669533,7836,1208,7.84% remaining,1683410965.0,10000-3943-15672-001.csv
JI631.5-4_re2,zirc,1.149294013,0.002010554,7837,1208,8.88% remaining,1683412143.0,10000-3944-15674-001.csv
JI631.5-4_re3,zirc,0.36701428,0.000835903,7838,1208,2.74% remaining. We done,1683413385.0,10000-3945-15676-001.csv
NFCT-6,zirc,1.240809474,0.001687921,7839,1208,Starting at 1100 C because the other FCTs have been really hard,1683414710.0,10000-3946-15678-001.csv
NFCT-6_re1,zirc,0.033259702,0.000190293,7840,1208,2.27% remaining. 1100 C.,1683415884.0,10000-3947-15680-001.csv
std1209,std,1.169133825,0.002323933,7841,1209,,1683416530.0,10000-3948-15682-001.csv
lb02_05072023,lb,0.003954229,7.56e-05,7843,1209,,1683470731.0,10000-3950-15686-001.csv
hb01_05072023,hb,0.0043295,7.46e-05,7844,1209,,1683471842.0,10000-3951-15688-001.csv
std1210,std,1.168967627,0.001663723,7845,1210,,1683472420.0,10000-3952-15690-001.csv
JI631.5-5,zirc,0.5156678060000001,0.001206468,7846,1210,,1683473552.0,10000-3953-15692-001.csv
JI631.5-5_re1,zirc,0.00438648,7.859999999999999e-05,7847,1210,"0.01% remaining. Very low 4/3 overall, weird",1683474718.0,10000-3954-15694-001.csv
JI741.4-2,zirc,2.95519547,0.00500586,7848,1210,,1683475921.0,10000-3955-15696-001.csv
JI741.4-2_re1,zirc,0.020834162,0.00019478,7849,1210,0.56% remaining,1683477079.0,10000-3956-15698-001.csv
JI741.4-3,zirc,78.99954367,0.100235652,7850,1210,,1683478279.0,10000-3957-15700-001.csv
JI741.4-3_re1,zirc,3.602314653,0.004468932,7851,1210,4.36% remaining,1683479565.0,10000-3958-15702-001.csv
JI741.4-3_re2,zirc,1.9190376980000001,0.002539964,7852,1210,2.27% remaining. Moving on,1683480812.0,10000-3959-15704-001.csv
std1211,std,1.186208377,0.0019091520000000001,7853,1211,Pretty high. Going to do another just to make sure,1683486639.0,10000-3960-15706-001.csv
std1212,std,1.1686924109999999,0.001869204,7854,1212,Looks good,1683487290.0,10000-3961-15708-001.csv
JI741.4-4,zirc,29.37327274,0.037813696,7855,1212,,1683488628.0,10000-3962-15710-001.csv
JI741.4-4_re1,zirc,0.377584729,0.0007489660000000001,7856,1212,1.25% remaining,1683489865.0,10000-3963-15712-001.csv
JI741.4-5,zirc,46.92194544,0.086725151,7857,1212,,1683491055.0,10000-3964-15714-001.csv
JI741.4-5_re1,zirc,0.11172741300000001,0.000458087,7858,1212,0.23% remaining,1683492289.0,10000-3965-15716-001.csv
JI741.4-6,zirc,16.42572742,0.018149956999999998,7859,1212,,1683493486.0,10000-3966-15718-001.csv
JI741.4-6_re1,zirc,3.682792145,0.004793642,7860,1212,18.30% remaining,1683494668.0,10000-3967-15720-001.csv
JI741.4-6_re2,zirc,2.712437866,0.003938186,7861,1212,11.87% remaining. Moving to 1100 C,1683495983.0,10000-3968-15722-001.csv
JI741.4-6_re3,zirc,4.947226381,0.00885807,7862,1212,17.81% at 1100 C. Will finish tomorrow,1683497157.0,10000-3969-15724-001.csv
std1213,std,1.172158612,0.001769543,7863,1213,,1683497761.0,10000-3970-15726-001.csv
lb01_05082023,lb,0.100079689,0.006477851999999999,7864,1213,,1683555167.0,10000-3971-15728-001.csv
