,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
JI38.45-5,,Possible small roundish inclusion on one side,7.442304454,0.165723054,2.226770687,40.72334919,0.706617292,5.259848752,0.116817881,2.220936133,2.789601676,0.054905763,0.307114193,0.006205979,0,0,0.081133598,0.001000949,2.64E-06,1055.288876,116.1793795,0,1082.59103
JI38.45-6,,"ASK WILLY Small spherical opening on one side, also makes it hard for measurements, but unsure how much it affects diffusion?",63.08487554,0.955172904,1.514107613,54.11269436,0.774145097,48.89902569,0.737634491,1.508485048,4.063455366,0.064431414,0.431957173,0.011136871,0,0,1.102174702,0.00216272,5.15E-06,789.6889625,83.94624304,0,809.4163296
JI38.45-8,,"hard to tell where corners are, but peaks strongly present",168.2716389,2.483497658,1.475886058,54.43332028,0.775265718,130.8988501,1.92044562,1.467121842,3.08268704,0.047336652,0.379318147,0.008987754,0,0,2.264133984,0.004377426,5.30E-06,581.8944417,71.60088532,0,598.7206498
JI38.45-9,,one peak absent but other very prominent. Odd slight curve on one side,75.77192044,0.94052948,1.24126388,52.760951,0.768772418,58.3426783,0.72127376,1.236271252,3.655747369,0.047233506,0.385169521,0.009316796,0,0,1.18386677,0.002332097,4.90E-06,746.7870555,78.68147964,0,765.2772032
JI38.45-11,,liiiittle knick in one corner,108.0782061,1.702354617,1.575113688,41.00062239,0.708586833,76.79912268,1.202466893,1.565729986,1.964850884,0.032151401,0.179181353,0.005428744,0,0,0.836276209,0.001669441,2.43E-06,808.801425,73.7573191,0,826.134395
JI38.45-16,,black dot-ish in center,349.4256553,4.497088162,1.28699427,63.67618287,0.805826295,283.3060381,3.615582171,1.27621077,3.291659757,0.043438105,0.489961135,0.010367692,0,0,5.339208077,0.010284068,8.13E-06,404.89547,60.26839308,0,419.0585423
JI38.45-18,,just too small on one side. Basically ellipsoid. Very clear,961.1203939,18.91774073,1.968300834,36.9874059,0.674768186,666.4866707,12.64863986,1.897808376,0.331506727,0.007078853,0.244590022,0.005539798,0,0,1.482436221,0.002883728,1.63E-06,203.3485866,150.0332611,0,238.6064029
JI38.45-20,,possible core or zonation visible,57.7475976,1.115054593,1.93091079,41.42349014,0.711222389,41.13245404,0.790551946,1.9219664,1.783646374,0.035577731,0.176101076,0.005049466,0,0,0.405952732,0.00156216,2.39E-06,745.880005,73.64143095,0,763.1857413
JI38.45-22,,"One edge abraded, decreasing w2 and h2b",24.45512108,0.439370492,1.796640021,42.80407607,0.719801421,17.61345568,0.315337029,1.790318917,3.224817538,0.059539691,0.285328903,0.006056561,0,0,0.312862584,0.001283145,2.60E-06,1240.28459,109.7392451,0,1266.073313
JI38.45-23,,"R o u n d and yet seems like it has peaks and terminations? Unclear, but very close to being a spheroid though",596.5873757,8.654866414,1.450729058,35.96168018,0.671791003,408.0253045,5.797151908,1.420782448,0.559630528,0.007800378,0.066191983,0.004044673,0,0,1.314033325,0.004932528,1.02E-06,550.1965548,65.07615137,0,565.4894503
JI211.2-1,,,362.7233406,6.16117266,1.698587317,57.1405699,0.783554178,286.183714,4.808097632,1.680073812,2.412434734,0.04343985,0.924295313,0.016669888,0,0,4.162299873,0.01552341,6.03E-06,400.0434825,153.2718422,0,436.0623654
JI211.2-3,,has a growth on the side that might be another crystal. Possible complication,38.80845067,0.672355687,1.732498143,93.64828025,0.864059166,33.54872994,0.579286098,1.72670053,4.088460713,0.079682192,2.102315132,0.034590545,0,0,0.831391628,0.003131298,2.50E-05,163.7965612,84.2253389,0,183.5895158
JI211.2-4,,Possible growth on one side,836.9721022,14.26678972,1.704571716,41.16695903,0.707468683,605.3814137,10.03767216,1.658074056,2.903948969,0.049624151,1.016713572,0.017576523,0,0,10.84450876,0.040423355,1.81E-06,1604.561983,561.7798256,0,1736.580242
JI211.2-5,,Section might have one tip present? Either that or missing half of one section,214.6776557,3.948278402,1.839165976,68.36015407,0.817103761,176.0186519,3.215316263,1.826690653,1.83396399,0.036456275,0.712821656,0.014855007,0,0,1.929127759,0.007205867,1.81E-06,1013.347317,393.8659193,0,1105.905808
JI211.2-6,,"Section, dark brown yellow, kind of shaped like a rocket ship, but one side more angular then the other",63.91506972,0.947789218,1.482888499,84.39138672,0.850007458,54.37433769,0.803199632,1.477166741,16.40045437,0.270375704,7.592561855,0.110438565,0,0,5.356510684,0.01694606,1.81E-06,9061.986241,4195.230785,0,10047.86547
JI211.2-8,,"Section, sort of dark and moderately fracture. Shaped like a pull-apart basin",324.5623131,4.702645313,1.44891909,82.19264272,0.84627821,275.8702242,3.968099239,1.438393451,3.705191448,0.057823877,1.625718823,0.025715948,0,0,6.229820901,0.019706562,2.35E-05,157.5910565,69.14588637,0,173.8403397
JI211.2-9,,"Section dark yellow, no inclusions but fractures look like one",329.7875487,4.525315038,1.372190992,86.04707359,0.852994453,282.505407,3.849670651,1.362689193,6.628311148,0.09711331,2.709544037,0.038535571,0,0,11.3472572,0.035890046,2.35E-05,281.918646,115.2436826,0,309.0009114
JI631.5-2,laser crashed toward end,"one pyramid completely gone, few um knick in the side, but not the worst I've seen",363.0294764,5.998633264,1.652381873,56.51639362,0.781745146,285.7969689,4.67204361,1.634742183,4.94479092,0.085953517,1.556684484,0.029888699,0,0,8.395271343,0.026557024,2.35E-05,210.3143214,66.2096833,0,225.873597
JI631.5-3,,"Very cracked grain overall, one side has clearer, partally abraded termination whereas the other is broken off",108.258221,1.483499773,1.37033452,70.31498443,0.822176841,89.15873106,1.216084256,1.363954199,9.308138138,0.136940752,3.150823199,0.052911354,0,0,4.867741036,0.015410825,2.35E-05,395.8983883,134.0123887,0,427.3912997
JI631.5-4,,"Section, dark yellow, part of one side missing so width might be too shor",99.59262456,1.817544385,1.824978901,71.00124457,0.823936691,82.18539392,1.493004073,1.816629454,7.114648434,0.140863881,2.228122679,0.032620326,0,0,3.408515792,0.010798102,2.35E-05,302.6037868,94.76762855,0,324.8741795
JI631.5-5,,"Section, clear and no cracks but slightly yellow",4.364928719,0.087227386,1.998369078,56.90985037,0.781387405,3.411159965,0.067848991,1.989029891,6.208995141,0.131768985,3.829587459,0.074212541,0,0,0.130824295,0.001112554,2.35E-05,264.0840878,162.8819298,0,302.3613414
JI741.4-2,,possible small inclusion in lower half. Weird left-trending bend in the lower half of the grain,59.52215939,1.021962543,1.71694467,46.32395678,0.738842097,44.03847755,0.752827234,1.709476066,3.076272559,0.052370439,0.468426579,0.008751043,0,0,0.759107841,0.004786829,3.93E-06,782.7217481,119.185691,0,810.7303855
JI741.4-3,,"Half grain. Elongate crack parallel to c-axis, pretty clear grain",714.5976543,12.71598463,1.779460729,75.03907554,0.832930955,601.6526675,10.56576949,1.756124431,5.869102316,0.100542545,1.855069698,0.035777018,0,0,21.61867296,0.135323139,3.93E-06,1493.324774,472.0008935,0,1604.244984
JI741.4-4,,"Section, no terminations, yellowish, highly fractured",147.5937926,2.474966066,1.6768768,87.95884144,0.856110696,126.5920872,2.113900922,1.669852334,10.0870296,0.174467832,3.990395132,0.069581015,0,0,7.608599959,0.047629848,3.93E-06,2566.527279,1015.309597,0,2805.125034
JI741.4-5,,Half grain. Pretty dark brown but still translucent,239.7534022,4.332009953,1.80686068,76.35294739,0.836446746,201.2481602,3.616991425,1.79727925,10.49244822,0.186666939,1.690837391,0.031315364,0,0,12.02986117,0.075302467,3.93E-06,2669.68133,430.2138944,0,2770.781595
JI741.4-6,,"Section, yellowish brown, very solid and thick",138.0666658,2.185198173,1.582712351,150.0629341,0.914224937,126.3552489,1.995118548,1.578975598,9.58881775,0.155206797,3.723533456,0.052653357,0,0,7.207803124,0.045142191,3.93E-06,2439.763073,947.4097499,0,2662.404364
JI741.4-7,,"Section, pretty broken inset  on one side but mostly whole",254.9579184,4.728735557,1.854712176,77.62731511,0.838084228,214.4545461,3.952064861,1.842844991,4.290636439,0.084194634,1.494651878,0.025346396,0,0,5.470174517,0.025238651,3.93E-06,1091.702503,380.2967741,0,1181.072245
JI741.4-8,,"Section, unclear whether termination present",137.4121505,1.87575264,1.36505588,73.37390151,0.829316406,114.1943227,1.55187422,1.358976684,5.841365515,0.081932665,1.861390621,0.040625877,0,0,3.90436729,0.018024058,2.98E-06,1959.95722,624.5536214,0,2106.727321
JI741.4-9,,"Section, unclear whether one side is a termination. Flecks of other grains on side, but are not a large proportion",118.9422288,1.804828619,1.517399361,88.02920675,0.856319174,102.005735,1.541809737,1.51149319,14.93581814,0.239855201,5.555062237,0.088806044,0,0,9.011850576,0.041573781,2.98E-06,5011.424902,1863.893692,0,5449.43992
JIBFCT-1,BFCT are broken FCT,"Mostly inclusion free, crack down c-axis, chip in side",26.81871347,0.396340607,1.477850932,62.95422471,0.799129086,21.44252048,0.315111724,1.469564757,1.744410769,0.030134944,1.826629487,0.032087093,0,0,0.252000178,0.001283597,2.98E-06,585.3032944,612.8901952,0,729.3324903
JIBFCT-2,,Small inclusions close to center,27.77756238,0.390027582,1.404110182,82.09307861,0.845962822,23.50801931,0.329068225,1.399812638,3.676154961,0.055046925,1.730839874,0.031428271,0,0,0.518563431,0.002542079,2.98E-06,1233.462696,580.7498432,0,1369.938909
JIBFCT-4,,1 diagonal inclusion. Hard to tell if peaked or not,22.54005679,0.394342429,1.749518349,63.62952815,0.803500322,18.11849588,0.315452142,1.741050385,1.972938237,0.03921841,1.062120029,0.019534049,0,0,0.217488543,0.000704928,2.98E-06,661.9812666,356.3738329,0,745.7291173
JIBFCT-5,Laser maxed out at 827 C,"No visible inclusions!! Possible peak present, but broken enough that I can't tell",26.11150362,0.418732943,1.603633972,103.8822847,0.876277495,22.88782345,0.365767809,1.598089088,2.761518695,0.052553686,2.020137391,0.033276272,0,0,0.400338229,0.000921913,2.98E-06,926.574187,677.8180297,0,1085.861424
JIBFCT-7,,"Very minor inclusions, ever so slightly yellow, one side curves",29.47194791,0.412531576,1.399743165,82.6639702,0.845594098,24.93179843,0.347416151,1.393466068,2.894048883,0.048410281,2.383579695,0.037735488,0,0,0.465602248,0.001102799,2.98E-06,971.0421284,799.7640654,0,1158.986684
