count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1703024978.773909,1.3656298314401738e-12,1.1007114490702019e-11,1.3299772394503862e-10,1.608360250537899e-10,8.305914278843723e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9262,4:29:35 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.3656298314401738e-12, 1.1007114490702019e-11, 1.3299772394503862e-10, 1.608360250537899e-10, 8.305914278843723e-14]",True
2,1703024979.5109427,1.3293524267488088e-12,1.0903685940255592e-11,1.3385698105494725e-10,1.6014771453409793e-10,8.396899169905991e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9263,4:29:37 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.3293524267488088e-12, 1.0903685940255592e-11, 1.3385698105494725e-10, 1.6014771453409793e-10, 8.396899169905991e-14]",False
3,1703024982.542193,1.2261174063901703e-12,1.0614926472529707e-11,1.3336289017562564e-10,1.6100354383041804e-10,7.879412183484091e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9264,4:29:40 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.2261174063901703e-12, 1.0614926472529707e-11, 1.3336289017562564e-10, 1.6100354383041804e-10, 7.879412183484091e-14]",True
4,1703024985.0484433,1.2252899432921294e-12,1.0675103162549604e-11,1.3402247367455544e-10,1.6174857286888056e-10,8.228237291822357e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9265,4:29:42 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.2252899432921294e-12, 1.0675103162549604e-11, 1.3402247367455544e-10, 1.6174857286888056e-10, 8.228237291822357e-14]",False
5,1703024987.5595386,1.1978390284869689e-12,1.079475311221989e-11,1.3470154158756742e-10,1.6214690701232826e-10,8.615403854737858e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9266,4:29:45 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1978390284869689e-12, 1.079475311221989e-11, 1.3470154158756742e-10, 1.6214690701232826e-10, 8.615403854737858e-14]",True
6,1703024990.1261451,1.0780782733546546e-12,1.0839612193946913e-11,1.3458396896925962e-10,1.6141801784108623e-10,7.880935487536433e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9267,4:29:48 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0780782733546546e-12, 1.0839612193946913e-11, 1.3458396896925962e-10, 1.6141801784108623e-10, 7.880935487536433e-14]",False
7,1703024992.7212574,1.1440733343331955e-12,1.0921435630861787e-11,1.3498657747135212e-10,1.6311317574402295e-10,7.767638393390772e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9268,4:29:50 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1440733343331955e-12, 1.0921435630861787e-11, 1.3498657747135212e-10, 1.6311317574402295e-10, 7.767638393390772e-14]",True
8,1703024995.3994336,1.063091997245691e-12,1.0657548628334457e-11,1.3437098655977309e-10,1.623697010177949e-10,8.203856973094947e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9269,4:29:53 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.063091997245691e-12, 1.0657548628334457e-11, 1.3437098655977309e-10, 1.623697010177949e-10, 8.203856973094947e-14]",False
9,1703024997.9689503,1.0795717618472533e-12,1.079822429389532e-11,1.3508126561756484e-10,1.6327215968114928e-10,7.895002333098075e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9270,4:29:55 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0795717618472533e-12, 1.079822429389532e-11, 1.3508126561756484e-10, 1.6327215968114928e-10, 7.895002333098075e-14]",True
10,1703025000.5425463,1.0564083245331868e-12,1.0804175262779658e-11,1.3455773995030285e-10,1.633027602032655e-10,7.778629492914343e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,9271,4:29:58 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0564083245331868e-12, 1.0804175262779658e-11, 1.3455773995030285e-10, 1.633027602032655e-10, 7.778629492914343e-14]",False
