,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_12182023,lb,0.003725924,7.15E-05,9616,1507,,1702918820,10000-5713-19232-001.csv
hb01_12182023,hb,0.003888961,6.45E-05,9617,1507,,1702920355,10000-5714-19234-001.csv
FCTVV_Z1_EM,zirc,1.052934509,0.00171314,9619,1508,,1702922609,10000-5716-19238-001.csv
FCTVV_Z1_EM_re1,zirc,0.013244364,0.000156057,9620,1508,,1702923768,10000-5717-19240-001.csv
Z22POC1_2,zirc,8.915381975,0.016368833,9621,1508,,1702925138,10000-5718-19242-001.csv
Z22POC1_2_re1,zirc,0.005545405,0.000128531,9622,1508,,1702926396,10000-5719-19244-001.csv
Z22POC1_3,zirc,3.572145572,0.005264213,9623,1508,,1702932961,10000-5720-19246-001.csv
Z22POC1_3_re1,zirc,0.059754792,0.000569568,9624,1508,,1702934454,10000-5721-19248-001.csv
std1509,std,1.196532954,0.002062287,9625,1509,,1702935248,10000-5722-19250-001.csv
lb03_12182023,lb,0.004271083,0.000100715,9627,1509,,1702945298,10000-5723-19254-001.csv
lb02_12192023,lb,0.003802934,9.63E-05,9629,1509,,1703002361,10000-5725-19258-001.csv
hb01_12192023,hb,0.003641819,9.27E-05,9630,1509,,1703003509,10000-5726-19260-001.csv
std1510,std,1.200129972,0.002044914,9631,1510,,1703004202,10000-5727-19262-001.csv
Z22POC1_6,zirc,5.384390928,0.007980446,9632,1510,,1703005390,10000-5728-19264-001.csv
Z22POC1_6_re1,zirc,0.010048751,0.000124755,9633,1510,,1703006787,10000-5729-19266-001.csv
Z23TR01_1_NM,zirc,3.936313593,0.006648037,9634,1510,,1703008052,10000-5730-19268-001.csv
Z23TR01_1_NM_re1,zirc,0.024272832,0.000216569,9635,1510,,1703009140,10000-5731-19270-001.csv
Z23TR01_2_NM,zirc,1.594162093,0.002436898,9636,1510,,1703010553,10000-5732-19272-001.csv
Z23TR01_2_NM_re1,zirc,0.118978828,0.000612271,9637,1510,6.75% remains,1703011724,10000-5733-19274-001.csv
Z23TR01_2_NM_re2,zirc,0.009437652,0.000118553,9638,1510,,1703013257,10000-5734-19276-001.csv
std1511,std,1.196579697,0.001381626,9639,1511,,1703013753,10000-5735-19278-001.csv
std1508,std,1.195053695,0.002228947,9618,1508,,1702921123,10000-5715-19236-001.csv
Z23TR01_3_Mag,zirc,5.546583501,0.007800578,9640,1511,,1703014936,10000-5736-19280-001.csv
Z23TR01_3_Mag_re1,zirc,0.004671311,9.20E-05,9641,1511,,1703016403,10000-5737-19282-001.csv
FCTVV_Z2_EM,zirc,0.8652477,0.001666877,9642,1511,,1703018846,10000-5738-19284-001.csv
FCTVV_Z2_EM_re1,zirc,0.063267308,0.000520502,9643,1511,6.45 remains,1703020572,10000-5739-19286-001.csv
FCTVV_Z2_EM_re2,zirc,0.04558896,0.000340369,9644,1511,4.34 remains,1703022032,10000-5740-19288-001.csv
FCTVV_Z2_EM_re3,zirc,0.056908406,0.00037608,9645,1511,5.22 remains; moving on,1703023164,10000-5741-19290-001.csv
Z23TR01_4_Mag,zirc,2.220091968,0.003392401,9646,1511,,1703024438,10000-5742-19292-001.csv
std1512,std,1.204424897,0.002134755,9647,1512,,1703025027,10000-5743-19294-001.csv
Z23TR01_4_Mag_re1,zirc,0.004723606,7.97E-05,9648,1512,,1703026583,10000-5744-19296-001.csv
Z23TR01_5_Mag,zirc,2.190701522,0.002901702,9649,1512,,1703027943,10000-5745-19298-001.csv
Z23TR01_5_Mag_re1,zirc,0.336767389,0.000968604,9650,1512,13.20 remains,1703029219,10000-5746-19300-001.csv
Z23TR01_5_Mag_re2,zirc,0.008014104,0.000124343,9651,1512,,1703030736,10000-5747-19302-001.csv
std1513,std,1.202482471,0.001481555,9652,1513,,1703031314,10000-5748-19304-001.csv
lb02_12202023,lb,0.003822449,0.000104588,9654,1513,,1703092581,10000-5750-19308-001.csv
hb01_12202023,hb,0.003807421,8.27E-05,9655,1513,,1703093674,10000-5751-19310-001.csv
std1514,std,1.196166498,0.001706685,9656,1514,,1703094208,10000-5752-19312-001.csv
Z23TR01_6_Mag,zirc,0.877908678,0.001804028,9657,1514,,1703095343,10000-5753-19314-001.csv
Z23TR01_6_Mag_re1,zirc,0.003957979,8.78E-05,9658,1514,,1703096765,10000-5754-19316-001.csv
Z23TR01_7_Mag,zirc,1.163015934,0.001982137,9659,1514,,1703097877,10000-5755-19318-001.csv
Z23TR01_7_Mag_re1,zirc,0.003894371,9.39E-05,9660,1514,,1703099029,10000-5756-19320-001.csv
std1515,std,1.196677317,0.001949456,9661,1515,,1703099553,10000-5757-19322-001.csv
Z23TR02W_1_Mag,zirc,4.995640127,0.007275408,9662,1515,,1703100761,10000-5758-19324-001.csv
lb03_12202023,lb,0.003625138,6.45E-05,9664,1515,,1703114083,10000-5759-19328-001.csv
Z23TR02W_2_Mag,zirc,8.358845791,0.013753636,9665,1515,,1703115282,10000-5760-19330-001.csv
Z23TR02W_2_Mag_re1,zirc,0.007242694,0.000101184,9666,1515,,1703116540,10000-5761-19332-001.csv
Z23TR02W_3_Mag,zirc,1.299674598,0.00227051,9667,1515,,1703117876,10000-5762-19334-001.csv
Z23TR02W_3_Mag_re1,zirc,0.034721971,0.000272079,9668,1515,2.32% remains,1703118969,10000-5763-19336-001.csv
std1516,std,1.198599675,0.002273723,9669,1516,,1703119511,10000-5764-19338-001.csv
lb02_12222023,lb,0.003733077,8.01E-05,9671,1516,,1703270967,10000-5766-19342-001.csv
lb01_12222023,hb,0.00433893,8.37E-05,9672,1516,,1703272131,10000-5767-19344-001.csv
std1517,std,1.193670039,0.002666474,9673,1517,,1703272681,10000-5768-19346-001.csv
Z23TR02W_4_Mag,zirc,1.912563773,0.003220039,9674,1517,,1703273855,10000-5769-19348-001.csv
Z23TR02W_4_Mag_re1,zirc,0.004174318,9.27E-05,9675,1517,,1703275051,10000-5770-19350-001.csv
FCTVV_Z3_EM,zirc,0.592030444,0.001305054,9676,1517,,1703276308,10000-5771-19352-001.csv
FCTVV_Z3_EM_re1,zirc,0.008929743,0.000119116,9677,1517,,1703277501,10000-5772-19354-001.csv
std1518,std,1.210764859,0.002293237,9678,1518,,1703278742,10000-5773-19356-001.csv
