count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1691103172.3733163,1.1826430676778465e-12,1.297265159877492e-11,1.644803598876976e-10,8.241144854211069e-13,7.868027383046636e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10619,5:52:48 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1826430676778465e-12, 1.297265159877492e-11, 1.644803598876976e-10, 8.241144854211069e-13, 7.868027383046636e-14]",False
2,1691103173.3192074,1.1755311351072106e-12,1.2903855935164632e-11,1.6533248381467303e-10,7.728902695798567e-13,7.205865813980986e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10620,5:52:51 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1755311351072106e-12, 1.2903855935164632e-11, 1.6533248381467303e-10, 7.728902695798567e-13, 7.205865813980986e-14]",True
3,1691103175.8272552,1.1497747198774277e-12,1.2614884831174678e-11,1.6476746356186567e-10,8.274862457573195e-13,7.72546157362837e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10621,5:52:53 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1497747198774277e-12, 1.2614884831174678e-11, 1.6476746356186567e-10, 8.274862457573195e-13, 7.72546157362837e-14]",False
4,1691103178.3599553,1.0087305339981367e-12,1.2836491418422025e-11,1.646108804820301e-10,8.35230485034949e-13,7.630111413569132e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10622,5:52:56 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0087305339981367e-12, 1.2836491418422025e-11, 1.646108804820301e-10, 8.35230485034949e-13, 7.630111413569132e-14]",True
5,1691103180.9527595,1.0165679062423827e-12,1.2641162422388774e-11,1.6688561643718458e-10,7.757537017274996e-13,8.49908522466275e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10623,5:52:59 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0165679062423827e-12, 1.2641162422388774e-11, 1.6688561643718458e-10, 7.757537017274996e-13, 8.49908522466275e-14]",False
6,1691103183.5551803,9.60436049267377e-13,1.2746917237016486e-11,1.6605307406880598e-10,7.48093156432289e-13,8.09858568553111e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10624,5:53:01 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.60436049267377e-13, 1.2746917237016486e-11, 1.6605307406880598e-10, 7.48093156432289e-13, 8.09858568553111e-14]",True
7,1691103186.1158526,9.255398097235412e-13,1.2735529644758437e-11,1.6624804310971797e-10,8.418497019282989e-13,7.54712725691345e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10625,5:53:04 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.255398097235412e-13, 1.2735529644758437e-11, 1.6624804310971797e-10, 8.418497019282989e-13, 7.54712725691345e-14]",False
8,1691103188.7025723,8.576140015162381e-13,1.2472652251294125e-11,1.6524537294060337e-10,8.123450913680164e-13,8.20628694121403e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10626,5:53:06 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.576140015162381e-13, 1.2472652251294125e-11, 1.6524537294060337e-10, 8.123450913680164e-13, 8.20628694121403e-14]",True
9,1691103191.8457816,8.456854465842267e-13,1.2617783554103035e-11,1.6567082428142754e-10,7.949950918927084e-13,7.943717569586922e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10627,5:53:09 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.456854465842267e-13, 1.2617783554103035e-11, 1.6567082428142754e-10, 7.949950918927084e-13, 7.943717569586922e-14]",False
10,1691103194.3621132,9.038501826326428e-13,1.2378185282324594e-11,1.6647146161563597e-10,8.435659397572348e-13,8.04129508748426e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),10628,5:53:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.038501826326428e-13, 1.2378185282324594e-11, 1.6647146161563597e-10, 8.435659397572348e-13, 8.04129508748426e-14]",True
