,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_08032023,lb,0.004232073170977352,0.000105079379371482,8615,1345,,1691081353.274814,10000-4720-17230-001.csv
hb01_08032023,hb,0.0036427733177500287,9.304531904057208e-05,8618,1345,,1691089235.913116,10000-4722-17236-001.csv
std1346,std,1.1849269390314123,0.002307949451710621,8619,1346,,1691090395.1882374,10000-4723-17238-001.csv
labFCT13,zirc,0.4157793121992216,0.0009365176261882847,8620,1346,,1691091908.9709175,10000-4724-17240-001.csv
labFCT13_re1,zirc,0.07456922894666895,0.00043766689806515124,8621,1346,14.57 remains,1691093257.8506505,10000-4725-17242-001.csv
labFCT13_re2,zirc,0.016797812790393017,0.00010751311443642515,8622,1346,2.63% remains,1691094929.4788666,10000-4726-17244-001.csv
NMT_1,zirc,0.16442157153351694,0.0004331307539027326,8623,1346,,1691096212.144518,10000-4727-17246-001.csv
NMT_1_re1,zirc,0.014557742918555846,0.0001241391469690016,8624,1346,6.23% remaining,1691101624.970011,10000-4728-17248-001.csv
NMT_1_re2,zirc,0.004404846867129301,7.108272906748665e-05,8625,1346,,1691103220.605243,10000-4729-17250-001.csv
std1347,std,1.1814286506169362,0.0014641786038074452,8626,1347,,1691103780.1472456,10000-4730-17252-001.csv
lb02_08042023,lb,0.003814490229168533,6.314387811956473e-05,8628,1347,,1691165565.2693908,10000-4732-17256-001.csv
hb01_08042023,hb,0.004116957000419466,7.409621538594823e-05,8629,1347,,1691166708.1489336,10000-4733-17258-001.csv
std1348,std,1.17751395024449,0.002361957527964675,8630,1348,,1691167268.0585206,10000-4734-17260-001.csv
NMT_4,zirc,1.760073078810196,0.0021602406314324856,8632,1348,,1691170234.2498007,10000-4736-17264-001.csv
NMT_4_re1,zirc,0.004206627164667826,9.524198816052983e-05,8633,1348,,1691171740.6065924,10000-4737-17266-001.csv
NMT_5,zirc,1.4487202652756443,0.0019860525712671897,8634,1348,,1691173163.8300192,10000-4738-17268-001.csv
NMT_5_re1,zirc,0.04839271147870462,0.0004966171037470325,8635,1348,2.97% remains,1691174377.679308,10000-4739-17270-001.csv
NMT_5_re2,zirc,0.004181319318908003,7.271953095540632e-05,8636,1348,,1691175817.0368474,10000-4740-17272-001.csv
std1349,std,1.1779116811640662,0.0020869230012135354,8637,1349,,1691177101.9911616,10000-4741-17274-001.csv
NMT_6,zirc,0.35467041634506735,0.000974473354070965,8639,1349,,1691179767.2949643,10000-4743-17278-001.csv
NMT_6_re1,zirc,0.004345290128109486,7.192493268145428e-05,8640,1349,,1691181017.3241074,10000-4744-17280-001.csv
std1350,std,1.17593278299193,0.002037557131854566,8642,1350,,1691190479.5353363,10000-4746-17284-001.csv
