count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1696135864.4661024,1.286750437104467e-12,1.2714073717445817e-11,1.5418381849041651e-10,3.5964835276569573e-11,8.074042736477827e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16766,11:51:01 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.286750437104467e-12, 1.2714073717445817e-11, 1.5418381849041651e-10, 3.5964835276569573e-11, 8.074042736477827e-14]",True
2,1696135866.2101023,1.158653034627477e-12,1.2727196900541582e-11,1.535648830319758e-10,3.6279493298430054e-11,8.00228888145002e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16767,11:51:04 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.158653034627477e-12, 1.2727196900541582e-11, 1.535648830319758e-10, 3.6279493298430054e-11, 8.00228888145002e-14]",False
3,1696135868.726709,1.2628040974016486e-12,1.2639697448413312e-11,1.5485503157552927e-10,3.599319453595484e-11,8.033816802999541e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16768,11:51:07 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.2628040974016486e-12, 1.2639697448413312e-11, 1.5485503157552927e-10, 3.599319453595484e-11, 8.033816802999541e-14]",True
4,1696135871.3020794,1.0666003670556368e-12,1.2792244694082022e-11,1.546835298738003e-10,3.6200643177553005e-11,8.162681007463021e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16769,11:51:09 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0666003670556368e-12, 1.2792244694082022e-11, 1.546835298738003e-10, 3.6200643177553005e-11, 8.162681007463021e-14]",False
5,1696135873.9990988,1.0778479888132186e-12,1.2585916683849341e-11,1.5414600151864022e-10,3.61202803778049e-11,7.80057374488545e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16770,11:51:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0778479888132186e-12, 1.2585916683849341e-11, 1.5414600151864022e-10, 3.61202803778049e-11, 7.80057374488545e-14]",True
6,1696135876.6040268,1.026303824910868e-12,1.2475460768601732e-11,1.5395430763565088e-10,3.6035535666556484e-11,8.333474698068305e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16771,11:51:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.026303824910868e-12, 1.2475460768601732e-11, 1.5395430763565088e-10, 3.6035535666556484e-11, 8.333474698068305e-14]",False
7,1696135879.6314101,1.0269342884741683e-12,1.2486781574005956e-11,1.5513490492224946e-10,3.566494669038356e-11,7.942674702622263e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16772,11:51:17 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0269342884741683e-12, 1.2486781574005956e-11, 1.5513490492224946e-10, 3.566494669038356e-11, 7.942674702622263e-14]",True
8,1696135882.1421266,1.0458196808560416e-12,1.2696675308343508e-11,1.543386390912005e-10,3.636590681366236e-11,8.219812363315787e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16773,11:51:20 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0458196808560416e-12, 1.2696675308343508e-11, 1.543386390912005e-10, 3.636590681366236e-11, 8.219812363315787e-14]",False
9,1696135884.652519,9.897054963764473e-13,1.2522888975796675e-11,1.5484773185914236e-10,3.6200892977733545e-11,8.052374278434346e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16774,11:51:22 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.897054963764473e-13, 1.2522888975796675e-11, 1.5484773185914236e-10, 3.6200892977733545e-11, 8.052374278434346e-14]",True
10,1696135887.203288,9.36488191681517e-13,1.2514770469929104e-11,1.5611459347475432e-10,3.5970806194773886e-11,8.198295015950097e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16775,11:51:25 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.36488191681517e-13, 1.2514770469929104e-11, 1.5611459347475432e-10, 3.5970806194773886e-11, 8.198295015950097e-14]",False
11,1696135889.7597098,9.353597540603942e-13,1.2494962529918663e-11,1.550802819494379e-10,3.604820608682502e-11,7.755340152622997e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16776,11:51:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.353597540603942e-13, 1.2494962529918663e-11, 1.550802819494379e-10, 3.604820608682502e-11, 7.755340152622997e-14]",True
12,1696135892.3034892,9.545689976311889e-13,1.2346844033284121e-11,1.5524104224340363e-10,3.626538652712341e-11,7.863477122053986e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16777,11:51:30 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.545689976311889e-13, 1.2346844033284121e-11, 1.5524104224340363e-10, 3.626538652712341e-11, 7.863477122053986e-14]",False
13,1696135894.865934,9.38267909547652e-13,1.251864410745096e-11,1.5534375175096926e-10,3.620365812695425e-11,8.431143695523946e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16778,11:51:33 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.38267909547652e-13, 1.251864410745096e-11, 1.5534375175096926e-10, 3.620365812695425e-11, 8.431143695523946e-14]",True
14,1696135897.4469447,9.000839353359713e-13,1.2384359163175596e-11,1.5565615463231097e-10,3.600502188061405e-11,8.13908470243159e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16779,11:51:35 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.000839353359713e-13, 1.2384359163175596e-11, 1.5565615463231097e-10, 3.600502188061405e-11, 8.13908470243159e-14]",False
15,1696135900.5961578,9.026869421217831e-13,1.2443076083390459e-11,1.555576223388755e-10,3.616633728609209e-11,8.138562930136081e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16780,11:51:38 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.026869421217831e-13, 1.2443076083390459e-11, 1.555576223388755e-10, 3.616633728609209e-11, 8.138562930136081e-14]",True
16,1696135903.1091812,8.567668601487666e-13,1.2497802272248837e-11,1.555219286686338e-10,3.6017886589911896e-11,8.379444192555333e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,,16781,11:51:41 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.567668601487666e-13, 1.2497802272248837e-11, 1.555219286686338e-10, 3.6017886589911896e-11, 8.379444192555333e-14]",False
