,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU,He_pmol_1s_%,mass_morph_g
AMOCOZ18_09232023,,inclusions,370.73830525930833,8.415771477421167,2.270003222767839,110.21918750174704,0.8842201705299655,329.05472482146865,7.424684197632247,2.256367600149358,10.482529724387561,0.25999077093941275,2.480229274566666,4.1015775373047445,0.061865518059179635,1.508334719909577,0,0,0,20.913478388475657,0.02881540709541062,,205.73171888646664,80.49818308005094,0.0,224.64879191027862,0.13778390452393283,5.0952423773664e-05
FCT2_09262023,,"chipped, inclusions",27.941399185921345,0.32609422778922204,1.167064775888278,71.07177526689462,0.8230242931241226,23.006937863771274,0.2673487644043563,1.1620354085684168,4.5511522013746,0.06017775659826315,1.3222532215048195,2.419701845565094,0.030981909107144625,1.2804019290198605,0,0,0,0.6364343783767565,0.001415532391690126,,329.2193473236962,175.03538160606448,0.0,370.3526620011213,0.2224160792979915,1.3824072729540404e-05
AMOCOZ19_09262023,,chipped,389.22057631879306,4.748965248587645,1.220121837725758,75.46896492790238,0.8334482400664258,326.250533407731,3.9461125880748416,1.2095344479155823,4.905432160804853,0.06417706609203279,1.3082856716441271,1.9455422061543122,0.030662013263414726,1.5760137799335279,0,0,0,9.711832660845207,0.019185167224842852,,319.1256125886129,126.56832833544422,0.0,348.8691697474423,0.19754425240656065,1.5371477459969598e-05
AMOCOZ20_09262023,,"chipped, inclusions",333.08239345180965,4.707785221383221,1.4133996014005297,93.7673564842144,0.8641182013735919,288.9507845033757,4.056395707871115,1.4038361982103307,12.294714842727261,0.19351549826648085,1.5739730505498613,6.6788162298211375,0.11216028476830206,1.6793437775320517,0,0,0,22.15604049636475,0.04375756696625406,,328.50446540575007,178.45236617411078,0.0,370.4407714566661,0.1974972331966697,3.742632486758293e-05
BIVINSZ11_09262023,,chipped,971.2184300323868,18.617515301031396,1.9169236008433825,32.29998322273089,0.6315453480766057,632.3897217805187,11.709884737811782,1.851688023145305,0.07130518285746495,0.0014462912369627688,2.028311518187708,0.06922436684426159,0.0026086461192122217,3.768392891308139,0,0,0,0.31526128339985915,0.0008337206271902303,,65.69329892076654,63.776247973323734,0.0,80.68071719449762,0.26445385814559014,1.085425515675e-06
BIVINSZ12_09262023,,,849.8186251543233,12.886352871539975,1.516365079572111,50.85818291018729,0.7560222764585471,654.0159838124124,9.718349837290662,1.4859498969184397,0.34211732340618234,0.005494217804230543,1.6059455129395703,0.2876497685863233,0.009073942701644154,3.1545106906356075,0,0,0,1.5295019348754415,0.00304765071627087,,124.57744379413464,104.74381279989565,0.0,149.19223980211012,0.19925772218909044,2.746222052617602e-06
BIVINSZ13_09262023,,chipped,1045.1970124371087,15.6291245768669,1.4953280951716585,43.266959075223426,0.7151980825330809,766.5131129597593,11.10756096825945,1.4491025372507333,0.3224555795481835,0.005370326049298253,1.6654467746605643,0.3711943580387718,0.008224365515689941,2.215649386252496,0,0,0,1.8070138746849267,0.003596530040462484,,162.91941465938703,187.54449100021571,0.0,206.99237004443773,0.19903167822048848,1.9792335997667076e-06
BIVINSZ14_09262023,,,851.2242606010516,19.190906145115605,2.254506483586929,32.6448781199887,0.6346595841454967,554.5937181714165,12.130869844686105,2.187343535856033,0.0860395600597802,0.00209105450775113,2.43034077149891,0.08708792685618726,0.0038649769012813404,4.438016887993871,0,0,0,0.33389546049621294,0.000886916670792768,,74.08684678975794,74.98957328174505,0.0,91.70939651096802,0.2656270526932868,1.1613338100883333e-06
FCT3_09262023,,"chipped, inclusions",26.654087633782467,0.3271462296068303,1.2273773317687753,87.70194593705602,0.8545869459163967,22.786456484800773,0.2786108748172821,1.2227038241032502,7.2751551326055885,0.10428640872438139,1.4334595870951734,4.969093835266359,0.0720093865295792,1.4491452348619065,0,0,0,1.039708055019731,0.002111619894704194,,219.19766699020568,149.7169140578448,0.0,254.3811417937992,0.20309738724339504,3.318992958502e-05
BIVINSZ17_09302023,,chipped,910.0962147708868,13.83899576228759,1.5206079904168708,71.04275518004057,0.819852088635361,756.2750899651971,11.288105402333438,1.4925925172086394,0.29340920885607696,0.005254280698310524,1.7907688442348288,0.38139344988369583,0.006911045301907388,1.812051387881695,0,0,0,1.663831584270579,0.0038761844489886904,,40.93854778884962,53.21473731274988,0.0,53.44401105734584,0.23296735592911602,7.167064410037341e-06
BIVINSZ19_09302023,,chipped,913.1774848564963,17.95979854955044,1.9667368991661878,37.49772251633811,0.6767471194041479,633.6041203762421,12.131847379013081,1.9147361876070246,0.09004085858796847,0.00187139530890745,2.078384567023122,0.09260900298658616,0.003784740720142765,4.086795665742089,0,0,0,0.4031828131379304,0.0010844891830555515,,53.50244813519193,55.0284443845112,0.0,66.43413256555206,0.2689819971776782,1.6829296924964995e-06
BivinsZ20_09302023,,,972.3702865233926,14.976200468303357,1.5401746305771213,45.72659346156148,0.7313341436156695,727.4934309786769,10.87643935750916,1.4950567103922003,0.6775081908998947,0.011282831468968824,1.6653424446400413,0.5258185444984117,0.009884288069363827,1.879790694486182,0,0,0,3.350274970016416,0.0077804349396632735,,298.94329219855325,232.0118470931258,0.0,353.46607626543783,0.23223272744162698,2.266343512567945e-06
BivinsZ21_09302023,,,851.8886428311835,12.62423163693703,1.4819110153859323,46.827506875193954,0.7373891022495216,640.4909526290128,9.259944643224397,1.4457572905932947,0.35024394908848716,0.005554985213890694,1.5860331715501699,0.25680276671107166,0.006158460037353511,2.3981283832048366,0,0,0,1.5002126358387147,0.003511725593117266,,148.14022725483693,108.61806554904315,0.0,173.66547265886206,0.2340818567465263,2.3642730646415378e-06
MOPOZ11_09302023,,chipped,729.5896482479229,9.61128555637583,1.3173549788510437,50.41689999113978,0.7539004666308929,558.4929358435154,7.200419598536221,1.289258849382065,0.8048352955051536,0.011831116021859866,1.4700046193220295,0.6985509045109805,0.011808501838022154,1.6904282510790933,0,0,0,3.0622638504733484,0.007114281700279416,,150.42298304530712,130.5585272569179,0.0,181.10423695068283,0.23232099021055055,5.350480885375999e-06
MOPOZ12_09302023,,inclusions,775.9633275523457,9.665723205187515,1.245641754189147,45.270999311251224,0.7298430593901422,576.8068050943398,7.015461404857608,1.2162584322683558,0.8631846743972689,0.011380166234441078,1.3183929895867814,0.5369551261296733,0.010356167118975022,1.9286839095142623,0,0,0,3.238617690528114,0.0075208104687501005,,199.62411455206262,124.17874736095557,0.0,228.80612018188717,0.23222285516274382,4.324050109548e-06
MOPOZ13_09302023,,,493.1689410296161,5.806565690164859,1.1773989006773562,44.315910164661965,0.7081660999497105,352.22733762150017,4.134840344401331,1.1739123863362892,1.177426327625872,0.01777072873134337,1.5092858308320443,6.654814324742998,0.10939584568674131,1.643860224319122,0,0,0,5.335440226303792,0.012375183507885761,,344.0941040048717,1944.8200865428914,0.0,801.1268243424512,0.2319430634210077,3.4218148870380003e-06
MOPOZ14_09302023,,,458.0632459545417,5.561389204981332,1.2141094606689413,47.552476669192814,0.7350094013394807,339.777562412589,4.058714103492862,1.1945209314805785,1.3208568428725982,0.020729623052261743,1.5694072498560085,2.6355251690479067,0.04139559314497607,1.5706772081380038,0,0,0,3.6525185181340833,0.008478330545601355,,321.45630411166366,641.4065118464349,0.0,472.18683439557583,0.2321228627180944,4.1089778796615995e-06
FCT4_09302023,,chipped,29.57024994258005,0.33931710986984315,1.1474948995315704,59.23079138235255,0.7877179063024999,23.306636486496764,0.26574272511449926,1.1402019560757446,3.1031952159657106,0.04274784454912602,1.3775428735256974,2.973527783241344,0.04170560732133535,1.4025632299918669,0,0,0,0.4791055792992465,0.001200296841784016,,411.2465893874602,394.06259490713586,0.0,503.85129919063706,0.2505286712669062,7.5458260227466676e-06
MOPOZ15_09302023,,,833.1308101070572,9.544476312589756,1.1456155740253193,46.16838319611864,0.7336696733460694,623.057223105829,6.961350002664835,1.1172890297240672,0.5184501744254659,0.00638373700189183,1.2313115737623455,0.40408403423827993,0.006749371483235878,1.670289076369673,0,0,0,2.17619950592126,0.005059622162381611,,141.3947881955235,110.20418017532795,0.0,167.29277053672556,0.2324980843261289,3.6666851801393335e-06
