"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
FCT1_09232023,chipped,3,272.35,261.16,105.07,105.21,37.975,43.005
AMOCOZ11_09232023,chipped,2,524.85,513.65,155.78,153.27,69.442,73.07
AMOCOZ12_09232023,chipped,3,405.61,402.85,172.8,123.66,52.665,75.365
AMOCOZ13_09232023,Chipped,2,508.96,518.32,174.32,131.94,57.655,84.895
AMOCOZ14_09232023,inclusions,2,386.59,382.61,161.52,145.14,66.52,60.96
AMOCOZ15_09232023,,2,413.98,416.14,132.98,110.89,48.44,43.96
AMOCOZ16_09232023,"chipped, inclusion",3,385.73,395.61,145.04,125.64,41.075,51.71
AMOCOZ17_09232023,broken,3,477.04,479.95,219.23,212.44,86.165,48.485
AMOCOZ18_09232023,inclusions,3,468.99,467.37,164.64,181.66,87.415,59.33
FCT2_09262023,"chipped, inclusions",2,304.93,307.97,117.93,104.98,57.295,38.265
AMOCOZ19_09262023,chipped,2,295.54,293.06,131.98,110.84,45.86,52.945
AMOCOZ20_09262023,"chipped, inclusions",2,481.53,476.56,146.08,136.78,52.555,55.215
BIVINSZ11_09262023,chipped,3,114.77,110.93,55.45,51.75,24.74,21.19
BIVINSZ12_09262023,,5,137.25,136.05,92.04,90.65,34.715,32.935
BIVINSZ13_09262023,chipped,4,150.08,152.62,77.29,70.08,23.79,33.165
BIVINSZ14_09262023,,3,115.86,110.04,57.41,50.21,17.585,20.465
BIVINSZ15_09262023,chipped,4,129.22,134.22,70.17,68.13,27.675,36.435
BIVINSZ16_09262023,,4,111.91,116.56,49.96,50.67,19.785,16.84
FCT3_09262023,"chipped, inclusions",2,504.04,505.28,121.29,141.58,50.77,75.97
BIVINSZ17_09302023,chipped,4,166.73,177.38,144.02,119,31.74,39.02
BIVINSZ19_09302023,chipped,3,134.03,133.12,65.79,59.47,30.995,29.105
BivinsZ20_09302023,,4,147.11,158.79,84.87,72,31.045,25.615
BivinsZ21_09302023,,4,150.78,148.78,78.86,83.05,32.925,22.995
MOPOZ11_09302023,chipped,2,223.32,232.24,87.72,69.52,24.115,31.455
MOPOZ12_09302023,inclusions,2,242.92,244.5,70.2,65.69,26.885,32.915
FCT4_09302023,chipped,3,230.9,231.81,83.68,108.58,33.445,42.775
MOPOZ13_09302023,,2,197.14,192.09,67.4,70.17,31.08,24.915
MOPOZ14_09302023,,2,212.83,206.69,74.58,73.93,37.54,34.09
MOPOZ15_09302023,,3,187.44,186.45,69.23,76.6,28.185,26.765
MOPOZ16_09302023,inclusions,2,178.25,173.87,68,63.57,22.175,25.995
MOPOZ17_09302023,,3,164.54,169.97,55.57,48.92,29.715,27.36
MOPOZ18_09302023,inclusions,3,308.03,302.88,111.52,101.32,55.08,37.29
MOPOZ19_10072023,,2,207.09,205,80.81,77.31,41.04,38.35
MOPOZ20_10072023,,3,245,246.17,112.14,108.79,60.675,45.14
APATITESTD1_10072023,,1.5,155.6,145.58,62.03,46.77,,
IWHZ01_10072023,,1,168.03,171.39,96.56,46.77,,
IWHZ02_10072023,,1.5,176.92,179.21,82.66,72.96,,
IWHZ03_10072023,,1,187.19,182.42,81.3,46.41,,
IWHZ04_10072023,,1,131.04,133.13,59.52,56.61,,
IWHZ05_10072023,,1,191.13,193.76,75.19,66.77,,
APATITESTD2_10072023,,1,156.76,155.23,59.17,61.35,,
IWHZ06_10072023,,1.5,138.26,137.63,73.27,56.29,,
IWHZ07_10072023,,2,170.49,173.95,65.55,60.98,,
IWHZ08_10072023,,1,131.59,129.92,69.93,68.07,,
IWHZ09_10072023,,1.5,128.82,133.31,84.71,89.98,,
IWHZ10_10072023,,1.5,166.13,161.46,50.88,53.24,,
IWHZ11_10072023,,1.5,138.21,138.23,67.98,58.72,,
