,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb01_09232023,lb,0.049609074,0.002847858,9152,1430,,1695491016.0,10000-5254-18304-001.csv
lb02_09232023,lb,0.003999302,9.449999999999999e-05,9153,1430,,1695492548.0,10000-5255-18306-001.csv
hb01_09232023,hb,0.004010769,7.120000000000001e-05,9154,1430,,1695493807.0,10000-5256-18308-001.csv
std1431,std,1.191387223,0.001990261,9155,1431,,1695494426.0,10000-5257-18310-001.csv
FCT1_09232023,zirc,1.734588314,0.002789249,9156,1431,,1695495654.0,10000-5258-18312-001.csv
FCT1_09232023_re1,zirc,0.015171842,0.000163296,9157,1431,,1695496850.0,10000-5259-18314-001.csv
AMOCOZ11_09232023,zirc,94.58935765,0.135674034,9158,1431,,1695498178.0,10000-5260-18316-001.csv
AMOCOZ11_09232023_re1,zirc,0.369946214,0.00081795,9159,1431,,1695499498.0,10000-5261-18318-001.csv
AMOCOZ12_09232023,zirc,102.8826,0.148429808,9160,1431,,1695501905.0,10000-5262-18320-001.csv
AMOCOZ12_09232023_re1,zirc,5.118179596,0.005997201,9161,1431,,1695503086.0,10000-5263-18322-001.csv
AMOCOZ12_09232023_re2,zirc,0.5278007929999999,0.000969226,9162,1431,,1695504354.0,10000-5264-18324-001.csv
std1432,std,1.191472699,0.002933538,9163,1432,,1695505016.0,10000-5265-18326-001.csv
AMOCOZ13_09232023,zirc,114.34939479999998,0.145850825,9164,1432,,1695506334.0,10000-5266-18328-001.csv
AMOCOZ13_09232023_re1,zirc,0.076399857,0.000361836,9165,1432,,1695507699.0,10000-5267-18330-001.csv
AMOCOZ14_09232023,zirc,68.16895555,0.072754908,9166,1432,,1695508945.0,10000-5268-18332-001.csv
AMOCOZ14_09232023_re1,zirc,1.517526594,0.002397111,9167,1432,,1695510079.0,10000-5269-18334-001.csv
AMOCOZ15_09232023,zirc,62.39246023,0.07760645099999999,9168,1432,,1695511381.0,10000-5270-18336-001.csv
AMOCOZ15_09232023_re1,zirc,0.809118947,0.001306593,9169,1432,,1695512523.0,10000-5271-18338-001.csv
std1433,std,1.189936804,0.0020397139999999998,9170,1433,,1695513057.0,10000-5272-18340-001.csv
AMOCOZ16_09232023,zirc,48.80832563,0.057033390999999996,9171,1433,,1695514193.0,10000-5273-18342-001.csv
AMOCOZ16_09232023_re1,zirc,1.0198447720000001,0.0022231770000000002,9172,1433,,1695515359.0,10000-5274-18344-001.csv
AMOCOZ17_09232023,zirc,182.26142190000002,0.234933615,9173,1433,,1695516558.0,10000-5275-18346-001.csv
AMOCOZ17_09232023_re1,zirc,18.05021543,0.025659561,9174,1433,,1695517794.0,10000-5276-18348-001.csv
AMOCOZ17_09232023_re2,zirc,7.060467188,0.009364611,9175,1433,,1695518941.0,10000-5277-18350-001.csv
AMOCOZ18_09232023,zirc,82.01096044,0.087806434,9176,1433,,1695520416.0,10000-5278-18352-001.csv
AMOCOZ18_09232023_re1,zirc,1.310972835,0.002146298,9177,1433,,1695521550.0,10000-5279-18354-001.csv
std1434,std,1.19140645,0.002045829,9178,1434,,1695522242.0,10000-5280-18356-001.csv
lb02_09262023,lb,0.003830231,8.840000000000001e-05,9180,1434,,1695752711.0,10000-5281-18360-001.csv
lb03_09262023,lb,0.003878772,8.7e-05,9181,1434,,1695753335.0,10000-5282-18362-001.csv
hb01_09262023,hb,0.00374003,6.07e-05,9182,1434,,1695754502.0,10000-5283-18364-001.csv
std1435,std,1.191213855,0.002027853,9183,1435,,1695755095.0,10000-5284-18366-001.csv
FCT2_09262023,zirc,2.5411836830000003,0.005448031,9184,1435,,1695756412.0,10000-5285-18368-001.csv
FCT2_09262023_re1,zirc,0.0043877890000000004,7.69e-05,9185,1435,,1695757985.0,10000-5286-18370-001.csv
AMOCOZ19_09262023,zirc,38.73149944,0.05185642,9186,1435,,1695759179.0,10000-5287-18372-001.csv
AMOCOZ19_09262023_re1,zirc,0.006633628000000001,0.00012576,9187,1435,,1695760842.0,10000-5288-18374-001.csv
AMOCOZ20_09262023,zirc,88.34069644,0.10590666900000001,9188,1435,,1695761981.0,10000-5289-18376-001.csv
AMOCOZ20_09262023_re1,zirc,0.02476367,0.000189252,9189,1435,,1695763125.0,10000-5290-18378-001.csv
std1436,std,1.192550708,0.0016698779999999999,9190,1436,,1695763667.0,10000-5291-18380-001.csv
BIVINSZ11_09262023,zirc,1.260997625,0.002339861,9191,1436,,1695769027.0,10000-5292-18382-001.csv
BIVINSZ12_09262023,zirc,6.064783526,0.007737919,9193,1436,,1695771365.0,10000-5294-18386-001.csv
BIVINSZ12_09262023_re1,zirc,0.042328887999999995,0.000290189,9194,1436,,1695772515.0,10000-5295-18388-001.csv
BIVINSZ13_09262023,zirc,7.134115182,0.010160474000000001,9195,1436,,1695773844.0,10000-5296-18390-001.csv
BIVINSZ13_09262023_re1,zirc,0.079710972,0.000314849,9196,1436,,1695775010.0,10000-5297-18392-001.csv
std1437,std,1.194479088,0.0019154839999999998,9197,1437,,1695775635.0,10000-5298-18394-001.csv
BIVINSZ14_09262023,zirc,1.334869542,0.0025760789999999998,9198,1437,,1695776949.0,10000-5299-18396-001.csv
BIVINSZ14_09262023_re1,zirc,0.004180951,7.3e-05,9199,1437,,1695778073.0,10000-5300-18398-001.csv
BIVINSZ15_09262023,zirc,1.7011529330000001,0.002709607,9200,1437,,1695779179.0,10000-5301-18400-001.csv
