count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1673659456.0980704,5.525346347991233e-13,8.668681224233143e-12,1.1465078192385292e-10,6.945508057576433e-11,7.762941765104836e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13068,7:24:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.525346347991233e-13, 8.668681224233143e-12, 1.1465078192385292e-10, 6.945508057576433e-11, 7.762941765104836e-14]",True
2,1673659458.0939753,5.400040224007308e-13,8.694081045368396e-12,1.1439719310724072e-10,7.027801951497992e-11,7.366714660159146e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13069,7:24:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.400040224007308e-13, 8.694081045368396e-12, 1.1439719310724072e-10, 7.027801951497992e-11, 7.366714660159146e-14]",False
3,1673659460.599595,4.622780565462226e-13,8.957989731939175e-12,1.1538364014240798e-10,6.962839332880222e-11,7.886764429466259e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13070,7:24:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.622780565462226e-13, 8.957989731939175e-12, 1.1538364014240798e-10, 6.962839332880222e-11, 7.886764429466259e-14]",True
4,1673659463.1842914,4.672709159707356e-13,8.898643974464271e-12,1.1559733725796661e-10,7.041876803892677e-11,7.288215712365764e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13071,7:24:20 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.672709159707356e-13, 8.898643974464271e-12, 1.1559733725796661e-10, 7.041876803892677e-11, 7.288215712365764e-14]",False
5,1673659465.717855,4.850238049733391e-13,8.576976802399106e-12,1.157463014322957e-10,7.001065699396847e-11,6.918538685745171e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13072,7:24:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.850238049733391e-13, 8.576976802399106e-12, 1.157463014322957e-10, 7.001065699396847e-11, 6.918538685745171e-14]",True
6,1673659468.3229172,4.963692217668791e-13,8.667174616894258e-12,1.1533422827891826e-10,7.064104856624454e-11,7.565953072385945e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13073,7:24:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.963692217668791e-13, 8.667174616894258e-12, 1.1533422827891826e-10, 7.064104856624454e-11, 7.565953072385945e-14]",False
7,1673659470.9189928,4.34500715571981e-13,8.411226576354736e-12,1.1612683037398597e-10,7.123927142638209e-11,6.926014937350816e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13074,7:24:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.34500715571981e-13, 8.411226576354736e-12, 1.1612683037398597e-10, 7.123927142638209e-11, 6.926014937350816e-14]",True
8,1673659473.4627562,4.349870615615037e-13,8.43167549668955e-12,1.1611277911383056e-10,7.033489762831024e-11,8.187091819376532e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13075,7:24:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.349870615615037e-13, 8.43167549668955e-12, 1.1611277911383056e-10, 7.033489762831024e-11, 8.187091819376532e-14]",False
9,1673659476.1596258,4.146331173369988e-13,8.53129112493578e-12,1.1567271446244476e-10,7.002463886518484e-11,7.915945053312348e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13076,7:24:33 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.146331173369988e-13, 8.53129112493578e-12, 1.1567271446244476e-10, 7.002463886518484e-11, 7.915945053312348e-14]",True
10,1673659479.1836684,4.2144805982753664e-13,8.899683073826381e-12,1.1627424717497448e-10,7.093794995860492e-11,7.920741292672881e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13077,7:24:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.2144805982753664e-13, 8.899683073826381e-12, 1.1627424717497448e-10, 7.093794995860492e-11, 7.920741292672881e-14]",False
11,1673659481.694122,4.4137255157152e-13,8.534405820936897e-12,1.1635755553518479e-10,7.025802856164276e-11,6.830882295352433e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13078,7:24:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.4137255157152e-13, 8.534405820936897e-12, 1.1635755553518479e-10, 7.025802856164276e-11, 6.830882295352433e-14]",True
12,1673659484.1971326,4.356742017933707e-13,8.153070232830295e-12,1.1557375195758723e-10,7.093938630964303e-11,7.470882094386122e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13079,7:24:41 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.356742017933707e-13, 8.153070232830295e-12, 1.1557375195758723e-10, 7.093938630964303e-11, 7.470882094386122e-14]",False
13,1673659486.773936,4.560632470632098e-13,8.426823475127243e-12,1.1603678434779496e-10,7.085170644627325e-11,7.953760669835927e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13080,7:24:44 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.560632470632098e-13, 8.426823475127243e-12, 1.1603678434779496e-10, 7.085170644627325e-11, 7.953760669835927e-14]",True
14,1673659489.3547254,4.641914023301164e-13,8.576722665409875e-12,1.158185977678805e-10,6.997085549853566e-11,7.848006234678975e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13081,7:24:46 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.641914023301164e-13, 8.576722665409875e-12, 1.158185977678805e-10, 6.997085549853566e-11, 7.848006234678975e-14]",False
15,1673659491.9333975,3.8632625202171533e-13,8.687542005225701e-12,1.1656885179345267e-10,7.08649319780541e-11,7.439598795951768e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13082,7:24:49 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.8632625202171533e-13, 8.687542005225701e-12, 1.1656885179345267e-10, 7.08649319780541e-11, 7.439598795951768e-14]",True
16,1673659494.444493,3.7340624841307457e-13,8.261817445454067e-12,1.1534827953907367e-10,7.096989662613851e-11,7.934442897627667e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13083,7:24:52 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.7340624841307457e-13, 8.261817445454067e-12, 1.1534827953907367e-10, 7.096989662613851e-11, 7.934442897627667e-14]",False
17,1673659497.4707994,3.9214971873056947e-13,8.608390042463832e-12,1.1597518778660998e-10,7.093536869007266e-11,7.908372578763895e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13084,7:24:54 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.9214971873056947e-13, 8.608390042463832e-12, 1.1597518778660998e-10, 7.093536869007266e-11, 7.908372578763895e-14]",True
18,1673659499.9760559,3.912756891492203e-13,8.588950731192035e-12,1.1608075611846402e-10,7.105927651851474e-11,8.297759723253917e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13085,7:24:57 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.912756891492203e-13, 8.588950731192035e-12, 1.1608075611846402e-10, 7.105927651851474e-11, 8.297759723253917e-14]",False
19,1673659502.5008683,3.3079932564884784e-13,8.695741175734906e-12,1.1587780734956254e-10,7.11497805117034e-11,7.755281876756226e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13086,7:25:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.3079932564884784e-13, 8.695741175734906e-12, 1.1587780734956254e-10, 7.11497805117034e-11, 7.755281876756226e-14]",True
20,1673659505.0869951,3.7359283960695933e-13,8.535199456927156e-12,1.1604255056862911e-10,7.122058498509887e-11,7.169060538356892e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13087,7:25:02 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.7359283960695933e-13, 8.535199456927156e-12, 1.1604255056862911e-10, 7.122058498509887e-11, 7.169060538356892e-14]",False
