,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb0301102023,lb,0.004034521,0.000151598,6727,1012,,1673386292,10000-2838-13454-001.csv
hb0201102023,hb,0.005198395,0.000107954,6728,1012,,1673387458,10000-2839-13456-001.csv
std1013,std,1.13244759,0.002472094,6729,1013,,1673388092,10000-2840-13458-001.csv
JDORN-10853_64,zirc,2.154143092,0.0039859,6730,1013,,1673389369,10000-2841-13460-001.csv
JDORN-10853_64_re1,zirc,0.00452354,0.000106806,6731,1013,,1673390557,10000-2842-13462-001.csv
JDORN-10853_71,zirc,0.004401754,8.30E-05,6732,1013,,1673392432,10000-2843-13464-001.csv
JDORN-10853_71_re1,zirc,0.011089733,0.000178735,6733,1013,,1673393638,10000-2844-13466-001.csv
JDORN-10853_110,zirc,1.217100422,0.003320198,6734,1013,,1673394955,10000-2845-13468-001.csv
JDORN-10853_110_re1,zirc,0.008096406,0.000126469,6735,1013,,1673396111,10000-2846-13470-001.csv
std1014,std,1.130314441,0.001631399,6736,1014,,1673396655,10000-2847-13472-001.csv
lb02_01112023,lb,0.005160788,0.000107541,6738,1014,,1673451783,10000-2849-13476-001.csv
hb01_01112023,hb,0.004722292,0.000124709,6739,1014,,1673452893,10000-2850-13478-001.csv
std1015,std,1.127786674,0.002605009,6740,1015,,1673453477,10000-2851-13480-001.csv
JDORN-10853_176,zirc,1.97086657,0.003505155,6741,1015,,1673454836,10000-2852-13482-001.csv
JDORN-10853_176_re1,zirc,1.238481419,0.00235643,6742,1015,,1673455949,10000-2853-13484-001.csv
JDORN-10853_176_re2,zirc,0.889424668,0.002082094,6743,1015,,1673457090,10000-2854-13486-001.csv
JDORN-10853_174,zirc,0.004247673,0.000134027,6745,1015,By some dyslexic miracle QST6741-6744 should be JDORN-10835_174 BUT I entered them as 176. SO here in this spread sheet the I am now calling 174 176 and 176 Im calling 174. This is correct in the log book and highlighted there as well.,1673459458,10000-2856-13490-001.csv
std1016,std,1.135864494,0.002488411,6746,1016,By some dyslexic miracle QST6741-6744 should be JDORN-10835_174 BUT I entered them as 176. SO here in this spread sheet the I am now calling 174 176 and 176 Im calling 174. This is correct in the log book and highlighted there as well.,1673460394,10000-2857-13492-001.csv
FCT-2,zirc,1.604275793,0.003608458,6747,1016,,1673462469,10000-2858-13494-001.csv
FCT-2_re1,zirc,0.004373333,8.48E-05,6748,1016,,1673463610,10000-2859-13496-001.csv
FEE-44,zirc,3.379769959,0.00553843,6749,1016,,1673465581,10000-2860-13498-001.csv
FEE-44_re1,zirc,0.136815758,0.000523494,6750,1016,,1673466720,10000-2861-13500-001.csv
std1017,std,1.12842735,0.001800067,6752,1017,,1673468490,10000-2863-13504-001.csv
JDORN-14349_60,zirc,1.038188999,0.002289705,6753,1017,,1673469666,10000-2864-13506-001.csv
JDORN-14349_60_re1,zirc,0.106055133,0.000496943,6754,1017,,1673470821,10000-2865-13508-001.csv
JDORN-14349_75,zirc,0.092216447,0.00059779,6757,1017,,1673474346,10000-2868-13514-001.csv
std1018,std,1.130056807,0.002838292,6758,1018,,1673474917,10000-2869-13516-001.csv
JDORN-14349_75_re1,zirc,0.011142232,0.000168497,6759,1018,,1673476064,10000-2870-13518-001.csv
JDORN-14349_93,zirc,1.306682275,0.002849768,6761,1018,,1673478514,10000-2872-13522-001.csv
JDORN-14349_93_re1,zirc,0.004416658,9.75E-05,6762,1018,,1673479641,10000-2873-13524-001.csv
std1019,std,1.129213555,0.001917671,6763,1019,,1673480262,10000-2874-13526-001.csv
lb01_01122023,lb,0.004082294,0.000120513,6764,1019,,1673537525,10000-2875-13528-001.csv
hb01_01122023,hb,0.005736322,0.00011084,6765,1019,,1673538677,10000-2876-13530-001.csv
std1020,std,1.134458029,0.002583253,6766,1020,,1673539327,10000-2877-13532-001.csv
FCT-3,zirc,0.512942846,0.001585772,6767,1020,,1673540557,10000-2878-13534-001.csv
FCT-3_re1,zirc,0.087226152,0.000245106,6768,1020,,1673541714,10000-2879-13536-001.csv
JDORN-14349_167,zirc,0.78118147,0.001774332,6771,1020,,1673546670,10000-2882-13542-001.csv
JDORN-14349_167_re1,zirc,0.004482248,8.81E-05,6772,1020,,1673547799,10000-2883-13544-001.csv
std1021,std,1.133044296,0.003122724,6773,1021,,1673548412,10000-2884-13546-001.csv
JDORN-14349_204,zirc,0.92103016,0.002257027,6774,1021,,1673549624,10000-2885-13548-001.csv
JDORN-14349_204_re1,zirc,0.005638195,0.000134776,6775,1021,,1673550820,10000-2886-13550-001.csv
LASS_32,zirc,10.05318771,0.012526254,6776,1021,,1673552014,10000-2887-13552-001.csv
LASS_32_re1,zirc,0.074374771,0.000658888,6777,1021,,1673553195,10000-2888-13554-001.csv
LASS_55,zirc,13.30435904,0.017768621,6778,1021,,1673554485,10000-2889-13556-001.csv
LASS_55_re1,zirc,0.004634188,0.000108911,6779,1021,,1673556509,10000-2890-13558-001.csv
std1022,std,1.132662513,0.002476648,6780,1022,,1673557054,10000-2891-13560-001.csv
FCT-4,zirc,2.993951445,0.00532023,6781,1022,,1673558221,10000-2892-13562-001.csv
FCT-4_re1,zirc,0.005913346,0.000101576,6782,1022,,1673559423,10000-2893-13564-001.csv
Greg_46,zirc,16.26050794,0.029522787,6783,1022,,1673560680,10000-2894-13566-001.csv
Greg_46_re1,zirc,0.05802348,0.000346281,6784,1022,,1673562026,10000-2895-13568-001.csv
std1023,std,1.133334037,0.002163833,6786,1023,,1673564043,10000-2897-13572-001.csv
Greg_52,zirc,6.895614127,0.012008949,6787,1023,,1673565365,10000-2898-13574-001.csv
Greg_52_re1,zirc,0.047229355,0.000381883,6788,1023,,1673566533,10000-2899-13576-001.csv
Greg_209,zirc,16.3878981,0.029011071,6789,1023,,1673567766,10000-2900-13578-001.csv
Greg_209_re1,zirc,0.538711477,0.001672449,6790,1023,,1673568940,10000-2901-13580-001.csv
Greg_209_re2,zirc,0.101705795,0.000463041,6791,1023,,1673570186,10000-2902-13582-001.csv
std1024,std,1.135317402,0.002636386,6792,1024,,1673570819,10000-2903-13584-001.csv
