count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1691957918.4715693,1.3321362242468826e-12,1.3223449245314267e-11,1.6237632072257924e-10,8.157116475338011e-12,1.0727262313029243e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8987,3:18:35 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.3321362242468826e-12, 1.3223449245314267e-11, 1.6237632072257924e-10, 8.157116475338011e-12, 1.0727262313029243e-13]",False
2,1691957920.739468,1.3975433223872846e-12,1.382014207934601e-11,1.6316728523868562e-10,8.131365372698873e-12,1.0510933486432283e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8988,3:18:38 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.3975433223872846e-12, 1.382014207934601e-11, 1.6316728523868562e-10, 8.131365372698873e-12, 1.0510933486432283e-13]",True
3,1691957923.2984972,1.2001227919430923e-12,1.3590919188677386e-11,1.6284515402809063e-10,7.968217231868469e-12,1.030310480486761e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8989,3:18:40 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.2001227919430923e-12, 1.3590919188677386e-11, 1.6284515402809063e-10, 7.968217231868469e-12, 1.030310480486761e-13]",False
4,1691957925.9030702,1.2579995638944963e-12,1.3858011960188321e-11,1.6200592256598867e-10,8.452461820740442e-12,1.0774233339273104e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8990,3:18:43 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.2579995638944963e-12, 1.3858011960188321e-11, 1.6200592256598867e-10, 8.452461820740442e-12, 1.0774233339273104e-13]",True
5,1691957928.4140613,1.1118545320543127e-12,1.3704612965292906e-11,1.6393880697407326e-10,8.339290195891191e-12,1.0353804808958464e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8991,3:18:46 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1118545320543127e-12, 1.3704612965292906e-11, 1.6393880697407326e-10, 8.339290195891191e-12, 1.0353804808958464e-13]",False
6,1691957931.010813,1.0708848087806477e-12,1.3416216922135238e-11,1.6290649385020117e-10,8.586761510165353e-12,1.001892592869015e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8992,3:18:48 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0708848087806477e-12, 1.3416216922135238e-11, 1.6290649385020117e-10, 8.586761510165353e-12, 1.001892592869015e-13]",True
7,1691957934.0406919,1.1493700956266562e-12,1.346932895079922e-11,1.629782697687432e-10,8.351490506097736e-12,1.0767610896878291e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8993,3:18:51 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1493700956266562e-12, 1.346932895079922e-11, 1.629782697687432e-10, 8.351490506097736e-12, 1.0767610896878291e-13]",False
8,1691957936.5466604,1.0846690299409767e-12,1.3393080915136135e-11,1.6366955013502604e-10,8.12154857254832e-12,1.0108230306385066e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8994,3:18:53 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0846690299409767e-12, 1.3393080915136135e-11, 1.6366955013502604e-10, 8.12154857254832e-12, 1.0108230306385066e-13]",True
9,1691957939.0580375,1.0121857779016308e-12,1.3716396941865217e-11,1.6341049347001757e-10,8.564627305973627e-12,1.1018157144038893e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8995,3:18:56 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0121857779016308e-12, 1.3716396941865217e-11, 1.6341049347001757e-10, 8.564627305973627e-12, 1.1018157144038893e-13]",False
10,1691957941.6027477,1.0657669408456472e-12,1.3859634794000097e-11,1.6336622332691064e-10,7.981068063378505e-12,1.1105297860773342e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8996,3:18:59 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0657669408456472e-12, 1.3859634794000097e-11, 1.6336622332691064e-10, 7.981068063378505e-12, 1.1105297860773342e-13]",True
