,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
labFCT22,,"very clear, hardly any inclusions",25.933846206586495,0.4655040141433095,1.7949671268779408,41.65768399257009,0.7084286312147741,18.38537607154528,0.3280896472224224,1.7845142027320338,0.7514149348780206,0.013504690512182137,0.4831151489189814,0.01123575759958183,0,0,0.085904363560671,0.0007831259205233309,2.392235762297333e-06,314.1057193110495,201.9513112098249,0.0,361.56427744535836
Z22PR20_z1,,euhedral tetragonal prism with inclusions,7.969933840061787,0.12225367314192928,1.5339358593845178,69.58306186122327,0.8189727966420994,6.528241939281699,0.09975359706378574,1.528031558750128,3.6090548184241387,0.05938343849409942,2.278571847813194,0.03657415479609779,0,0,0.1460084674041337,0.000917341593116454,1.0071369286689143e-05,358.34797788559473,226.24250813885615,0.0,411.51496729822594
Z22PR20_z2,,euhedral tetragonal prism with inclusions,4.446090041717676,0.2024739069392375,4.553976753494063,48.47993098460479,0.7465392925670556,3.319700509514262,0.15106545792546552,4.550574893503553,1.7514129371418143,0.03160702282932088,1.0244022670825816,0.025502184321438595,0,0,0.03567563620504686,0.0015253726688779163,3.4806352242325864e-06,503.18772991443467,294.314744604828,0.0,572.3516948965693
Z22PR20_z3,,euhedral tetragonal prism with inclusions,6.033582878999121,0.1334033946989808,2.2110145393595784,47.6406774752743,0.7416664698261657,4.475826814106503,0.0986471430724447,2.2039982146212096,2.223018796001935,0.039817685438161735,1.572273298387788,0.033948001600811024,0,0,0.06261594314966613,0.0010061836061317753,3.5197289328814355e-06,631.5880678294322,446.70295024697896,0.0,736.5632611374723
Z22PR20_z4,,euhedral tetragonal prism with inclusions,5.970111985380846,0.12090916014145324,2.025241074832873,66.4478609061989,0.8117343865965746,4.846772909327389,0.09778804047380349,2.0175907207373993,5.0490940849445884,0.11308398687845406,2.3489904778318835,0.05952220827678801,0,0,0.14643125267426604,0.0007190576172619265,9.351754044470499e-06,539.9087765711732,251.1818068205925,0.0,598.9365011740125
Z22PR20_z5,,euhedral tetragonal prism with inclusions,10.287319127231402,0.13584725201447273,1.3205311348305855,60.885858536841084,0.795561053141358,8.185965533859228,0.10770026764928214,1.3156696934992769,3.885869214261065,0.05538529010283244,1.8265963169213517,0.03926008924020763,0,0,0.19059001443328036,0.000765464403913074,6.866437851019219e-06,565.9221416653857,266.018036797671,0.0,628.4363803128383
Z22PR30_z1,,euhedral tetragonal prism with inclusions,5.899669761390979,0.159226787404509,2.6989101736936494,57.56715239785132,0.7767783089758054,4.583789138387202,0.12357262289584119,2.6958618550093254,0.9445220877852939,0.019399790693627447,2.2340272825488503,0.05208344608692901,0,0,0.03643062447177922,0.0008113482523874331,5.536361680623535e-06,170.6033930353547,403.51902773397603,0.0,265.4303645528391
Z22PR30_z2,,euhedral tetragonal prism with inclusions,3.0184934926236306,0.9050265728460325,29.98272399982537,42.58765911827682,0.7139625850368038,2.1554261175214386,0.6461982393635362,29.98006909680628,0.8669559445007398,0.014775134877083729,0.5897390535196952,0.012272620449777666,0,0,0.011692860522940095,0.003500842235322535,2.3026306222190704e-06,376.50673804782673,256.1153525142288,0.0,436.69384588867047
Z22PR30_z3,,euhedral tetragonal prism with inclusions,4.860007702522885,1.1254157875375537,23.15666674670778,54.13974093303617,0.7636412101456362,3.7121484789315073,0.8595345983323758,23.154639508918066,0.3732859867895105,0.007860667985633035,0.8876275587367872,0.023550983422253764,0,0,0.011681644922175192,0.002697602711921713,4.601019098630483e-06,81.1311535091478,192.91977270883186,0.0,126.46730009572327
Z22PR30_z4,,euhedral tetragonal prism with inclusions,5.24186176238773,1.49890328784447,28.594864874149252,44.28921877258668,0.7182299613135665,3.7658859781771556,1.0767295872856446,28.591667233823852,0.4330896455270317,0.007272073821823424,0.7620660387981488,0.019504624619637454,0,0,0.012459236080079959,0.003557248717693254,2.4105303888136837e-06,179.66570657512935,316.14039894895967,0.0,253.95870032813485
Z22PR30_z5,,subhedral tetragonal prism with inclusions,5.34923010630116,1.4980971581737805,28.005846232135113,47.75958289975484,0.7358650176719082,3.9373430028238183,1.1025035659707743,28.00120703682842,0.3453443541411002,0.010308196679737544,0.7071835318005327,0.014727130693970622,0,0,0.01088872952827368,0.0030399522963682093,3.6977833297036192e-06,93.3922632424166,191.24525932059254,0.0,138.33489918275586
Z22PR43_z1,,subhedral tetragonal prism with inclusions,4.922263827634938,1.6379925000888758,33.27721872388751,41.265165784296514,0.700857850149905,3.450748924048496,1.1481676747442267,33.2729995724282,0.30056835139513305,0.006177711279959424,0.44900052786373956,0.011836494601525001,0,0,0.0075703903339760245,0.0025152714936166843,2.0542882104136318e-06,146.31264973993765,218.56744617802832,0.0,197.6759995917743
labFCT23,,moderate amt inclucions,60.557481332677895,1.0075518583129155,1.6637941937806826,56.41286126513944,0.775186364530573,46.99709644171364,0.7776973204273355,1.6547773784106963,0.32315994883076354,0.0059185554841974615,0.5090022571351446,0.009993583873344902,0,0,0.11280109227879652,0.0010026357364793961,7.3423052945055e-06,44.013417566904394,69.32458359039477,0.0,60.30469471064716
Z22PR43_z2,,euhedral tetragonal prism with inclusions,4.299822055110484,0.7385272713547859,17.175763598798728,48.767682491255094,0.7434611306421022,3.1974337354977354,0.5491012387993226,17.17318588038997,0.6398003195671192,0.012152290340651095,0.9063030430884953,0.014702141739991346,0,0,0.01472904512445713,0.0025200838427983396,3.974125509995755e-06,160.99147295622345,228.05093618934634,0.0,214.58344296071982
Z22PR43_z3,,euhedral tetragonal prism with inclusions,12.198484221471851,0.39242186709702936,3.2169723710941547,42.84001396138858,0.7065929115213531,8.62318251124275,0.2769349214292426,3.2115164101905513,0.6895387599539351,0.013071116913482205,1.733750656757369,0.03027028353170555,0,0,0.051181443487107466,0.001498544666271735,2.3448366603929165e-06,294.0668625670461,739.3908010918126,0.0,467.82370082362206
Z23PR03_z5,,euhedral tetragonal prism with one minor inclusion and minor surface pitting,9.961102186311258,0.4045501525268776,4.061299090805617,39.550125882668446,0.696485921910744,6.939883016074952,0.2812682247331376,4.052924582181457,0.938303098515416,0.022748729430094154,0.3496593444154072,0.008676457337373494,0,0,0.03819967016496504,0.0013108961118853991,2.098164852333691e-06,447.20179993091836,166.65008186868513,0.0,486.3645691700594
labFCT18,,"very clear, a few inclusions",30.798547453130304,0.6508929643461984,2.1133885139769566,43.13500648601805,0.7183778509878381,22.142643992455778,0.46493176368992994,2.0997120481562046,1.0178409664389256,0.022966069408852048,0.5282807477372284,0.013494462290614542,0,0,0.13661304204594896,0.001041340109944948,2.8351519753699996e-06,359.0075506644024,186.3324267364135,0.0,402.7956709474596
Z22PR43_z4,,euhedral tetragonal prism with inclusions,4.683202977615898,2.35747906302409,50.33903237361332,44.00650242403664,0.7176783148142449,3.361878425000646,1.6921599152178686,50.33376289380671,0.3082899280098377,0.0055647994466204945,0.4685882531421269,0.01086422090894656,0,0,0.007599483612173999,0.0038226213506512823,2.8398036729347975e-06,108.56029624443552,165.0072706110222,0.0,147.33700483802573
Z22PR43_z5,,euhedral tetragonal prism with inclusions,5.567474882720463,1.934740808175064,34.75077748765132,39.36404522236686,0.6883131601973003,3.833305211505702,1.331896796826736,34.7453887269147,0.31448953570090177,0.006532632904113841,0.4438034230632914,0.009101647104210525,0,0,0.00867193329469589,0.0030090869212313423,2.463933244056593e-06,127.63719815035638,180.11990549411894,0.0,169.96537594147435
Z22PR44_z2,,euhedral tetragonal prism with minor inclusions,4.4762293048289,0.05686569337336832,1.2703927681279046,66.57310683954002,0.8132715372747764,3.6406981105955674,0.04613694499826854,1.2672554437841368,9.08278684659621,0.11593252662995732,2.1961017818785225,0.03270008119130668,0,0,0.18839199153665487,0.0009430520238113554,1.1261896729847091e-05,806.5059611605524,195.0028342968423,0.0,852.3316272203103
Z22PR44_z3,,euhedral tetragonal prism with minor inclusions,8.508952908735886,0.2340261002995688,2.7503513394615364,57.323547765552526,0.7833691678508435,6.666996495653853,0.18307109586123305,2.7459305847929456,1.7042927781204946,0.029546628090700265,0.8953035149648452,0.017656382652192562,0,0,0.06887395981786484,0.00158351176880574,6.628313856300932e-06,257.1231258912671,135.07258925492218,0.0,288.86518436617376
Z22PR44_z4,,eu-subhedral tetragonal prism with minor inclusions,8.282912941249306,0.18283184620226256,2.207337533294008,58.17453313253492,0.7861008026561492,6.512495644325213,0.14330951050128546,2.2005313834821667,1.58204948896962,0.03169689386953412,0.8973099119528264,0.022175483925388095,0,0,0.06300325799595029,0.0008608843819264832,6.881529035923719e-06,229.8979602804595,130.3939730935654,0.0,260.54054395744737
Z22PR44_z5,,eu-subhedral tetragonal prism with minor inclusions,8.002522090479026,0.37091468658902066,4.634972354906901,45.08968472784696,0.7287541829143995,5.833356659825916,0.26993253076253443,4.627396308913331,0.8558428179909793,0.021935235506829173,0.5447729950357827,0.017728901559334213,0,0,0.03096991405627014,0.0012627181559762262,3.5155907088960004e-06,243.4421094086175,154.95916337964655,0.0,279.85751280283444
