"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
labFCT18,"very clear, a few inclusions",1,167.27,165.6,78.2,62.15,30.24,29.19
Z22PR43_z4,euhedral tetragonal prism with inclusions,2,154.122,153.8,61.457,90.773,30.225,34.722
labFCT19,"very clear, a few inclusions",1,198.4,200.71,79.39,64.43,26.265,29.065
Z22PR43_z5,euhedral tetragonal prism with inclusions,2,190.275,190.231,60.38,61.223,32.7875,35.2445
labFCT20,,1,209.3,212.08,83,66.85,30.23,40.47
Z22PR44_z2,euhedral tetragonal prism with minor inclusions,2,292.042,292.163,87.508,138.946,54.657,81.466
Z22PR44_z3,euhedral tetragonal prism with minor inclusions,2,241.244,240.81,102.478,85.169,48.2855,65.613
Z22PR44_z4,eu-subhedral tetragonal prism with minor inclusions,2,236.694,237.572,88.229,99.989,55.7375,45.5985
Z22PR44_z5,eu-subhedral tetragonal prism with minor inclusions,2,215.416,214.904,64.59,81.2,53.4855,50.6745
Z22PR46,euhedral frosty brown tetragonal prism with no apparent inclusions,1,237.657,237.263,124.223,121.325,60.408,66.227
Z22PR46_z2,euhedral frosty brown tetragonal prism with no apparent inclusions,1,334.372,335.535,92.617,99.15,51.5645,55.7075
Z22PR46_z3,eu-subhedral frosty/translucent  tetragonal prism with no apparent inclusions,2,202.434,202.632,93.884,99.27,38.017,38.0865
Z22PR46_z4,eu-subhedral frosty/translucent  tetragonal prism with minor inclusions,2,197.253,198.822,111.161,104.93,40.9305,42.268
Z22PR46_z5,euhedral frosty brown tetragonal prism with no apparent inclusions,1,330.965,329.851,187.834,195.784,99.5905,85.4265
Z22PR33_z1,euhedral metamict grain with one minor inclusion,2,161.076,162.787,61.232,56.367,46.8815,39.142
