,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_08072023,lb,0.003910084,4.91E-05,8644,1350,,1691425961,10000-4748-17288-001.csv
hb01_08072023,hb,0.004055581,6.20E-05,8645,1350,,1691427493,10000-4749-17290-001.csv
std1351,std,1.18643029,0.001710249,8646,1351,,1691428252,10000-4750-17292-001.csv
labFCT18,zirc,0.4621547,0.001379697,8649,1351,,1691432697,10000-4753-17298-001.csv
labFCT18_re1,zirc,0.085359304,0.000318709,8650,1351,14.96% remaining,1691434295,10000-4754-17300-001.csv
labFCT18_re2,zirc,0.004384411,8.88E-05,8651,1351,,1691435841,10000-4755-17302-001.csv
Z22PR43_z4,zirc,0.030445585,0.000286761,8652,1351,,1691437190,10000-4756-17304-001.csv
Z22PR43_z4_re1,zirc,0.007106511,0.000125711,8653,1351,9.11% remaining,1691438469,10000-4757-17306-001.csv
Z22PR43_z4_re2,zirc,0.004638735,7.60E-05,8654,1351,,1691439673,10000-4758-17308-001.csv
std1352,std,1.183177462,0.002123214,8655,1352,,1691440311,10000-4759-17310-001.csv
labFCT19,zirc,0.625203091,0.001420147,8656,1352,,1691441967,10000-4760-17312-001.csv
labFCT19_re1,zirc,0.004693069,8.25E-05,8657,1352,,1691443607,10000-4761-17314-001.csv
Z22PR43_z5,zirc,0.037754539,0.000290639,8658,1352,,1691445069,10000-4762-17316-001.csv
Z22PR43_z5_re1,zirc,0.004617752,9.57E-05,8659,1352,,1691446257,10000-4763-17318-001.csv
std1353,std,1.179642919,0.001874906,8660,1353,,1691446937,10000-4764-17320-001.csv
lb02_08082023,lb,0.004088727,8.23E-05,8662,1353,,1691507376,10000-4766-17324-001.csv
hb01_08082023,hb,0.004031168,8.92E-05,8663,1353,,1691508673,10000-4767-17326-001.csv
std1354,std,1.185573592,0.00192145,8664,1354,,1691509352,10000-4768-17328-001.csv
labFCT20,zirc,0.679737581,0.001344596,8665,1354,,1691510668,10000-4769-17330-001.csv
labFCT20_re1,zirc,0.134946621,0.00053297,8666,1354,16.15% remaining,1691511834,10000-4770-17332-001.csv
labFCT20_re2,zirc,0.061402007,0.000353517,8667,1354,6.61% remaining,1691513040,10000-4771-17334-001.csv
labFCT20_re3,zirc,0.030877503,0.000189625,8668,1354,"3.0% remaining, moving on",1691514995,10000-4772-17336-001.csv
Z22PR44_z2,zirc,0.740240255,0.001482549,8670,1354,,1691522800,10000-4774-17340-001.csv
Z22PR44_z2_re1,zirc,0.012639907,0.000134584,8671,1354,1.15% remaining,1691524401,10000-4775-17342-001.csv
std1355,std,1.178244366,0.002404224,8672,1355,,1691525059,10000-4776-17344-001.csv
Z22PR44_z3,zirc,0.172574448,0.000645853,8673,1355,,1691526223,10000-4777-17346-001.csv
Z22PR44_z3_re1,zirc,0.037261104,0.000227344,8674,1355,16.15% remaining,1691527698,10000-4778-17348-001.csv
Z22PR44_z3_re2,zirc,0.02446072,0.000176308,8675,1355,9.03% remaining,1691529218,10000-4779-17350-001.csv
Z22PR44_z3_re3,zirc,0.030360941,0.000181283,8676,1355,10.43% remaining and moving on,1691530822,10000-4780-17352-001.csv
Z22PR44_z4,zirc,0.180992229,0.00042945,8677,1355,,1691532463,10000-4781-17354-001.csv
Z22PR44_z4_re1,zirc,0.075051034,0.000204573,8678,1355,28.8% remaining,1691533922,10000-4782-17356-001.csv
Z22PR44_z4_re2,zirc,0.005136995,7.93E-05,8679,1355,0.44% remaining,1691535431,10000-4783-17358-001.csv
std1356,std,1.18761725,0.002322072,8680,1356,,1691536076,10000-4784-17360-001.csv
lb03_08092023,lb,0.004680802,8.60E-05,8683,1356,see notebook notes for details of the morning,1691596064,10000-4786-17366-001.csv
hb01_08092023,hb,0.004472243,6.00E-05,8684,1356,,1691597393,10000-4787-17368-001.csv
std1357,std,1.188816346,0.002382438,8685,1357,,1691598688,10000-4788-17370-001.csv
Z22PR44_z5,zirc,0.126652389,0.000467608,8686,1357,,1691600389,10000-4789-17372-001.csv
Z22PR44_z5_re1,zirc,0.004780654,6.75E-05,8687,1357,0.24% remaining,1691601807,10000-4790-17374-001.csv
Z22PR46,zirc,1.674306184,0.00159677,8688,1357,,1691603513,10000-4791-17376-001.csv
Z22PR46_re1,zirc,0.662588314,0.001280376,8689,1357,28.22% remaining,1691605043,10000-4792-17378-001.csv
Z22PR46_re2,zirc,0.079549502,0.00034118,8690,1357,3.12% remaining; moving on,1691607528,10000-4793-17380-001.csv
Z22PR46_z2,zirc,0.916668281,0.001531959,8691,1357,,1691609084,10000-4794-17382-001.csv
Z22PR46_z2_re1,zirc,0.267870873,0.000875224,8692,1357,22.32% remaining,1691610278,10000-4795-17384-001.csv
Z22PR46_z2_re2,zirc,0.075059885,0.000319416,8693,1357,5.64% remaining; moving on,1691612044,10000-4796-17386-001.csv
std1365,std,1.185638582,0.002836463,8694,1358,,1691613070,10000-4797-17388-001.csv
Z22PR46_z3,zirc,1.070910529,0.001875793,8695,1358,,1691614538,10000-4798-17390-001.csv
Z22PR46_z3_re1,zirc,0.078826397,0.000353725,8696,1358,6.49% remaining,1691616330,10000-4799-17392-001.csv
Z22PR46_z3_re2,zirc,0.067086023,0.000321409,8697,1358,"5.18% remaining, moving on",1691617750,10000-4800-17394-001.csv
Z22PR46_z4,zirc,1.875604173,0.003011929,8698,1358,,1691619224,10000-4801-17396-001.csv
Z22PR46_z4_re1,zirc,0.09627238,0.000469399,8699,1358,4.67% remaining,1691620647,10000-4802-17398-001.csv
Z22PR46_z4_re2,zirc,0.01101627,0.00015147,8700,1358,0.33% remaining,1691621739,10000-4803-17400-001.csv
std1359,std,1.179470221,0.002044074,8701,1359,,1691622347,10000-4804-17402-001.csv
lb03_08102023,lb,0.00406398,5.64E-05,8704,1359,,1691675772,10000-4807-17408-001.csv
hb01_08102023,hb,0.00413919,6.79E-05,8705,1359,,1691676848,10000-4808-17410-001.csv
std1360,std,1.175098412,0.002229221,8706,1360,,1691677353,10000-4809-17412-001.csv
Z22PR46_z5,zirc,10.17232363,0.009227626,8707,1360,,1691678750,10000-4810-17414-001.csv
Z22PR46_z5_re1,zirc,0.057798887,0.000381382,8708,1360,,1691680234,10000-4811-17416-001.csv
Z22PR33_z1,zirc,0.183941785,0.00075139,8709,1360,,1691681715,10000-4812-17418-001.csv
Z22PR33_z1_re1,zirc,0.00981443,0.000131272,8710,1360,"2.99% remaining, moving on",1691683144,10000-4813-17420-001.csv
Z22PR33_z2,zirc,0.665115759,0.001254425,8711,1360,,1691684711,10000-4814-17422-001.csv
Z22PR33_z2_re1,zirc,0.122577529,0.000656107,8712,1360,15.12% remaining,1691686181,10000-4815-17424-001.csv
Z22PR33_z2_re2,zirc,0.082648584,0.000305529,8713,1360,9.11% remaining,1691687356,10000-4816-17426-001.csv
Z22PR33_z2_re3,zirc,0.018118682,0.00019424,8714,1360,"1.60% remaining, moving on",1691688573,10000-4817-17428-001.csv
labFCT21,zirc,1.183841143,0.002301245,8717,1361,,1691692797,10000-4820-17434-001.csv
labFCT21_re1,zirc,0.014421967,0.000198834,8718,1361,0.86% remaining,1691694301,10000-4821-17436-001.csv
Z22PR33_z4,zirc,0.242737488,0.000741664,8719,1361,,1691695803,10000-4822-17438-001.csv
Z22PR33_z4_re1,zirc,0.005860055,7.77E-05,8720,1361,0.70% remains,1691697242,10000-4823-17440-001.csv
Z22PR33_z5,zirc,0.491717069,0.001112198,8721,1361,,1691698958,10000-4824-17442-001.csv
Z22PR33_z5_re1,zirc,0.096059673,0.000240451,8722,1361,15.75% remaining,1691700390,10000-4825-17444-001.csv
Z22PR33_z5_re2,zirc,0.085829206,0.000409096,8723,1361,"12.28% remaining, moving on in the interest of time",1691701568,10000-4826-17446-001.csv
std1362,std,1.189802295,0.002269081,8724,1362,,1691702413,10000-4827-17448-001.csv
Z22PR31_z1,zirc,3.174321876,0.004685556,8725,1362,,1691703860,10000-4828-17450-001.csv
Z22PR31_z1_re1,zirc,0.22499351,0.000548665,8726,1362,6.5% remaining,1691705286,10000-4829-17452-001.csv
Z22PR31_z1_re2,zirc,0.05415796,0.000417644,8727,1362,,1691707097,10000-4830-17454-001.csv
std1363,std,1.183262824,0.001808409,8728,1363,,1691707866,10000-4831-17456-001.csv
lb02_08112023,lb,0.003984527,8.78E-05,8730,1363,,1691761392,10000-4833-17460-001.csv
hb01_08112023,hb,0.004132373,7.49E-05,8731,1363,,1691762472,10000-4834-17462-001.csv
