count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1682829631.3721817,1.180664615553495e-12,1.5681620932350704e-11,1.7834358989610166e-10,4.3246983771894065e-10,1.1922899462429165e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13321,11:40:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.180664615553495e-12, 1.5681620932350704e-11, 1.7834358989610166e-10, 4.3246983771894065e-10, 1.1922899462429165e-13]",False
2,1682829633.3453882,1.087977798130968e-12,1.5727329161219217e-11,1.7714592293049947e-10,4.3355971590663955e-10,1.2019905741306874e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13322,11:40:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.087977798130968e-12, 1.5727329161219217e-11, 1.7714592293049947e-10, 4.3355971590663955e-10, 1.2019905741306874e-13]",True
3,1682829635.903486,1.083707776294851e-12,1.5892355140212366e-11,1.7891652048795947e-10,4.326556890532629e-10,1.2158287885592062e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13323,11:40:33 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.083707776294851e-12, 1.5892355140212366e-11, 1.7891652048795947e-10, 4.326556890532629e-10, 1.2158287885592062e-13]",False
4,1682829639.089546,1.0195797114573302e-12,1.565132398684277e-11,1.7834485277479217e-10,4.3497314083928984e-10,1.2118851386820617e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13324,11:40:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0195797114573302e-12, 1.565132398684277e-11, 1.7834485277479217e-10, 4.3497314083928984e-10, 1.2118851386820617e-13]",True
5,1682829641.6140525,1.021898928324494e-12,1.567726330697905e-11,1.794637077834338e-10,4.345681869910578e-10,1.2152361365466713e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13325,11:40:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.021898928324494e-12, 1.567726330697905e-11, 1.794637077834338e-10, 4.345681869910578e-10, 1.2152361365466713e-13]",False
6,1682829644.1320477,1.0207993304811591e-12,1.5694664318166573e-11,1.797178655893461e-10,4.3422321294173116e-10,1.1915488940580227e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13326,11:40:41 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0207993304811591e-12, 1.5694664318166573e-11, 1.797178655893461e-10, 4.3422321294173116e-10, 1.1915488940580227e-13]",True
7,1682829646.6491973,9.822775188725319e-13,1.5461295438390366e-11,1.79793332999445e-10,4.3474884803273994e-10,1.2492555546885636e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13327,11:40:44 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.822775188725319e-13, 1.5461295438390366e-11, 1.79793332999445e-10, 4.3474884803273994e-10, 1.2492555546885636e-13]",False
8,1682829649.1754644,9.243604146003115e-13,1.5555711233017355e-11,1.7970866461602952e-10,4.368838069090941e-10,1.2478722482417437e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13328,11:40:47 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.243604146003115e-13, 1.5555711233017355e-11, 1.7970866461602952e-10, 4.368838069090941e-10, 1.2478722482417437e-13]",True
9,1682829651.7194626,8.829507220850519e-13,1.5641625147888583e-11,1.7849412226045303e-10,4.3542314198674603e-10,1.2777220958788e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13329,11:40:49 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.829507220850519e-13, 1.5641625147888583e-11, 1.7849412226045303e-10, 4.3542314198674603e-10, 1.2777220958788e-13]",False
10,1682829654.7440293,9.463322053065992e-13,1.55099266763159e-11,1.780433578346674e-10,4.361073446812469e-10,1.2016543359319454e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),13330,11:40:52 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.463322053065992e-13, 1.55099266763159e-11, 1.780433578346674e-10, 4.361073446812469e-10, 1.2016543359319454e-13]",True
