count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
,,,,,,,,,,,,,,,,
1,1698776837,1.95E-11,1.44E-11,1.50E-10,5.07E-08,7.11E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6009,5:07:24 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.947483841E-11,1.435331107E-11,1.501752611E-10,0.00000005065902187,7.113403833E-13]",TRUE
,,,,,,,,,,,,,,,,
2,1698776838,1.95E-11,1.46E-11,1.50E-10,5.07E-08,7.06E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6010,5:07:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.952938158E-11,1.459668844E-11,1.500247704E-10,0.00000005066630493,7.055814808E-13]",FALSE
,,,,,,,,,,,,,,,,
3,1698776841,1.97E-11,1.44E-11,1.51E-10,5.07E-08,6.83E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6011,5:07:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.968112999E-11,1.440064387E-11,1.508573266E-10,0.00000005066621966,6.827276917E-13]",TRUE
,,,,,,,,,,,,,,,,
4,1698776844,1.96E-11,1.47E-11,1.50E-10,5.07E-08,6.85E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6012,5:07:30 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.960989184E-11,1.465450677E-11,0.00000000014969391,0.00000005065347253,6.85253449E-13]",FALSE
,,,,,,,,,,,,,,,,
5,1698776846,1.96E-11,1.43E-11,1.51E-10,5.06E-08,6.72E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6013,5:07:32 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.964291056E-11,1.434821966E-11,1.507514807E-10,0.00000005064858755,6.719499089E-13]",TRUE
,,,,,,,,,,,,,,,,
6,1698776849,1.96E-11,1.43E-11,1.51E-10,5.06E-08,6.89E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6014,5:07:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.957848814E-11,1.426064909E-11,1.508463493E-10,0.00000005064801201,6.887368822E-13]",FALSE
,,,,,,,,,,,,,,,,
7,1698776851,1.91E-11,1.43E-11,1.51E-10,5.06E-08,6.75E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6015,5:07:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.914982235E-11,1.43183642E-11,1.507419467E-10,0.00000005063601805,6.753596705E-13]",TRUE
,,,,,,,,,,,,,,,,
8,1698776854,1.96E-11,1.43E-11,1.51E-10,5.06E-08,6.94E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6016,5:07:38 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.961093267E-11,1.43114973E-11,1.505554986E-10,0.00000005062723574,6.937778802E-13]",FALSE
,,,,,,,,,,,,,,,,
9,1698776856,1.97E-11,1.45E-11,1.51E-10,5.06E-08,6.86E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6017,5:07:40 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.967538979E-11,1.447594995E-11,0.000000000150821064,0.00000005063160202,6.859529763E-13]",TRUE
,,,,,,,,,,,,,,,,
10,1698776859,1.97E-11,1.43E-11,1.50E-10,5.06E-08,6.88E-13,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,,6018,5:07:42 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.968320298E-11,1.426629734E-11,1.500006369E-10,0.0000000506269906,6.880735131E-13]",FALSE
