,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb04_03272023,lb,0.003778896,6.77e-05,7608,1153,,1679943069.0,10000-3718-15216-001.csv
cb01_03272023,hb,0.004052989,7.46e-05,7609,1153,,1679952771.0,10000-3719-15218-001.csv
std1154,std,1.165233364,0.002491923,7610,1154,,1679953252.0,10000-3720-15220-001.csv
RS23_G168_150_1,zirc,0.459546884,0.001285198,7611,1154,did not finish lasing. a few seconds left,1679958014.0,10000-3721-15222-001.csv
std115,std,1.176787544,0.0025071670000000002,7612,1155,,1679959221.0,10000-3722-15224-001.csv
lb03_03282023,lb,0.004084038,7.730000000000001e-05,7615,1155,,1680024511.0,10000-3725-15230-001.csv
std1156,std,1.151937302,0.002288159,7616,1156,,1680025084.0,10000-3726-15232-001.csv
cb01_03282023,hb,0.004218414,7.659999999999999e-05,7617,1156,,1680026246.0,10000-3727-15234-001.csv
RS23_G168_175_1,zirc,0.432276217,0.000891643,7618,1156,t = 3600s,1680034443.0,10000-3728-15236-001.csv
RS23_G168_200_1,zirc,0.592859285,0.001369375,7619,1156,t = 3600s,1680043596.0,10000-3729-15238-001.csv
RS23_G168_225_1,zirc,0.84809814,0.002202562,7620,1156,t = 3600s,1680048731.0,10000-3730-15240-001.csv
std1157,std,1.167936101,0.001976126,7621,1157,,1680049398.0,10000-3731-15242-001.csv
lb03_03292023,lb,0.004602315,8.37e-05,7624,1157,,1680106086.0,10000-3734-15248-001.csv
cb01_03292023,hb,0.004075908,8.06e-05,7626,1157,,1680120772.0,10000-3735-15252-001.csv
std1158,std,1.1649381140000001,0.00193103,7627,1158,,1680121255.0,10000-3736-15254-001.csv
RS23_G168_250_1,zirc,1.174617642,0.0019229070000000002,7628,1158,,1680126291.0,10000-3737-15256-001.csv
RS23_G168_275_1,zirc,2.8228436219999997,0.004171442,7629,1158,laser was at 283 +/- 7 *C,1680131534.0,10000-3738-15258-001.csv
std1159,std,1.174851678,0.001827399,7631,1159,,1680147808.0,10000-3740-15262-001.csv
lb01_04172023,lb,0.004173377,9.379999999999999e-05,7633,1159,first run after update,1681757809.0,10000-3742-15266-001.csv
cb01_04172023,hb,0.00415905,8.46e-05,7634,1159,had to run a second sink_data run,1681763027.0,10000-3743-15268-002.csv
std1160,std,1.153656845,0.001955996,7635,1160,,1681764053.0,10000-3744-15270-001.csv
cb02_04172023,hb,0.004358934,8.1e-05,7636,1160,successful,1681767099.0,10000-3745-15272-001.csv
RS23_G168_320_1,zirc,5.855284148,0.01006255,7637,1160,temp unstable,1681783898.0,10000-3746-15274-001.csv
RS23_G168_350_1,zirc,8.041875037,0.010295389,7638,1160,temp more stable,1681790735.0,10000-3747-15276-001.csv
std1161,std,1.171283949,0.002168301,7639,1161,,1681791342.0,10000-3748-15278-001.csv
lb03_04182023,lb,0.004094584,9.209999999999999e-05,7642,1161,,1681832427.0,10000-3749-15284-003.csv
