count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1689034414.356302,1.8559552766167497e-12,1.3303201422398825e-11,1.6053203211185973e-10,1.1697157686896276e-09,5.67246336707905e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4332,7:13:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.8559552766167497e-12, 1.3303201422398825e-11, 1.6053203211185973e-10, 1.1697157686896276e-09, 5.67246336707905e-13]",True
2,1689034417.4637258,1.7770996263086203e-12,1.3524417696864077e-11,1.6075177300400867e-10,1.1708093383688833e-09,5.69003394748635e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4333,7:13:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.7770996263086203e-12, 1.3524417696864077e-11, 1.6075177300400867e-10, 1.1708093383688833e-09, 5.69003394748635e-13]",False
3,1689034419.5459933,1.8422325297196007e-12,1.3299017269374769e-11,1.598574606020975e-10,1.1740198813114944e-09,5.684646004790184e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4334,7:13:37 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.8422325297196007e-12, 1.3299017269374769e-11, 1.598574606020975e-10, 1.1740198813114944e-09, 5.684646004790184e-13]",True
4,1689034422.7262065,1.615886677935885e-12,1.3222075344321293e-11,1.6063309016267624e-10,1.1735938887369457e-09,5.640136795104223e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4335,7:13:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.615886677935885e-12, 1.3222075344321293e-11, 1.6063309016267624e-10, 1.1735938887369457e-09, 5.640136795104223e-13]",False
5,1689034425.2594454,1.6962831963715508e-12,1.2952965089407797e-11,1.5991788449021271e-10,1.1747450789911795e-09,5.696695285634101e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4336,7:13:42 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.6962831963715508e-12, 1.2952965089407797e-11, 1.5991788449021271e-10, 1.1747450789911795e-09, 5.696695285634101e-13]",True
6,1689034427.7881477,1.7397632813553887e-12,1.3032804002666154e-11,1.601306032217309e-10,1.1752538942033652e-09,5.636015200545519e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4337,7:13:45 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.7397632813553887e-12, 1.3032804002666154e-11, 1.601306032217309e-10, 1.1752538942033652e-09, 5.636015200545519e-13]",False
7,1689034430.3266108,1.6578500725006329e-12,1.3166215513671364e-11,1.612852906784923e-10,1.1760115103953694e-09,5.725033619917441e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4338,7:13:47 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.6578500725006329e-12, 1.3166215513671364e-11, 1.612852906784923e-10, 1.1760115103953694e-09, 5.725033619917441e-13]",True
8,1689034432.8605123,1.623016174581715e-12,1.351388705800316e-11,1.5991460933229007e-10,1.1742414818272096e-09,5.698171968993027e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4339,7:13:50 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.623016174581715e-12, 1.351388705800316e-11, 1.5991460933229007e-10, 1.1742414818272096e-09, 5.698171968993027e-13]",False
9,1689034435.398748,1.661064515101618e-12,1.3068644257041573e-11,1.6036744154845906e-10,1.1771867924892376e-09,5.686045167693776e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4340,7:13:52 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.661064515101618e-12, 1.3068644257041573e-11, 1.6036744154845906e-10, 1.1771867924892376e-09, 5.686045167693776e-13]",True
10,1689034437.9248674,1.6165638706128194e-12,1.2938466270595583e-11,1.6050538675926873e-10,1.1761538409871264e-09,5.696472482087656e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4341,7:13:55 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.6165638706128194e-12, 1.2938466270595583e-11, 1.6050538675926873e-10, 1.1761538409871264e-09, 5.696472482087656e-13]",False
11,1689034440.9532783,1.5764470891882487e-12,1.3229211996701462e-11,1.6075019093619858e-10,1.1791989606990683e-09,5.708719087726966e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4342,7:13:58 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.5764470891882487e-12, 1.3229211996701462e-11, 1.6075019093619858e-10, 1.1791989606990683e-09, 5.708719087726966e-13]",True
12,1689034443.4706433,1.4722923401266907e-12,1.3327066013257838e-11,1.6093204546763218e-10,1.1780959541241032e-09,5.604467085730536e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4343,7:14:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4722923401266907e-12, 1.3327066013257838e-11, 1.6093204546763218e-10, 1.1780959541241032e-09, 5.604467085730536e-13]",False
13,1689034446.0060785,1.5464012449034614e-12,1.3140884214113413e-11,1.6112074174845503e-10,1.1793690468664408e-09,5.648877633018801e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4344,7:14:03 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.5464012449034614e-12, 1.3140884214113413e-11, 1.6112074174845503e-10, 1.1793690468664408e-09, 5.648877633018801e-13]",True
14,1689034448.524566,1.501193592177985e-12,1.3356520750518186e-11,1.6072883302076235e-10,1.1802963051366078e-09,5.681295277976117e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4345,7:14:06 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.501193592177985e-12, 1.3356520750518186e-11, 1.6072883302076235e-10, 1.1802963051366078e-09, 5.681295277976117e-13]",False
15,1689034451.1152396,1.4356760138362068e-12,1.3299263600108358e-11,1.5977255629628928e-10,1.1800778132453615e-09,5.69362807768814e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4346,7:14:08 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4356760138362068e-12, 1.3299263600108358e-11, 1.5977255629628928e-10, 1.1800778132453615e-09, 5.69362807768814e-13]",True
16,1689034453.6385276,1.395864543743408e-12,1.3220763893373455e-11,1.6081427856029507e-10,1.1820011636132222e-09,5.740222750252877e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4347,7:14:11 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.395864543743408e-12, 1.3220763893373455e-11, 1.6081427856029507e-10, 1.1820011636132222e-09, 5.740222750252877e-13]",False
17,1689034456.2302861,1.4191065857149798e-12,1.3054421259262039e-11,1.6061924013044404e-10,1.1814563771750386e-09,5.757322244816232e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4348,7:14:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4191065857149798e-12, 1.3054421259262039e-11, 1.6061924013044404e-10, 1.1814563771750386e-09, 5.757322244816232e-13]",True
18,1689034459.2590473,1.4039370794388661e-12,1.3302985449326066e-11,1.6124221402513683e-10,1.1816563283417736e-09,5.709043806277625e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4349,7:14:16 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4039370794388661e-12, 1.3302985449326066e-11, 1.6124221402513683e-10, 1.1816563283417736e-09, 5.709043806277625e-13]",False
19,1689034461.7632167,1.4363055016175519e-12,1.3240144224047068e-11,1.6077555953231126e-10,1.1830481039254437e-09,5.669617336376276e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4350,7:14:19 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.4363055016175519e-12, 1.3240144224047068e-11, 1.6077555953231126e-10, 1.1830481039254437e-09, 5.669617336376276e-13]",True
20,1689034464.2697663,1.5060344464579156e-12,1.335200006113979e-11,1.6138573810664525e-10,1.184910169982345e-09,5.638472544769457e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),4351,7:14:21 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.5060344464579156e-12, 1.335200006113979e-11, 1.6138573810664525e-10, 1.184910169982345e-09, 5.638472544769457e-13]",False
