count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
,,,,,,,,,,,,,,,,
1,1689282551,1.01E-12,1.30E-11,1.61E-10,2.65E-11,7.98E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6877,4:09:07 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.011775407379345e-12, 1.2992038868342437e-11, 1.6146194103949796e-10, 2.6454524335028928e-11, 7.975610731743299e-14]",TRUE
,,,,,,,,,,,,,,,,
2,1689282553,1.01E-12,1.31E-11,1.62E-10,2.63E-11,7.89E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6878,4:09:10 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0051605815047937e-12, 1.3103258061919476e-11, 1.6247794776269586e-10, 2.625085565588492e-11, 7.890832220492153e-14]",FALSE
,,,,,,,,,,,,,,,,
3,1689282556,9.30E-13,1.31E-11,1.62E-10,2.67E-11,7.53E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6879,4:09:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.302229125873751e-13, 1.3098619411344714e-11, 1.618529060776197e-10, 2.6655901444461172e-11, 7.525456088364538e-14]",TRUE
,,,,,,,,,,,,,,,,
4,1689282558,9.14E-13,1.31E-11,1.62E-10,2.63E-11,7.72E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6880,4:09:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.137340406875638e-13, 1.3114822595972075e-11, 1.61667304543478e-10, 2.6337407948995306e-11, 7.715114219144711e-14]",FALSE
,,,,,,,,,,,,,,,,
5,1689282561,8.31E-13,1.31E-11,1.62E-10,2.62E-11,7.59E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6881,4:09:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.314151233798639e-13, 1.310684807215301e-11, 1.6178194894855835e-10, 2.6183074805508078e-11, 7.586437039555985e-14]",TRUE
,,,,,,,,,,,,,,,,
6,1689282563,9.35E-13,1.31E-11,1.63E-10,2.64E-11,7.31E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6882,4:09:20 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.348302297193523e-13, 1.306766240355417e-11, 1.6264284363742831e-10, 2.6400598721054713e-11, 7.313577911685631e-14]",FALSE
,,,,,,,,,,,,,,,,
7,1689282566,8.37E-13,1.32E-11,1.63E-10,2.62E-11,7.85E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6883,4:09:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.37389511031128e-13, 1.315229869458534e-11, 1.626788703745774e-10, 2.6175365694380837e-11, 7.852037433881548e-14]",TRUE
,,,,,,,,,,,,,,,,
8,1689282569,7.86E-13,1.31E-11,1.61E-10,2.68E-11,8.35E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6884,4:09:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[7.861069651129982e-13, 1.3109208163442077e-11, 1.609821581594062e-10, 2.6829106644643552e-11, 8.347548319893525e-14]",FALSE
,,,,,,,,,,,,,,,,
9,1689282571,7.63E-13,1.29E-11,1.62E-10,2.67E-11,7.51E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6885,4:09:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[7.625784769274557e-13, 1.2890277387156424e-11, 1.6153159365650538e-10, 2.6707937944570048e-11, 7.505922830974496e-14]",TRUE
,,,,,,,,,,,,,,,,
10,1689282574,7.37E-13,1.30E-11,1.63E-10,2.66E-11,8.17E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6886,4:09:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[7.373178673511505e-13, 1.3009304571098834e-11, 1.6284699977386907e-10, 2.6556288418300156e-11, 8.165548044582888e-14]",FALSE
,,,,,,,,,,,,,,,,
11,1689282577,7.59E-13,1.31E-11,1.63E-10,2.66E-11,7.07E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6887,4:09:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[7.593365498013982e-13, 1.3093490701387989e-11, 1.6276030523343366e-10, 2.659880475597287e-11, 7.068365939213658e-14]",TRUE
,,,,,,,,,,,,,,,,
12,1689282580,7.37E-13,1.30E-11,1.62E-10,2.65E-11,7.62E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6888,4:09:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[7.37335539846562e-13, 1.3041324097018414e-11, 1.622616901952867e-10, 2.6520237395022406e-11, 7.615214475719181e-14]",FALSE
,,,,,,,,,,,,,,,,
13,1689282582,7.32E-13,1.31E-11,1.62E-10,2.66E-11,7.51E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6889,4:09:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[7.31701483257241e-13, 1.3050183329810228e-11, 1.6215362386162724e-10, 2.6602033076361664e-11, 7.51392085487565e-14]",TRUE
,,,,,,,,,,,,,,,,
14,1689282585,7.82E-13,1.32E-11,1.62E-10,2.68E-11,7.78E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6890,4:09:41 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[7.816086645094644e-13, 1.3192103659465104e-11, 1.6222344301208835e-10, 2.6774355302294772e-11, 7.783240062652838e-14]",FALSE
,,,,,,,,,,,,,,,,
15,1689282587,7.01E-13,1.30E-11,1.62E-10,2.63E-11,7.61E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6891,4:09:44 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[7.006423436220488e-13, 1.2969935889173279e-11, 1.6235432442890385e-10, 2.6255794413621025e-11, 7.61182769918288e-14]",TRUE
,,,,,,,,,,,,,,,,
