count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit,,
,,,,,,,,,,,,,,,,,,
1,45120.92693,6.77E-13,1.28E-11,1.62E-10,7.35E-12,8.74E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15246,10:13:45 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.766591953E-13, 1.283967117E-11, 0.000000000162423075, 7.351585486E-12, 8.744569603E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
2,45123.59438,6.18E-13,1.27E-11,1.63E-10,7.55E-12,8.83E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15247,10:13:48 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.183193063E-13, 1.265279635E-11, 1.633518321E-10, 7.552656417E-12, 8.834391687E-14]",FALSE,,
,,,,,,,,,,,,,,,,,,
3,45126.26182,5.40E-13,1.28E-11,1.64E-10,7.73E-12,8.62E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15248,10:13:51 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.40301148E-13, 1.277710316E-11, 1.636008967E-10, 7.728333598E-12, 8.624988202E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
4,45128.92927,6.19E-13,1.26E-11,1.63E-10,7.64E-12,8.96E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15249,10:13:54 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.186585532E-13, 1.259888374E-11, 0.000000000162893754, 7.639686626E-12, 8.962519312E-14]",FALSE,,2.667447448
,,,,,,,,,,,,,,,,,,
5,45131.59672,6.25E-13,1.27E-11,1.64E-10,7.28E-12,8.17E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15250,10:13:57 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.247662977E-13, 1.266161655E-11, 1.640376168E-10, 7.277440803E-12, 8.165147567E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
6,45134.26417,6.32E-13,1.30E-11,1.63E-10,7.42E-12,8.92E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15251,10:14:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.323370647E-13, 1.302521199E-11, 1.630036245E-10, 7.424468158E-12, 8.918570499E-14]",FALSE,,
,,,,,,,,,,,,,,,,,,
7,45136.93161,6.43E-13,1.25E-11,1.64E-10,7.40E-12,9.15E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15252,10:14:03 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.433373799E-13, 1.253156346E-11, 1.636992486E-10, 7.399796921E-12, 9.146597189E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
8,45139.59906,6.17E-13,1.27E-11,1.64E-10,7.79E-12,8.96E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15253,10:14:06 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.174668524E-13, 1.274618605E-11, 1.636768221E-10, 7.788651668E-12, 8.963497127E-14]",FALSE,,
,,,,,,,,,,,,,,,,,,
9,45142.26651,6.06E-13,1.28E-11,1.64E-10,7.70E-12,8.94E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15254,10:14:09 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.058703886E-13, 1.279498382E-11, 1.639539615E-10, 7.701516508E-12, 8.940692289E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
10,45144.93396,6.67E-13,1.26E-11,1.63E-10,7.61E-12,9.39E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15255,10:14:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.674918322E-13, 1.255884459E-11, 0.000000000163159819, 7.612506112E-12, 9.387927718E-14]",FALSE,,
,,,,,,,,,,,,,,,,,,
11,45147.6014,6.18E-13,1.27E-11,1.63E-10,7.43E-12,8.91E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15256,10:14:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.184711489E-13, 1.272152522E-11, 1.633765762E-10, 7.427147439E-12, 8.913564873E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
12,45150.26885,5.64E-13,1.26E-11,1.63E-10,7.63E-12,9.15E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15257,10:14:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.638403156E-13, 1.259394151E-11, 1.628397001E-10, 7.631124899E-12, 9.151660414E-14]",FALSE,,
,,,,,,,,,,,,,,,,,,
13,45152.9363,5.42E-13,1.28E-11,1.63E-10,7.58E-12,8.98E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15258,10:14:21 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.422408941E-13, 1.278836412E-11, 1.633286423E-10, 7.580126631E-12, 8.975244457E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
14,45155.60375,5.75E-13,1.27E-11,1.63E-10,7.48E-12,9.61E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15259,10:14:24 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.752924179E-13, 1.267305618E-11, 1.627550733E-10, 7.482756602E-12, 9.611702981E-14]",FALSE,,
,,,,,,,,,,,,,,,,,,
15,45158.27119,6.11E-13,1.26E-11,1.63E-10,7.68E-12,8.88E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15260,10:14:27 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[6.111042119E-13, 1.264498142E-11, 1.627618734E-10, 7.678503666E-12, 8.877788234E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
16,45160.93864,5.83E-13,1.27E-11,1.63E-10,7.71E-12,9.08E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15261,10:14:30 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.82997138E-13, 1.268902431E-11, 1.632814439E-10, 7.71395274E-12, 9.077278724E-14]",FALSE,,
,,,,,,,,,,,,,,,,,,
17,45163.60609,5.67E-13,1.26E-11,1.63E-10,7.55E-12,9.05E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15262,10:14:33 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.673318803E-13, 1.257898993E-11, 1.630579421E-10, 7.551011899E-12, 9.05139543E-14]",TRUE,,
,,,,,,,,,,,,,,,,,,
18,45166.27354,5.88E-13,1.30E-11,1.63E-10,7.48E-12,8.48E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),15263,10:14:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.876558463E-13, 1.299639823E-11, 1.633515545E-10, 7.478925465E-12, 8.481655319E-14]",FALSE,,
,,,,,,,,,,,,,,,,,,
