count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1689362727.0890572,1.3319491993721289e-12,1.349579042270177e-11,1.6823893667083922e-10,1.5588476690031605e-12,9.04502167609067e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),95,2:25:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.3319491993721289e-12, 1.349579042270177e-11, 1.6823893667083922e-10, 1.5588476690031605e-12, 9.04502167609067e-14]",True
2,1689362729.6036448,1.306171859040417e-12,1.3251406916214847e-11,1.6854165285629108e-10,1.5350135442251944e-12,9.013614372032838e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),96,2:25:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.306171859040417e-12, 1.3251406916214847e-11, 1.6854165285629108e-10, 1.5350135442251944e-12, 9.013614372032838e-14]",False
3,1689362732.6279886,1.1900563000322162e-12,1.2989808013952331e-11,1.6818769987825277e-10,1.4701504987349456e-12,8.837746615260322e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),97,2:25:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1900563000322162e-12, 1.2989808013952331e-11, 1.6818769987825277e-10, 1.4701504987349456e-12, 8.837746615260322e-14]",True
4,1689362735.147011,1.1615858015040503e-12,1.3271825478888832e-11,1.6904856681154712e-10,1.4233151332879168e-12,8.754151239629901e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),98,2:25:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1615858015040503e-12, 1.3271825478888832e-11, 1.6904856681154712e-10, 1.4233151332879168e-12, 8.754151239629901e-14]",False
5,1689362737.6629734,1.225086546964571e-12,1.3058321784997773e-11,1.6742211783604688e-10,1.54112421608954e-12,9.359266833763868e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),99,2:25:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.225086546964571e-12, 1.3058321784997773e-11, 1.6742211783604688e-10, 1.54112421608954e-12, 9.359266833763868e-14]",True
6,1689362740.1874714,1.0620554999687948e-12,1.3179836562404734e-11,1.6884907361180979e-10,1.4773200024409405e-12,8.925314236600188e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),100,2:25:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0620554999687948e-12, 1.3179836562404734e-11, 1.6884907361180979e-10, 1.4773200024409405e-12, 8.925314236600188e-14]",False
7,1689362742.769445,9.97433255781055e-13,1.3293062831043478e-11,1.6811467495880805e-10,1.502961058559571e-12,8.631916253824812e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),101,2:25:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.97433255781055e-13, 1.3293062831043478e-11, 1.6811467495880805e-10, 1.502961058559571e-12, 8.631916253824812e-14]",True
8,1689362745.792508,1.0906941582539131e-12,1.3098333181971178e-11,1.688718331838146e-10,1.5002837297148353e-12,8.870345186455172e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),102,2:25:42 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0906941582539131e-12, 1.3098333181971178e-11, 1.688718331838146e-10, 1.5002837297148353e-12, 8.870345186455172e-14]",False
9,1689362748.2985344,1.051255003187146e-12,1.3564976399094153e-11,1.682877448505593e-10,1.4988915057051466e-12,9.189170420680765e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),103,2:25:44 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.051255003187146e-12, 1.3564976399094153e-11, 1.682877448505593e-10, 1.4988915057051466e-12, 9.189170420680765e-14]",True
10,1689362750.8130426,9.637712719903768e-13,1.3070169946338694e-11,1.687498474289839e-10,1.412635958729369e-12,8.520477888778605e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),104,2:25:47 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.637712719903768e-13, 1.3070169946338694e-11, 1.687498474289839e-10, 1.412635958729369e-12, 8.520477888778605e-14]",False
11,1689362753.4140549,9.218689180079398e-13,1.3370440171689424e-11,1.690339812565611e-10,1.45597249534557e-12,9.25140430300779e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),105,2:25:49 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.218689180079398e-13, 1.3370440171689424e-11, 1.690339812565611e-10, 1.45597249534557e-12, 9.25140430300779e-14]",True
