,aliquot_type,intercept,error,QST,QRT,diff_temp,diff_time,cool_time,notes,time_of_collection,file
lb02_06272023,lb,0.0039744716430228375,7.068860608753643e-05,8158,1267,,,,,1687883051.5866675,10000-4264-16316-001.csv
cb01_06272023,hb,0.004273932658387798,9.367906286625344e-05,8159,1267,,7200.0,,,1687890977.3893025,10000-4265-16318-001.csv
std1268,std,1.1756955400722895,0.0017502604520468544,8160,1268,,,,,1687891959.4561145,10000-4266-16320-001.csv
RS23_G3_150_1,zirc,0.9526005942251088,0.001982870279421121,8161,1268,150.0,7200.0,335.0,,1687900539.529469,10000-4267-16322-001.csv
std1269,std,1.1743356154552882,0.002263064572277117,8162,1269,,,,,1687901367.3103788,10000-4268-16324-001.csv
lb02_07072023,lb,0.003917955394814529,9.140091561974404e-05,8164,1269,,,,,1688743996.8624756,10000-4270-16328-001.csv
cb01_07072023,hb,0.004126930726631083,7.475704894369177e-05,8165,1269,,3600.0,,,1688748345.1785233,10000-4271-16330-001.csv
std1270,std,1.1726431555940249,0.00220906314611677,8166,1270,,,,,1688748908.631183,10000-4272-16332-001.csv
RS23_G3_175_1,zirc,1.1195197619611579,0.0020641756419808397,8167,1270,175.0,7200.0,294.0,,1688763864.7738106,10000-4273-16334-001.csv
RS23_G3_200_1,zirc,1.7996248256426142,0.0030251400899908537,8168,1270,200.0,7200.0,322.0,,1688772238.7888262,10000-4274-16336-001.csv
RS23_G3_225_1,zirc,3.33632709073546,0.005381581704395768,8169,1270,225.0,7200.0,288.0,,1688781061.8849854,10000-4275-16338-001.csv
std1271,std,1.1788368958241593,0.0020956449214743554,8170,1271,,,,,1688781835.8008099,10000-4276-16340-001.csv
lb02_07102023,lb,0.003933500623196915,6.829747489853884e-05,8172,1271,,,,,1689024635.3980772,10000-4278-16344-001.csv
std1272,std,1.1627057103519751,0.0017626749375235227,8173,1272,,,,,1689025219.1190715,10000-4279-16346-001.csv
RS23_G3_250_1,zirc,7.330793514731271,0.009271639106001454,8174,1272,250.0,7200.0,293.0,,1689034464.2697663,10000-4280-16348-001.csv
RS23_G3_275_1,zirc,14.766564269744894,0.015846306728260786,8175,1272,275.0,7200.0,306.0,,1689043322.4983375,10000-4281-16350-001.csv
std1273,std,1.1810088088177308,0.0019917677728045345,8176,1273,,,,,1689044395.5361185,10000-4282-16352-001.csv
lb02_07112023,lb,0.003945757943505718,7.561336409679804e-05,8178,1273,,,,,1689092318.506294,10000-4284-16356-001.csv
std1274,std,1.1729540879274225,0.0017288613544753865,8179,1274,,,,,1689092848.2551086,10000-4285-16358-001.csv
RS23_G3_300_1,zirc,20.94878203801481,0.029035015191064887,8180,1274,300.0,5400.0,277.0,,1689099188.684788,10000-4286-16360-001.csv
RS23_G3_325_1,zirc,37.16964135236064,0.05794535782539196,8181,1274,325.0,5400.0,295.0,,1689106519.820107,10000-4287-16362-001.csv
RS23_G3_350_1,zirc,41.71520864812244,0.05383530436464342,8182,1274,350.0,3600.0,302.0,,1689111997.8895473,10000-4288-16364-001.csv
