,aliquot_type,intercept,error,QST,QRT,diff_temp,diff_time,notes,time_of_collection,file
lb02_05232023,lb,0.004225849,7.68e-05,7972,1234,,,,1684861173.0,10000-4079-15944-001.csv
cb01_05232023,hb,0.004342291,9.449999999999999e-05,7973,1234,,,,1684869302.0,10000-4080-15946-001.csv
std1235,std,1.171407383,0.001958993,7974,1235,,,,1684869922.0,10000-4081-15948-001.csv
RS23_GZ5_150_1,zirc,3.5299414639999998,0.005113475,7975,1235,150.0,3600.0,,1684875027.0,10000-4082-15950-001.csv
RS23_GZ5_175_1,zirc,4.312833926000001,0.006169119,7976,1235,175.0,3600.0,,1684880583.0,10000-4083-15952-001.csv
RS23_GZ5_200_1,zirc,10.00027431,0.012086524,7977,1235,200.0,3600.0,,1684885755.0,10000-4084-15954-001.csv
RS23_GZ5_225_1,zirc,17.80022863,0.019433851000000002,7978,1235,225.0,3600.0,,1684893734.0,10000-4085-15956-001.csv
RS23_GZ5_250_1,zirc,29.56922494,0.052330797000000005,7979,1235,250.0,3600.0,,1684898749.0,10000-4086-15958-001.csv
std1236,std,1.1764376909999998,0.002335841,7980,1236,,,,1684899594.0,10000-4087-15960-001.csv
lb02_05242023,lb,0.004107899,8.190000000000001e-05,7982,1236,,,,1684946328.0,10000-4089-15964-001.csv
std1237,std,1.168643133,0.001874416,7983,1237,,,,1684946927.0,10000-4090-15966-001.csv
RS23_GZ5_275_1,zirc,543.0133477,0.7937530429999999,7984,1237,275.0,3600.0,,1684951774.0,10000-4091-15968-001.csv
lb06_05242023,lb,0.006318715,7.25e-05,7988,1237,,,,1684956539.0,10000-4095-15976-001.csv
RS23_GZ5_300_1,zirc,434.89577239999994,0.629479379,7989,1237,300.0,1800.0,,1684959415.0,10000-4096-15978-001.csv
std1238,std,1.186648085,0.0017486020000000001,7990,1238,,,,1684961541.0,10000-4097-15980-001.csv
std1239,std,1.1818381279999999,0.0015872829999999999,7991,1239,,,,1684962741.0,10000-4098-15982-001.csv
lb02_05262023,lb,0.004007196,9.620000000000001e-05,7993,1239,,,,1685130045.0,10000-4100-15986-001.csv
std1240,std,1.170081394,0.00213081,7994,1240,,,,1685130598.0,10000-4101-15988-001.csv
RS23_GZ5_265_2,zirc,185.8540917,0.21867428600000002,7995,1240,265.0,1800.0,,1685133507.0,10000-4102-15990-001.csv
cb01_05262023,hb,0.004772049,7.759999999999999e-05,7996,1240,,,,1685135559.0,10000-4103-15992-001.csv
RS23_GZ5_255_2,zirc,136.8543671,0.19538876800000002,7997,1240,255.0,1800.0,,1685138436.0,10000-4104-15994-001.csv
RS23_GZ5_240_2,zirc,71.64108071,0.10717567199999999,7998,1240,240.0,1200.0,,1685141311.0,10000-4105-15996-001.csv
RS23_GZ5_230_2,zirc,49.98294037,0.06892266799999999,7999,1240,230.0,1200.0,,1685144353.0,10000-4106-15998-001.csv
