count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1701458668.41664,1.0597830122152652e-12,1.0965228725012821e-11,1.345745320735503e-10,3.469454237792213e-11,7.917105149636908e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3673,1:24:25 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0597830122152652e-12, 1.0965228725012821e-11, 1.345745320735503e-10, 3.469454237792213e-11, 7.917105149636908e-14]",True
2,1701458670.960983,1.0709500777514314e-12,1.1052220770524368e-11,1.3464565573606535e-10,3.490947808604261e-11,7.230280691652644e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3674,1:24:27 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0709500777514314e-12, 1.1052220770524368e-11, 1.3464565573606535e-10, 3.490947808604261e-11, 7.230280691652644e-14]",False
3,1701458673.5475326,9.945971997382674e-13,1.0986505108445677e-11,1.349176326215229e-10,3.509955520675234e-11,7.722473241390457e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3675,1:24:30 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.945971997382674e-13, 1.0986505108445677e-11, 1.349176326215229e-10, 3.509955520675234e-11, 7.722473241390457e-14]",True
4,1701458676.1222217,1.016327213360091e-12,1.0939964212308695e-11,1.3439051260721868e-10,3.519422253628335e-11,8.007629254775869e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3676,1:24:33 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.016327213360091e-12, 1.0939964212308695e-11, 1.3439051260721868e-10, 3.519422253628335e-11, 8.007629254775869e-14]",False
5,1701458678.8217943,1.0094129308454991e-12,1.0985060951151926e-11,1.347558592490472e-10,3.4953276384364074e-11,7.676747692392238e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3677,1:24:35 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0094129308454991e-12, 1.0985060951151926e-11, 1.347558592490472e-10, 3.4953276384364074e-11, 7.676747692392238e-14]",True
6,1701458681.848997,1.0217274075408067e-12,1.0657856541751443e-11,1.3478672344913178e-10,3.487042252170447e-11,8.426691690353177e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3678,1:24:38 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0217274075408067e-12, 1.0657856541751443e-11, 1.3478672344913178e-10, 3.487042252170447e-11, 8.426691690353177e-14]",False
7,1701458684.3679972,9.256118007477943e-13,1.0964931219936691e-11,1.345659833562607e-10,3.496044079231986e-11,7.465018593512049e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3679,1:24:40 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.256118007477943e-13, 1.0964931219936691e-11, 1.345659833562607e-10, 3.496044079231986e-11, 7.465018593512049e-14]",True
8,1701458686.893388,1.0038518410623865e-12,1.1174307139316664e-11,1.3493066386427444e-10,3.5399669306990234e-11,7.39519055259312e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3680,1:24:43 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0038518410623865e-12, 1.1174307139316664e-11, 1.3493066386427444e-10, 3.5399669306990234e-11, 7.39519055259312e-14]",False
9,1701458689.4118261,9.365759036372712e-13,1.0947623016455132e-11,1.3473511195627452e-10,3.505955248339632e-11,7.719478810515323e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3681,1:24:46 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.365759036372712e-13, 1.0947623016455132e-11, 1.3473511195627452e-10, 3.505955248339632e-11, 7.719478810515323e-14]",True
10,1701458691.946819,8.891286144840915e-13,1.0769531967602664e-11,1.3529727338479347e-10,3.5420624766580033e-11,8.330232933572573e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3682,1:24:48 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.891286144840915e-13, 1.0769531967602664e-11, 1.3529727338479347e-10, 3.5420624766580033e-11, 8.330232933572573e-14]",False
11,1701458694.5465422,9.417355133559124e-13,1.0899571176170575e-11,1.3459368342072509e-10,3.5437194845222564e-11,7.792520155622956e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3683,1:24:51 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.417355133559124e-13, 1.0899571176170575e-11, 1.3459368342072509e-10, 3.5437194845222564e-11, 7.792520155622956e-14]",True
