,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_11292023,lb,0.0037641309999999996,7.01e-05,9534,1494,,1701274279.0,10000-5631-19068-001.csv
hb01_11292023,hb,0.003795745,8.08e-05,9535,1494,,1701275422.0,10000-5632-19070-001.csv
std1495,std,1.1900669590000001,0.001797948,9536,1495,,1701275957.0,10000-5633-19072-001.csv
RS_FCT_14,zirc,0.75665387,0.001709996,9537,1495,,1701277135.0,10000-5634-19074-001.csv
RS_FCT_14_re1,zirc,0.277760162,0.000965712,9538,1495,,1701278319.0,10000-5635-19076-001.csv
RS_FCT_14_re2,zirc,0.219300293,0.000621911,9539,1495,,1701279763.0,10000-5636-19078-001.csv
RS_FCT_14_re3,zirc,0.191594362,0.00058104,9540,1495,,1701281212.0,10000-5637-19080-001.csv
RS_FCT_14_re4,zirc,0.00848562,0.000126637,9541,1495,,1701282849.0,10000-5638-19082-001.csv
RS21_RVG-1_Zr1,zirc,16.5359366,0.02758428,9542,1495,,1701284073.0,10000-5639-19084-001.csv
RS21_RVG-1_Zr1_re1,zirc,0.233995464,0.000551353,9543,1495,1.37%,1701285305.0,10000-5640-19086-001.csv
std1496,std,1.198045747,0.002301846,9544,1496,,1701285883.0,10000-5641-19088-001.csv
RS21_RVG-1_Zr2,zirc,76.78430871,0.086895584,9545,1496,,1701287018.0,10000-5642-19090-001.csv
RS21_RVG-1_Zr2_re1,zirc,2.3995950219999997,0.0045584959999999996,9546,1496,,1701288700.0,10000-5643-19092-001.csv
RS21_RVG-1_Zr3,zirc,30.9731892,0.03699647,9547,1496,,1701291839.0,10000-5644-19094-001.csv
RS21_RVG-1_Zr3_re1,zirc,0.41798493299999995,0.001236287,9548,1496,,1701295499.0,10000-5645-19096-001.csv
RS21_RVG-1_Zr4,zirc,34.30766256,0.039980633,9549,1496,,1701297097.0,10000-5646-19098-001.csv
RS21_RVG-1_Zr4_re1,zirc,0.574827735,0.0012751210000000002,9550,1496,,1701298991.0,10000-5647-19100-001.csv
std1497,std,1.200203664,0.001881992,9551,1497,,1701299738.0,10000-5648-19102-001.csv
RS21_CCG-2_Zr1,zirc,13.41331396,0.016280929,9552,1497,,1701301045.0,10000-5649-19104-001.csv
RS21_CCG-2_Zr1_re1,zirc,0.005901656999999999,0.000112694,9553,1497,,1701302358.0,10000-5650-19106-001.csv
RS21_CCG-2_Zr2,zirc,13.13490153,0.016021335,9554,1497,,1701303526.0,10000-5651-19108-001.csv
RS21_CCG-2_Zr2_re1,zirc,0.07740589099999999,0.00045489999999999994,9555,1497,,1701304883.0,10000-5652-19110-001.csv
RS_FCT_15,zirc,0.39347245299999994,0.000793631,9556,1497,,1701306038.0,10000-5653-19112-001.csv
RS_FCT_15_re1,zirc,0.017240236000000003,0.000132858,9557,1497,,1701309180.0,10000-5654-19114-001.csv
RS_FCT_15_re2,zirc,0.01756726,0.00017361,9558,1497,,1701310317.0,10000-5655-19116-001.csv
std1498,std,1.1938474479999999,0.002420016,9559,1498,,1701310888.0,10000-5656-19118-001.csv
RS_FCT_15_re3,zirc,0.013745316,0.000152245,9560,1498,,1701312322.0,10000-5657-19120-001.csv
RS21_CCG-2_Zr3,zirc,8.68752647,0.009349198000000001,9561,1498,,1701313626.0,10000-5658-19122-001.csv
RS21_CCG-2_Zr3_re1,zirc,0.004391806,6.9e-05,9562,1498,,1701314952.0,10000-5659-19124-001.csv
RS21_WRG-5_Zr1,zirc,8.06807719,0.008786328000000001,9563,1498,,1701316516.0,10000-5660-19126-001.csv
RS21_WRG-5_Zr1_re1,zirc,0.163893671,0.0005124719999999999,9564,1498,,1701317711.0,10000-5661-19128-001.csv
RS21_WRG-5_Zr2,zirc,36.65067647,0.042542287000000005,9565,1498,,1701319003.0,10000-5662-19130-001.csv
RS21_WRG-5_Zr2_re1,zirc,1.423867784,0.002600565,9566,1498,,1701320721.0,10000-5663-19132-001.csv
RS21_WRG-5_Zr2_re2,zirc,0.8364944990000001,0.0015273160000000001,9567,1498,,1701322217.0,10000-5664-19134-001.csv
