count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1682566262.0675433,1.18532245650671e-12,1.610337731217104e-11,1.9571483322877725e-10,2.2853649528364883e-10,9.862869933740734e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16927,10:30:59 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.18532245650671e-12, 1.610337731217104e-11, 1.9571483322877725e-10, 2.2853649528364883e-10, 9.862869933740734e-14]",True
2,1682566263.7217383,1.1107306480823143e-12,1.6094013274847718e-11,1.9417834007384727e-10,2.2795935972208525e-10,1.0186579498753373e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16928,10:31:02 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1107306480823143e-12, 1.6094013274847718e-11, 1.9417834007384727e-10, 2.2795935972208525e-10, 1.0186579498753373e-13]",False
3,1682566266.3003316,1.2461495594098815e-12,1.598931750890209e-11,1.951281636269897e-10,2.2937247934340377e-10,1.0906970178371431e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16929,10:31:04 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.2461495594098815e-12, 1.598931750890209e-11, 1.951281636269897e-10, 2.2937247934340377e-10, 1.0906970178371431e-13]",True
4,1682566269.3304808,1.1364376236930318e-12,1.5715050788456253e-11,1.95847574269159e-10,2.2825384637936708e-10,1.0240235309016965e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16930,10:31:07 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1364376236930318e-12, 1.5715050788456253e-11, 1.95847574269159e-10, 2.2825384637936708e-10, 1.0240235309016965e-13]",False
5,1682566271.8430803,1.0659194880913159e-12,1.5913687034796453e-11,1.9580577437228186e-10,2.2956316014788314e-10,1.0083080881741549e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16931,10:31:09 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0659194880913159e-12, 1.5913687034796453e-11, 1.9580577437228186e-10, 2.2956316014788314e-10, 1.0083080881741549e-13]",True
6,1682566274.348437,1.0213495630836955e-12,1.6222464344073373e-11,1.9515736249253735e-10,2.3020299555476242e-10,1.072445287414979e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16932,10:31:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0213495630836955e-12, 1.6222464344073373e-11, 1.9515736249253735e-10, 2.3020299555476242e-10, 1.072445287414979e-13]",False
7,1682566276.8875976,9.277542926608429e-13,1.6237462763246668e-11,1.9605053691584828e-10,2.2894973417120212e-10,1.0477811110062851e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16933,10:31:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.277542926608429e-13, 1.6237462763246668e-11, 1.9605053691584828e-10, 2.2894973417120212e-10, 1.0477811110062851e-13]",True
8,1682566279.3971245,9.36722813031643e-13,1.6015746021058597e-11,1.956605572006609e-10,2.297137063900223e-10,9.804541889740087e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16934,10:31:17 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.36722813031643e-13, 1.6015746021058597e-11, 1.956605572006609e-10, 2.297137063900223e-10, 9.804541889740087e-14]",False
9,1682566281.9932725,9.375205689901578e-13,1.6022743895560687e-11,1.9618666413645514e-10,2.3009642802218622e-10,1.0599994596264747e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16935,10:31:20 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.375205689901578e-13, 1.6022743895560687e-11, 1.9618666413645514e-10, 2.3009642802218622e-10, 1.0599994596264747e-13]",True
10,1682566284.5750227,8.628926566334183e-13,1.60480743277569e-11,1.965648893653693e-10,2.3052948439072907e-10,1.0180137982596094e-13,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),16936,10:31:22 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.628926566334183e-13, 1.60480743277569e-11, 1.965648893653693e-10, 2.3052948439072907e-10, 1.0180137982596094e-13]",False
