,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
std1145,std,1.008011296985373,0.016631326410073085,7583,1145,possible ingrowth of 3He and 4He,1678989259.2294624,10000-3693-15166-001.csv
cb01_03182023,hb,0.004294135396365405,0.00010652361293732967,7584,1145,,1678991605.6076605,10000-3694-15168-001.csv
RS23_diffcell_blank150,hb,0.004055091848162466,8.258633948218265e-05,7585,1145,blank Nb packet. laser did not turn on,1678993159.2968087,10000-3695-15170-001.csv
std1146,std,1.1756815404273826,0.001897389568328372,7586,1146,ran another std to check values,1678995254.0984492,10000-3696-15172-001.csv
std1147,std,0.9948911486350251,0.01601570587081348,7587,1147,possible ingrowth of 3He and 4He,1679337969.8062372,10000-3697-15174-001.csv
std1148,std,1.1789758848577923,0.0017765184820806104,7588,1148,,1679343176.6296246,10000-3698-15176-001.csv
lb04_03222023,lb,0.004515670378944528,9.132090401652798e-05,7593,1149,,1679523712.3124664,10000-3703-15186-001.csv
cb01_03222023,hb,0.004497897933371712,8.796417623313827e-05,7594,1149,cold blank,1679526200.1479692,10000-3704-15188-001.csv
std1150,std,1.1610794531762367,0.002096224896671435,7595,1150,,1679526688.4216013,10000-3705-15190-001.csv
RS23_diff_blank150,hb,0.004514221919138353,8.177867524338787e-05,7596,1150,blank. laser worked,1679529789.0727947,10000-3706-15192-001.csv
std1151,std,1.1691288914879514,0.00273476870897003,7597,1151,,1679530614.2037241,10000-3707-15194-001.csv
lb03_03232023,lb,0.004326906695738715,7.521465101305332e-05,7600,1151,,1679592078.739109,10000-3710-15200-001.csv
cb01_03232023,hb,0.003958715529458855,8.324719365593077e-05,7601,1151,,1679594652.5161715,10000-3711-15202-001.csv
std1152,std,1.164140399817336,0.002365542163967367,7602,1152,,1679595133.297181,10000-3712-15204-001.csv
RS23_diff_blank325,hb,0.004122369327777645,0.00010569341044694303,7603,1152,,1679597503.9074924,10000-3713-15206-001.csv
std1153,std,1.1769000852359681,0.0016520423327730323,7604,1153,,1679602797.4618797,10000-3714-15208-001.csv
lb04_03272023,lb,0.003778895803173599,6.771656022986532e-05,7608,1153,,1679943069.121587,10000-3718-15216-001.csv
cb01_03272023,hb,0.004052988551843469,7.461289248910303e-05,7609,1153,,1679952770.7956674,10000-3719-15218-001.csv
std1154,std,1.165233363897877,0.0024919232266289244,7610,1154,,1679953251.7806354,10000-3720-15220-001.csv
RS23_G168_150_1,zirc,0.459546884406278,0.001285198190365859,7611,1154,did not finish lasing. a few seconds left,1679958013.770861,10000-3721-15222-001.csv
std115,std,1.1767875441815845,0.0025071669469528693,7612,1155,,1679959220.8101306,10000-3722-15224-001.csv
lb03_03282023,lb,0.0040840383027642094,7.734555154912863e-05,7615,1155,,1680024510.772429,10000-3725-15230-001.csv
std1156,std,1.151937301648522,0.0022881594008965283,7616,1156,,1680025083.605113,10000-3726-15232-001.csv
cb01_03282023,hb,0.004218414136164552,7.659712530789757e-05,7617,1156,,1680026245.5902085,10000-3727-15234-001.csv
RS23_G168_175_1,zirc,0.4322762172737614,0.0008916429813293268,7618,1156,t = 3600s,1680034443.3793504,10000-3728-15236-001.csv
RS23_G168_200_1,zirc,0.592859284518429,0.0013693747151004836,7619,1156,t = 3600s,1680043596.0115101,10000-3729-15238-001.csv
RS23_G168_225_1,zirc,0.8480981399768263,0.0022025621360640163,7620,1156,t = 3600s,1680048731.4895566,10000-3730-15240-001.csv
std1157,std,1.1679361009132088,0.001976126297846543,7621,1157,,1680049398.2986345,10000-3731-15242-001.csv
lb03_03292023,lb,0.004602315004085466,8.369028326453521e-05,7624,1157,,1680106085.7110627,10000-3734-15248-001.csv
cb01_03292023,hb,0.004075907687641914,8.062495854662462e-05,7626,1157,,1680120771.9944751,10000-3735-15252-001.csv
std1158,std,1.1649381141524364,0.001931029646350848,7627,1158,,1680121255.2906442,10000-3736-15254-001.csv
RS23_G168_250_1,zirc,1.1746176419921777,0.0019229071808941917,7628,1158,,1680126291.385031,10000-3737-15256-001.csv
RS23_G168_275_1,zirc,2.8228436224858244,0.004171441582441852,7629,1158,laser was at 283 +/- 7 *C,1680131533.7649088,10000-3738-15258-001.csv
std1159,std,1.1748516778381124,0.0018273994380757028,7631,1159,,1680147808.122549,10000-3740-15262-001.csv
