count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1674593928.709009,5.457541970427249e-13,8.301776800723193e-12,1.1440143971030992e-10,1.3891887640227196e-10,7.578225563352123e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7923,2:58:44 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.457541970427249e-13, 8.301776800723193e-12, 1.1440143971030992e-10, 1.3891887640227196e-10, 7.578225563352123e-14]",True
2,1674593930.1651535,5.860474865809762e-13,8.10902733849872e-12,1.1464075522216177e-10,1.3859330350030064e-10,8.09492379269354e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7924,2:58:47 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.860474865809762e-13, 8.10902733849872e-12, 1.1464075522216177e-10, 1.3859330350030064e-10, 8.09492379269354e-14]",False
3,1674593932.7202072,5.605171275041565e-13,8.068937011607158e-12,1.1464292015705979e-10,1.3916673369251953e-10,7.817486621149866e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7925,2:58:50 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[5.605171275041565e-13, 8.068937011607158e-12, 1.1464292015705979e-10, 1.3916673369251953e-10, 7.817486621149866e-14]",True
4,1674593935.30482,4.61994917148878e-13,8.190210662450959e-12,1.1443535008481831e-10,1.3914634722222985e-10,8.10181864088419e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7926,2:58:52 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.61994917148878e-13, 8.190210662450959e-12, 1.1443535008481831e-10, 1.3914634722222985e-10, 8.10181864088419e-14]",False
5,1674593937.870862,4.890800221410418e-13,8.289639807923521e-12,1.1502321317635733e-10,1.391023823904547e-10,9.301521548430933e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7927,2:58:55 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.890800221410418e-13, 8.289639807923521e-12, 1.1502321317635733e-10, 1.391023823904547e-10, 9.301521548430933e-14]",True
6,1674593940.897466,4.920431466784447e-13,8.378554794408188e-12,1.1464870719457565e-10,1.3864609460512156e-10,8.437922669607412e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7928,2:58:58 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.920431466784447e-13, 8.378554794408188e-12, 1.1464870719457565e-10, 1.3864609460512156e-10, 8.437922669607412e-14]",False
7,1674593943.406705,4.2604876332626163e-13,7.881845349999583e-12,1.1516885362050644e-10,1.394240278784764e-10,8.845749382545981e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7929,2:59:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.2604876332626163e-13, 7.881845349999583e-12, 1.1516885362050644e-10, 1.394240278784764e-10, 8.845749382545981e-14]",True
8,1674593945.9122891,4.3159911950786667e-13,8.053450267775375e-12,1.1439598573970144e-10,1.3935839981993325e-10,7.979397307830705e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7930,2:59:03 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.3159911950786667e-13, 8.053450267775375e-12, 1.1439598573970144e-10, 1.3935839981993325e-10, 7.979397307830705e-14]",False
9,1674593948.4900959,3.7913484743183623e-13,8.452266664349395e-12,1.1498624274963731e-10,1.3955687994116062e-10,7.354594635123474e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7931,2:59:05 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.7913484743183623e-13, 8.452266664349395e-12, 1.1498624274963731e-10, 1.3955687994116062e-10, 7.354594635123474e-14]",True
10,1674593951.0349832,3.957186141267943e-13,8.497858666745017e-12,1.1480006528730158e-10,1.399283605652002e-10,7.979307183525117e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7932,2:59:08 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[3.957186141267943e-13, 8.497858666745017e-12, 1.1480006528730158e-10, 1.399283605652002e-10, 7.979307183525117e-14]",False
11,1674593954.0560167,4.1152996808901943e-13,8.288870458061925e-12,1.1474910605047128e-10,1.3938983300931795e-10,8.743469137725488e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),7933,2:59:11 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[4.1152996808901943e-13, 8.288870458061925e-12, 1.1474910605047128e-10, 1.3938983300931795e-10, 8.743469137725488e-14]",True
