,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
TAI_DUR_a1,,,34.96906194659635,3.635555865509073,10.396492393937189,NaN,1,34.96906194659635,3.635555865509073,10.396492393937189,0.0698657820121501,0.002199554370445002,1.4541049041079364,0.18064325449365057,1.0139525805081464,0.041299206092311566,0.07854103459282734,0.0009335733592554836,NaN,0,0,0,0
TAI_MRM6_a3,,,767.1162645204515,11.915852551635398,1.5533307143584516,81.88675017045645,0.816328479458559,635.4569937049355,9.747932413432482,1.5340034825328843,0.8025972099166275,0.013561329734027556,0.627687822608969,0.01291459928820241,15.983247077660105,1.9734072324398013,3.5079463305067953,0.016004702912895963,1.73883677778129e-05,46.157133330289945,36.09814507201085,919.1919150717705,54.640197422212495
TAI_DUR_a2,,,32.50619174433465,0.7215199534081768,2.219638520202623,NaN,1,32.50619174433465,0.7215199534081768,2.219638520202623,0.06309944013336834,0.002379470657340639,1.2937967384016913,0.02283638409934784,0.8389856010769683,0.028866130763624372,0.06510562463489852,0.001009184708664177,NaN,0,0,0,0
TAI_MRM20_a2,,,300.2570812021685,11.478927534031136,3.8230330782114574,34.59083925647043,0.564190470799481,170.58057050190354,6.560534192127434,3.8460031953370817,0.025094568046919775,0.0013494042636018006,0.5020419302345307,0.022275046582398414,0.3808698133324578,0.019595839954296597,0.13387742585836238,0.0009006168602340945,1.1079508879642499e-06,22.649531057309375,453.1265200364459,343.7605560588235,129.13426326587415
TAI_MRM21_a1,,,394.5420101691124,11.259563886920391,2.8538314290268376,45.49863336687341,0.6752870334011876,269.4260431772406,7.592601867495523,2.8180653131964553,0.035576110745334524,0.0012583497522521945,0.08377322115615116,0.0032449190785089005,0.27042201452509274,0.01193380150320791,0.08251292197360698,0.0008400888763876131,1.6354931018532353e-06,21.752528766414223,51.22199602139853,165.34586065735647,33.78969783144288
TAI_MRM21_a2,empty?,,-12.855793080760519,18322762.93355832,-142525341.0540611,39.16181550826376,0.6665026444916398,-8.570439192538627,12220851.878500538,-142593064.41541454,-7.048600342979282e-05,0.00026286905781837644,9.529099668447762e-05,0.0024930137811412715,-0.0001912628181476734,0.0010900179564598306,2.2171427246385492e-06,3.164900616801451,1.8865089334420309e-06,-0.03736319620877042,0.050511818415094584,-0.10138452819234983,-0.025492918881223195
TAI_MRM24_a1,empty?,,0.005766392776136589,2730.4333599847046,47350804.32405197,56.872234567982645,0.746902546353845,0.004315983102580973,2043.6524488236194,47350798.19013906,0.17918923007664025,0.0036495000634769637,0.000690689878970895,0.003283150738853387,1.3783710367851774,0.053467247284162675,4.207993312904796e-06,1.9925176227629287,3.0095027827685904e-06,59.54114118206438,0.22950298731257365,458.00623434451376,59.595074384082835
TAI_MRM35_a1,,,191.4332502626728,6.471083831648891,3.380334305962873,31.312312363247788,0.5668246196464315,109.76647082350682,3.689312185674725,3.3610556648093017,0.09671820922401242,0.0029899216852523718,0.014969927454240944,0.0027508678767110325,0.7013077899453636,0.022912927060669205,0.060385240378559475,0.0009677963730324937,8.812575089049598e-07,109.75022424965584,16.987006979199986,795.8034772569488,113.74217088976783
TAI_MRM35_a4,,,354.17914155329487,99.83294858186309,28.187133817094306,64.4975059018055,0.7730707985288106,275.9916357709602,77.26300428039607,27.99469051464844,0.12569788047592817,0.03651979179341834,0.03319695201821263,0.04361020954274827,0.4738517486544142,0.12784948779425517,0.20448904717700708,0.0010624271087345258,5.2782447362504695e-06,23.81433350610808,6.2893923410218555,89.77449366833005,25.29234070624822
TAI_MRM36_a3,,,549.9011148696713,448.28194855309846,81.52046548575247,32.57238446526026,0.5750122203134763,325.6377851682718,270.67767865386037,83.12231902510605,0.011635476392712967,0.008384921752435664,0.009147369406733724,0.03393426255312791,0.250517836546438,0.07021979229865458,0.025427485492496536,0.0010611725237555714,8.816791498600799e-07,13.196950834733343,10.374941279019001,284.1371904804537,15.63506203530281
TAI_DUR_a4,,,44.239115773270406,5.120375551267079,11.574317121321958,NaN,1,44.239115773270406,5.120375551267079,11.574317121321958,0.03619660158074078,0.009906656278341934,0.6205014087334115,0.0786895687788663,0.7512566804568495,0.12196962467032171,0.044033486351441206,0.0009025003208585119,NaN,0,0,0,0
TAI_MG_G1_a2,,,87.6557287505821,34.30972186874345,39.14144843444201,43.97401244184008,0.6589606710150415,58.03381508706727,22.51358514735689,38.793908540357194,0.02209163388346621,0.013773179434091424,0.0977575389186427,0.04279410845222768,0.281280597246697,0.07238430184618015,0.014317705310442028,0.0017946250169679132,2.0963736220604097e-06,10.538023208741562,46.631734863445864,134.17484091897794,21.49648090165134
TAI_MG_G1_a3,,,45.80853042307242,21.84786651755593,47.69388215639373,39.0584954827854,0.6262817101227173,28.801393190292952,13.684473690276176,47.51323521005334,0.04182232903643426,0.020218022961778274,0.11741231772721418,0.056795588789490495,0.35273642005648476,0.09075036779205814,0.010900710437895776,0.003632345906580496,2.18855570178665e-06,19.109556591268007,53.64831136414003,161.1731516673415,31.716909761840913
TAI_397_a1,temp only reached 750C during the re-extract,,666.0290919097627,130.79407838278865,19.637892694409416,38.05984864789404,0.6053303102332181,410.99598406991186,80.21512187824663,19.517251989645175,0.05477375835368861,0.018414658883605346,0.4776773207068923,0.11531815177541468,1.8612794574276192,0.4464360754646093,0.3848681578905056,0.0018237200746879783,1.3547716286093552e-06,40.4302520048436,352.588813213647,1373.8695276178642,123.28862311005062
