"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
TAI_FCT_z1,,1.0,310.8,319.6,141.3,148.3,40.5,50.7
TAI_MRM1_z1,mod,1.0,119.3,119.5,66.0,57.4,24.5,25.6
TAI_MRM1_z2,low eu,1.0,109.8,109.7,69.6,57.0,27.5,26.6
TAI_MRM1_z3,low eu,1.0,130.0,132.2,78.5,96.0,37.3,40.3
TAI_MRM2_z1,mod-high eu,1.0,251.0,250.5,77.3,74.0,62.8,66.4
TAI_MRM2_z2,low eu,1.0,114.8,113.3,52.0,48.0,26.3,29.1
TAI_MRM4_z1,low eu,1.0,245.4,245.3,77.4,80.2,34.7,56.0
TAI_MRM4_z2,low eu,1.0,121.0,118.8,56.5,53.5,22.3,27.6
TAI_FCT_z2,,1.0,340.1,334.8,88.7,81.6,21.0,22.0
TAI_MRM4_z3,mod eu,3.0,231.0,227.5,56.1,54.0,29.6,37.9
TAI_MRM4_z4,mod-high eu,1.0,182.2,182.2,50.0,46.0,30.3,34.1
TAI_MRM5_z1,low eu,1.0,140.0,145.0,68.0,54.0,19.2,25.8
TAI_MRM5_z2,mod-high eu,1.0,179.5,177.7,61.2,68.0,26.3,30.8
TAI_MRM5_z3,low eu,1.0,205.3,206.3,94.5,95.1,33.1,56.1
TAI_MRM6_z1,low eu,1.0,266.0,266.0,97.0,96.0,34.2,63.1
TAI_MRM6_z2,low eu,1.0,234.7,235.4,86.3,109.2,24.9,44.3
TAI_FCT_z3,,1.0,313.0,312.9,235.2,225.0,70.0,87.1
TAI_MRM9_z1,low eu,1.0,208.4,202.8,93.5,80.0,37.0,32.0
TAI_MRM9_z2,low eu,1.0,210.6,213.8,77.7,70.0,39.7,48.7
TAI_MRM9_z3,low eu,1.0,195.8,201.4,100.6,81.4,46.8,53.3
TAI_MRM9_z4,low eu,1.0,294.3,295.4,73.6,95.6,48.0,57.2
NSVG_DKR1_z1,low eu,1.0,153.5,153.5,68.7,55.0,23.2,35.2
NSVG_DKR1_z2,low-mod eu,1.0,182.2,176.8,100.5,81.0,45.0,49.3
NSVG_DKR1_z3,low eu,1.0,89.5,93.0,59.0,61.0,24.7,26.8
TAI_FCT_z4,,1.0,261.5,261.5,129.5,109.3,55.0,57.9
NSVG_DKR1_z4,one tip is rounded,3.0,233.4,233.0,66.7,47.0,23.1,23.6
TAI_MRM35_z1,low eu,1.0,199.6,200.4,90.0,57.0,45.5,63.0
TAI_MRM35_z2,low eu,1.0,175.0,178.0,81.0,73.0,33.7,44.9
TAI_MRM35_z3,low eu,1.0,213.3,213.3,83.5,70.0,58.6,66.7
TAI_MRM35_z4,low-mod eu,1.0,187.6,187.8,82.3,65.3,51.0,61.9
TAI_MRM34_z11,low eu,1.0,180.7,177.6,85.5,117.8,38.8,30.1
