count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1699569771.7831786,1.1005918398865333e-12,1.138386693938509e-11,1.3783080232698808e-10,6.963601245114914e-13,9.112805318288106e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2083,4:42:47 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1005918398865333e-12, 1.138386693938509e-11, 1.3783080232698808e-10, 6.963601245114914e-13, 9.112805318288106e-14]",True
2,1699569772.315081,1.1428515469050216e-12,1.1260835146298387e-11,1.3795926900872502e-10,6.670151085109988e-13,8.395037730301105e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2084,4:42:49 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1428515469050216e-12, 1.1260835146298387e-11, 1.3795926900872502e-10, 6.670151085109988e-13, 8.395037730301105e-14]",False
3,1699569774.8333776,1.1649531166113558e-12,1.1210196833311148e-11,1.3798653886176737e-10,6.346489089467666e-13,8.76300239511553e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2085,4:42:52 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1649531166113558e-12, 1.1210196833311148e-11, 1.3798653886176737e-10, 6.346489089467666e-13, 8.76300239511553e-14]",True
4,1699569777.8643131,1.0002312563275884e-12,1.1322059609297774e-11,1.3853557190302013e-10,6.84847252692411e-13,8.917347383511492e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2086,4:42:54 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0002312563275884e-12, 1.1322059609297774e-11, 1.3853557190302013e-10, 6.84847252692411e-13, 8.917347383511492e-14]",False
5,1699569780.388657,1.0230918759748797e-12,1.1159654797476826e-11,1.3874625059973056e-10,6.734688219427187e-13,8.940850176105547e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2087,4:42:57 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0230918759748797e-12, 1.1159654797476826e-11, 1.3874625059973056e-10, 6.734688219427187e-13, 8.940850176105547e-14]",True
6,1699569782.9270594,1.018773932402739e-12,1.1289771201239418e-11,1.382787079284853e-10,7.234577520387475e-13,8.871352816849226e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2088,4:43:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.018773932402739e-12, 1.1289771201239418e-11, 1.382787079284853e-10, 7.234577520387475e-13, 8.871352816849226e-14]",False
7,1699569785.448298,8.991108638861656e-13,1.1262602829520407e-11,1.37441738545796e-10,7.083450579564721e-13,8.736387264660084e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2089,4:43:02 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.991108638861656e-13, 1.1262602829520407e-11, 1.37441738545796e-10, 7.083450579564721e-13, 8.736387264660084e-14]",True
8,1699569788.0453143,8.783550059163203e-13,1.1270725672196669e-11,1.3781188690220603e-10,6.534449630696271e-13,9.036840015446551e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2090,4:43:05 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.783550059163203e-13, 1.1270725672196669e-11, 1.3781188690220603e-10, 6.534449630696271e-13, 9.036840015446551e-14]",False
9,1699569790.6070282,8.732001124771294e-13,1.1321635469407898e-11,1.3835248224847163e-10,6.810741749220528e-13,8.944331142705583e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2091,4:43:08 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.732001124771294e-13, 1.1321635469407898e-11, 1.3835248224847163e-10, 6.810741749220528e-13, 8.944331142705583e-14]",True
10,1699569793.1652725,8.930694183305332e-13,1.1423272050503641e-11,1.3901019224604738e-10,7.380377233835722e-13,8.817330410726062e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2092,4:43:10 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.930694183305332e-13, 1.1423272050503641e-11, 1.3901019224604738e-10, 7.380377233835722e-13, 8.817330410726062e-14]",False
11,1699569795.7680721,8.565602112146908e-13,1.1143999785467873e-11,1.3943955712303335e-10,6.781184771695314e-13,8.731443980379908e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2093,4:43:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.565602112146908e-13, 1.1143999785467873e-11, 1.3943955712303335e-10, 6.781184771695314e-13, 8.731443980379908e-14]",True
12,1699569798.8779068,8.134296188011536e-13,1.114332411067398e-11,1.3852129165936589e-10,7.191047345263268e-13,8.955591259893203e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2094,4:43:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.134296188011536e-13, 1.114332411067398e-11, 1.3852129165936589e-10, 7.191047345263268e-13, 8.955591259893203e-14]",False
13,1699569801.398304,8.236304975713094e-13,1.1207394387535707e-11,1.3898671102907656e-10,7.056820405804132e-13,8.683796683030959e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),2095,4:43:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.236304975713094e-13, 1.1207394387535707e-11, 1.3898671102907656e-10, 7.056820405804132e-13, 8.683796683030959e-14]",True
