,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_11092023,lb,0.004001787,5.82E-05,9514,1491,,1699551337,10000-5611-19028-001.csv
hb01_11092023,hb,0.003892774,8.35E-05,9515,1491,,1699552278,10000-5612-19030-001.csv
std1492,std,1.194015244,0.002500094,9516,1492,,1699552880,10000-5613-19032-001.csv
WRG_DUR1,ap,0.477542202,0.001100157,9517,1492,,1699553577,10000-5614-19034-001.csv
WRG_DUR2,ap,0.184994888,0.000583653,9518,1492,bright flash at beginning of lasing,1699554282,10000-5615-19036-001.csv
WRG_DUR3,ap,0.275097676,0.000769812,9519,1492,bright flash at beginning of lasing,1699555437,10000-5616-19038-001.csv
WRG_DUR4,ap,0.10979323,0.00039802,9521,1492,,1699557316,10000-5618-19042-001.csv
std1493,std,1.213404457,0.002400361,9522,1493,,1699560933,10000-5619-19044-001.csv
WRG_DUR5,ap,0.381801176,0.000911699,9523,1493,very breif flash at beginning,1699561668,10000-5620-19046-001.csv
WRG_DUR6,ap,0.004675271,9.40E-05,9524,1493,,1699562457,10000-5621-19048-001.csv
WRG_DUR7,ap,0.653924537,0.001451256,9527,1493,,1699564955,10000-5624-19054-001.csv
WRG_DUR8,ap,0.245652781,0.000778063,9528,1493,bright flash at beginning,1699565672,10000-5625-19056-001.csv
std1494,std,1.19255196,0.002197871,9529,1494,,1699566162,10000-5626-19058-001.csv
