count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1723322023.6277888,7.908405375879612e-13,6.008863979306556e-12,1.1001005661981367e-10,2.8766794718873556e-13,-7.673209127551789e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1295,3:33:40 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.908405375879612e-13, 6.008863979306556e-12, 1.1001005661981367e-10, 2.8766794718873556e-13, -7.673209127551789e-14]",True
2,1723322024.2448692,7.70414656549312e-13,5.88963643480267e-12,1.0983027681765734e-10,3.0427044347622334e-13,-7.871532066569195e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1296,3:33:42 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.70414656549312e-13, 5.88963643480267e-12, 1.0983027681765734e-10, 3.0427044347622334e-13, -7.871532066569195e-14]",False
3,1723322026.8147352,7.796170935388258e-13,5.86013919681716e-12,1.1049930415119036e-10,2.8235901572588873e-13,-7.756834996368311e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1297,3:33:45 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.796170935388258e-13, 5.86013919681716e-12, 1.1049930415119036e-10, 2.8235901572588873e-13, -7.756834996368311e-14]",True
4,1723322029.3415256,7.244850878072862e-13,5.9588332532167776e-12,1.1027926488660356e-10,3.0273185217324916e-13,-7.713033906226255e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1298,3:33:47 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.244850878072862e-13, 5.9588332532167776e-12, 1.1027926488660356e-10, 3.0273185217324916e-13, -7.713033906226255e-14]",False
5,1723322031.8670902,6.49103980201321e-13,5.940191914743931e-12,1.1090704743477175e-10,2.9646185679965686e-13,-7.930533671169498e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1299,3:33:50 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.49103980201321e-13, 5.940191914743931e-12, 1.1090704743477175e-10, 2.9646185679965686e-13, -7.930533671169498e-14]",True
6,1723322034.3892152,7.098195729110524e-13,5.893674871054744e-12,1.1115496717506446e-10,3.107009549814521e-13,-7.647908592230482e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1300,3:33:52 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.098195729110524e-13, 5.893674871054744e-12, 1.1115496717506446e-10, 3.107009549814521e-13, -7.647908592230482e-14]",False
7,1723322036.937832,6.296247702895774e-13,5.927684558482138e-12,1.1093091029090729e-10,3.069485312624798e-13,-7.799138532259622e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1301,3:33:55 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.296247702895774e-13, 5.927684558482138e-12, 1.1093091029090729e-10, 3.069485312624798e-13, -7.799138532259622e-14]",True
8,1723322040.1375086,6.294689162272826e-13,5.895952129297832e-12,1.1057164212013859e-10,2.668412366069184e-13,-7.605815798136448e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1302,3:33:58 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.294689162272826e-13, 5.895952129297832e-12, 1.1057164212013859e-10, 2.668412366069184e-13, -7.605815798136448e-14]",False
9,1723322042.2021685,6.347819405533306e-13,5.7592923485838554e-12,1.1168051206045249e-10,3.0866509435206746e-13,-8.356667815416843e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1303,3:34:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.347819405533306e-13, 5.7592923485838554e-12, 1.1168051206045249e-10, 3.0866509435206746e-13, -8.356667815416843e-14]",True
10,1723322044.7506223,6.487475487371164e-13,6.020433283848714e-12,1.1067755045779393e-10,2.96620692417926e-13,-7.966058910603702e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),1304,3:34:03 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.487475487371164e-13, 6.020433283848714e-12, 1.1067755045779393e-10, 2.96620692417926e-13, -7.966058910603702e-14]",False
