"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
Durango_A,,DUR,,,,,,
THERMO-04A,"whole euhedral grain with two tips, no visible inclusions, smooth surface",1,271,272,138,129,,
THERMO-04B,"Euhedral, possibly two small inclusions. One tip is chipped but still present.",1,332,332,124,105,,
THERMO-04C,Whole euhedral grain. Surface scuffs and possible staining. Tips appear a bit rounded,1,281,280,144,158,,
THERMO-04D,Euhedral but rounded tips. Appears free from major surface blemishes or inclusions. ,1,191,186,119,107,,
THERMO_04E,Euhedral with one tip broken off. Surface somewhat scuffed. No obvious inclusions.,1.5,250,248,99,111,,
THERMO_04F,Euhedral although both tips appear rounded. Surface is somewhat scuffed and presence of small inclusion. ,1,154,155,71,76,,
THERMO_11A,"Whole grain, no visible inclusions, partially abraided surface",1,285,287,132,122,,
Durango_B,,DUR,,,,,,
THERMO_11B,"Broken grain, missing one edge, no visible inclusions, abraided surface",1.5,298,297,103,112,,
THERMO-11C,"Whole grain, no visible inclusions, partially abraided surface",1,160,160,108,85,,
THERMO-11D,"Whole grain, no visible inclusions, partially abraided surface",1,171,172,95,76,,
THERMO_11E,"Whole grain, no visible inclusions, partially abraided surface",1,284,280,118,96,,
THERMO_11F,"Broken grain, missing one edge, no visible inclusions, abraided surface",1.5,233,239,148,126,,
THERMO_11G,"Broken grain, missing one edge, no visible inclusions, abraided surface",1.5,171,175,99,91,,
THERMO_05A,Euhedral with both terminations present. No inclusions noted. Fracture runs the width of grain. ,1,201,195,113,123,,
THERMO_05B,"Euhedral with both terminations present, although in one view appears chipped. No fractures or scuffing. Small inclusion likely present, could be little scuff. ",1,171,171,77,84,,
Durango_C,"Euhedral with both rounded terminations present. Scuffing/chips on surface that may be inclusions? Visable in image 1, may want to have Andrea look.",DUR,,,,,,
THERMO_05C,,1,179,177,88,102,,
THERMO_05D,Euhedral grain but one tip is either broken off or very rounded. Recorded as broken off in spreadsheet. No noticeable inclusions but some chipping on surface. ,1.5,221,223,98,87,,
THERMO_05E,Euhedral with both terminations present. Terminations are better seen in image 2. Inclusion visable in image 1. ,1,173,165,93,81,,
THERMO_05F,Euhedral with both rounded terminations present. Small inclusion in center visable in image 1. Surface a bit scuffed and scratched. ,1,172,174,93,79,,
THERMO_13A,"Whole grain, no visible inclusions, partially abraided surface",1,163,165,102,90,,
THERMO_13B,"Whole grain, no visible inclusions, partially abraided surface",1,220,218,97,91,,
THERMO_13C,"Whole grain, no visible inclusions, partially abraided surface",1,318,316,219,207,,
Durango_D,,DUR,,,,,,
