,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb01_08082024,lb,0.119160729,0.000487408,10349,1646,,1723127531,10000-6442-20698-001.csv
lb02_08082024,lb,0.00338808,7.27E-05,10350,1646,,1723128971,10000-6443-20700-001.csv
STD1647,std,1.218154449,0.002250664,10352,1647,,1723130994,10000-6445-20704-001.csv
hb01_08082024,std,0.003400077,7.81E-05,10353,1647,,1723131866,10000-6446-20706-001.csv
Durango_A,ap,0.065611922,0.000342289,10354,1647,"wrong watlow input, c=1,400C",1723132809,10000-6447-20708-001.csv
THERMO-04A,ap,0.177197001,0.000474942,10355,1647,temp fluctuated between 800-1000C,1723133647,10000-6448-20710-001.csv
THERMO-04B,ap,0.224891966,0.000503715,10356,1647,,1723134534,10000-6449-20712-001.csv
THERMO-04C,ap,0.227176244,0.000681215,10357,1647,,1723135429,10000-6450-20714-001.csv
THERMO-04D,ap,0.069909658,0.000337686,10358,1647,,1723136306,10000-6451-20716-001.csv
STD1648,std,1.213172839,0.002382433,10359,1648,,1723136974,10000-6452-20718-001.csv
THERMO_04E,ap,0.041720596,0.000284919,10360,1648,,1723138139,10000-6453-20720-001.csv
THERMO_04F,ap,0.03172471,0.000236486,10361,1648,,1723139273,10000-6454-20722-001.csv
THERMO_11A,ap,0.325425621,0.000859374,10362,1648,,1723140139,10000-6455-20724-001.csv
Durango_B,ap,0.33445885,0.00091482,10363,1648,,1723141026,10000-6456-20726-001.csv
THERMO_11B,ap,9.456971673,0.011419678,10364,1648,,1723142054,10000-6457-20728-001.csv
STD1649,std,1.22200526,0.001913036,10365,1649,,1723143124,10000-6458-20730-001.csv
THERMO-11C,ap,0.118134095,0.000438062,10366,1649,temp range 800-1200C,1723143977,10000-6459-20732-001.csv
THERMO-11D,ap,0.077703519,0.000372678,10367,1649,,1723144769,10000-6460-20734-001.csv
THERMO_11E,ap,0.327430285,0.000813841,10368,1649,,1723145584,10000-6461-20736-001.csv
THERMO_11F,ap,0.417884868,0.000923288,10369,1649,,1723146348,10000-6462-20738-001.csv
THERMO_11G,ap,0.096051631,0.000514702,10370,1649,,1723147099,10000-6463-20740-001.csv
THERMO_05A,ap,0.147903694,0.000374134,10371,1649,ran at 1200C,1723147831,10000-6464-20742-001.csv
std1650,std,1.215859403,0.001843456,10372,1650,,1723148487,10000-6465-20744-001.csv
THERMO_05B,ap,0.021064455,0.000242145,10373,1650,,1723149400,10000-6466-20746-001.csv
Durango_C,ap,0.218720912,0.00059144,10374,1650,,1723150199,10000-6467-20748-001.csv
THERMO_05C,ap,0.011990412,0.000164192,10375,1650,,1723151040,10000-6468-20750-001.csv
THERMO_05D,ap,0.027072223,0.000192088,10376,1650,,1723151955,10000-6469-20752-001.csv
THERMO_05E,ap,0.037478448,0.000235654,10377,1650,,1723152775,10000-6470-20754-001.csv
THERMO_05F,ap,0.066540153,0.000275607,10378,1650,,1723153526,10000-6471-20756-001.csv
STD1651,std,1.210109051,0.002922689,10379,1651,,1723154076,10000-6472-20758-001.csv
THERMO_13A,ap,0.169022473,0.000621955,10380,1651,,1723154822,10000-6473-20760-001.csv
THERMO_13B,ap,0.224491173,0.000573166,10381,1651,,1723155654,10000-6474-20762-001.csv
THERMO_13C,ap,1.489737395,0.002722593,10382,1651,,1723156518,10000-6475-20764-001.csv
Durango_D,ap,0.041243412,0.000227004,10383,1651,,1723157380,10000-6476-20766-001.csv
THERMO_13D,ap,0.003614376,7.39E-05,10384,1651,,1723158254,10000-6477-20768-001.csv
THERMO_13E,ap,0.097249786,0.000370768,10385,1651,,1723159022,10000-6478-20770-001.csv
STD1653,std,1.211904106,0.002732871,10386,1652,,1723159634,10000-6479-20772-001.csv
THERMO_13F,ap,0.068390521,0.000451582,10387,1652,,1723160339,10000-6480-20774-001.csv
STD1653,std,1.222316734,0.001925728,10388,1653,,1723161375,10000-6481-20776-001.csv
Ib01_08092024,lb,0.003171044,7.33E-05,10389,1653,,1723219528,10000-6482-20778-001.csv
hb01_08092024,hb,0.003381804,5.69E-05,10390,1653,,1723220865,10000-6483-20780-001.csv
STD1654,std,1.215793807,0.00224815,10391,1654,,1723221397,10000-6484-20782-001.csv
THERMO_06A,ap,0.133529742,0.000493279,10392,1654,,1723222119,10000-6485-20784-001.csv
THERMO_06B,ap,0.032498598,0.000150585,10393,1654,,1723223019,10000-6486-20786-001.csv
THERMO_06C,ap,0.007137186,0.000109765,10394,1654,,1723223690,10000-6487-20788-001.csv
THERMO_06D,ap,0.003407434,5.47E-05,10395,1654,,1723224490,10000-6488-20790-001.csv
Durango_E,ap,0.079048136,0.000375023,10396,1654,,1723225189,10000-6489-20792-001.csv
THERMO_06E,ap,0.012274658,0.000137142,10397,1654,,1723225863,10000-6490-20794-001.csv
STD1655,std,1.206835547,0.001819057,10398,1655,,1723226405,10000-6491-20796-001.csv
THERMO_06F,ap,0.003737536,7.27E-05,10399,1655,,1723227240,10000-6492-20798-001.csv
GTHERMO_03A,ap,0.795965067,0.001535562,10400,1655,,1723227966,10000-6493-20800-001.csv
GTHERMO_03B,ap,0.681430245,0.001646232,10401,1655,,1723228688,10000-6494-20802-001.csv
GTHERMO_03C,ap,0.286988563,0.00065499,10402,1655,,1723229426,10000-6495-20804-001.csv
GTHERMO_03D,ap,0.264345664,0.000657915,10403,1655,,1723230110,10000-6496-20806-001.csv
GTHERMO_03E,ap,0.198447935,0.000534034,10404,1655,,1723231056,10000-6497-20808-001.csv
STD1656,std,1.212295671,0.001782541,10405,1656,,1723231631,10000-6498-20810-001.csv
GTHERMO_03F,ap,0.210521895,0.000578721,10406,1656,,1723232439,10000-6499-20812-001.csv
Durango_F,ap,0.097255672,0.000473276,10407,1656,,1723233336,10000-6500-20814-001.csv
ZB22_01A,ap,0.196025137,0.000650206,10408,1656,,1723234169,10000-6501-20816-001.csv
ZB22_01B,ap,0.202892446,0.000672004,10409,1656,,1723234873,10000-6502-20818-001.csv
ZB22_01C,ap,0.03015404,0.000201674,10410,1656,,1723235619,10000-6503-20820-001.csv
