count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1719340518.5041203,9.841280351405302e-13,6.199638892534498e-12,1.1177268832707199e-10,8.204361127105153e-13,-7.883471842993692e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3780,1:35:14 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[9.841280351405302e-13, 6.199638892534498e-12, 1.1177268832707199e-10, 8.204361127105153e-13, -7.883471842993692e-14]",False
2,1719340518.9628046,9.401171247730433e-13,6.003352329142508e-12,1.1149129536258684e-10,6.916391829918378e-13,-7.562295245306522e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3781,1:35:16 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[9.401171247730433e-13, 6.003352329142508e-12, 1.1149129536258684e-10, 6.916391829918378e-13, -7.562295245306522e-14]",True
3,1719340521.497601,8.458228692095893e-13,5.9923442076448286e-12,1.119383960523912e-10,7.565331282440024e-13,-8.08603604538459e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3782,1:35:19 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[8.458228692095893e-13, 5.9923442076448286e-12, 1.119383960523912e-10, 7.565331282440024e-13, -8.08603604538459e-14]",False
4,1719340524.0230327,8.816636656860943e-13,5.894149751606292e-12,1.1274847722120285e-10,7.269645497555433e-13,-7.65944382571937e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3783,1:35:22 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[8.816636656860943e-13, 5.894149751606292e-12, 1.1274847722120285e-10, 7.269645497555433e-13, -7.65944382571937e-14]",True
5,1719340526.5496135,7.452420299793039e-13,6.030901472664496e-12,1.1211057082682885e-10,7.729235003764434e-13,-8.184621193675981e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3784,1:35:24 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.452420299793039e-13, 6.030901472664496e-12, 1.1211057082682885e-10, 7.729235003764434e-13, -8.184621193675981e-14]",False
6,1719340529.1456978,7.638221652395139e-13,6.151987773372891e-12,1.124578485889316e-10,7.754772843836244e-13,-7.559056868942579e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3785,1:35:27 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.638221652395139e-13, 6.151987773372891e-12, 1.124578485889316e-10, 7.754772843836244e-13, -7.559056868942579e-14]",True
7,1719340531.7369852,7.178777971378336e-13,5.982562535644664e-12,1.1258089599452958e-10,7.884237425252738e-13,-8.034183398859113e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3786,1:35:29 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.178777971378336e-13, 5.982562535644664e-12, 1.1258089599452958e-10, 7.884237425252738e-13, -8.034183398859113e-14]",False
8,1719340534.267404,7.202481883475387e-13,6.021609860046295e-12,1.1298071506127272e-10,7.920023144258881e-13,-8.128372107341075e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3787,1:35:32 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.202481883475387e-13, 6.021609860046295e-12, 1.1298071506127272e-10, 7.920023144258881e-13, -8.128372107341075e-14]",True
9,1719340536.8362226,6.819802968877076e-13,6.069868999786232e-12,1.1291688417625068e-10,7.874956654656262e-13,-7.904527726809718e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3788,1:35:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.819802968877076e-13, 6.069868999786232e-12, 1.1291688417625068e-10, 7.874956654656262e-13, -7.904527726809718e-14]",False
10,1719340539.3758228,6.356514164855553e-13,6.016337601721933e-12,1.1246917286378277e-10,8.145907993278856e-13,-7.902118087481369e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3789,1:35:37 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.356514164855553e-13, 6.016337601721933e-12, 1.1246917286378277e-10, 8.145907993278856e-13, -7.902118087481369e-14]",True
