,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb01_06182024,lb,0.0033878224145830185,7.934496100708374e-05,10055,1587,,1718725018.0501332,10000-6150-20110-001.csv
hb02_06182024,hb,0.004055457366427445,6.697055983836661e-05,10057,1587,,1718731310.5735526,10000-6152-20114-001.csv
std1588,std,1.2130150645455993,0.0020341178314953186,10058,1588,,1718731989.3057144,10000-6153-20116-001.csv
EM_FCTVV_Z1,zirc,0.7190564198126408,0.001589860556115014,10059,1588,,1718733760.703793,10000-6154-20118-001.csv
EM_FCTVV_Z1_re1,zirc,0.012221820679514559,0.0001242707925280971,10060,1588,,1718735827.7424474,10000-6155-20120-001.csv
EM_23UM01_Z1,zirc,1.417274332979981,0.0020714937070579853,10061,1588,,1718738223.980565,10000-6156-20122-001.csv
EM_23UM01_Z1_re1,zirc,0.7072836025197116,0.0013822043377475926,10062,1588,,1718739761.2716813,10000-6157-20124-001.csv
std1589,std,1.217952269187052,0.002359198937157276,10063,1589,,1718740530.0237086,10000-6158-20126-001.csv
EM_23UM01_Z1_re2,zirc,0.007598239764194059,0.00010660327935943372,10064,1589,,1718742203.5267684,10000-6159-20128-001.csv
EM_23UM01_Z2,zirc,4.988590551849377,0.006601443265527583,10065,1589,,1718744226.97005,10000-6160-20130-001.csv
EM_23UM01_Z2_re1,zirc,1.270901088121081,0.002456688752468527,10066,1589,,1718745759.4044461,10000-6161-20132-001.csv
EM_23UM01_Z2_re2,zirc,0.2659490927423269,0.0008632364842879201,10067,1589,,1718747278.6890273,10000-6162-20134-001.csv
EM_23UM01_Z2_re3,zirc,0.32528686064441464,0.0007829563678006919,10068,1589,,1718748744.0728414,10000-6163-20136-001.csv
lb01_06192024,lb,0.026621123155351215,0.0009265764306628047,10070,1590,,1718807897.1275914,10000-6165-20140-001.csv
lb02_06192024,lb,0.010546230813793031,0.00014118768436461974,10071,1590,,1718808506.1500332,10000-6166-20142-001.csv
lb03_06192024,lb,0.003366696575001234,0.00010012806217809201,10072,1590,,1718809105.140439,10000-6167-20144-001.csv
hb01_06192024,hb,0.003460687725936484,6.425493103552134e-05,10073,1590,,1718810637.3123071,10000-6168-20146-001.csv
std1591,std,1.2067762734231544,0.0019642007003599997,10074,1591,,1718811210.8093724,10000-6169-20148-001.csv
EM_23UM01_Z3,zirc,6.59928585432628,0.011864147878038642,10075,1591,,1718812815.2209115,10000-6170-20150-001.csv
EM_23UM01_Z3_re1,zirc,0.04534052160920808,0.00023880017364705898,10076,1591,,1718814398.7701926,10000-6171-20152-001.csv
EM_23UM07_Z1,zirc,2.6473259023831104,0.004275286797354565,10077,1591,,1718816031.4276204,10000-6172-20154-001.csv
EM_23UM07_Z1_re1,zirc,0.10377140566385977,0.00030752068687358084,10078,1591,,1718817594.361267,10000-6173-20156-001.csv
EM_23UM07_Z1_re2,zirc,0.04852875777339618,0.0003500703424892426,10079,1591,,1718821644.4291275,10000-6174-20158-001.csv
EM_23UM07_Z2,zirc,6.927266350303684,0.008313015167537744,10080,1591,,1718823204.829297,10000-6175-20160-001.csv
std1592,std,1.2145662377823268,0.00195463627856047,10081,1592,,1718823870.6277027,10000-6176-20162-001.csv
EM_23UM07_Z2_re1,zirc,0.032011244749627285,0.00024607478415932633,10082,1592,,1718825593.1367269,10000-6177-20164-001.csv
EM_23UM07_Z3,zirc,1.4555890413966248,0.0024261540407403822,10083,1592,,1718827274.5157654,10000-6178-20166-001.csv
EM_23UM07_Z3_re1,zirc,0.037798252382582116,0.0002577544775938377,10084,1592,,1718828966.1875894,10000-6179-20168-001.csv
EM_23TR01_Z1,zirc,5.866731213490256,0.008530402202496177,10085,1592,,1718830570.926333,10000-6180-20170-001.csv
EM_23TR01_Z1_re1,zirc,0.014185877501231013,0.00017854680141280907,10086,1592,,1718832061.5418415,10000-6181-20172-001.csv
std1593,std,1.210133629703671,0.0026236943125157466,10087,1593,,1718832645.3915484,10000-6182-20174-001.csv
lb03_06202024,lb,0.003750411277938007,7.050855285000061e-05,10090,1593,,1718895851.0259106,10000-6185-20180-001.csv
hb01_06202024,hb,0.0034181987119089804,5.701750004779202e-05,10091,1593,,1718897293.162851,10000-6186-20182-001.csv
std1594,std,1.2120085607346307,0.0019201890338007574,10092,1594,,1718897877.2215836,10000-6187-20184-001.csv
EM_FCTVV_Z2,zirc,0.9947668663142176,0.0015791408030710586,10093,1594,,1718899424.5215342,10000-6188-20186-001.csv
EM_FCTVV_Z2_re1,zirc,0.02504694756042768,0.0002102294323176232,10094,1594,,1718900843.412497,10000-6189-20188-001.csv
EM_23TR01_Z2,zirc,0.9187359097732196,0.0017286345520943012,10095,1594,,1718902478.4584725,10000-6190-20190-001.csv
EM_23TR01_Z2_re1,zirc,0.003920669888456222,7.595270833505158e-05,10096,1594,,1718903944.0274982,10000-6191-20192-001.csv
EM_23TR01_Z3,zirc,1.7502300113726914,0.002850330374668091,10097,1594,,1718905442.8195539,10000-6192-20194-001.csv
std1595,std,1.2098491092108676,0.002031829142736048,10098,1595,,1718906026.4980779,10000-6193-20196-001.csv
EM_23TR01_Z3_re1,zirc,0.003834177957623132,7.749528113717451e-05,10099,1595,,1718907455.936533,10000-6194-20198-001.csv
EM_23TR01_Z4,zirc,3.2930288023458614,0.0046611285339633384,10100,1595,,1718908987.9492342,10000-6195-20200-001.csv
EM_23TR01_Z4_re1,zirc,0.0044119614026021225,8.353218594117152e-05,10101,1595,,1718910497.0454626,10000-6196-20202-001.csv
EM_23TR01_Z5,zirc,1.3964537534533494,0.0017832666806888407,10102,1595,,1718912003.675304,10000-6197-20204-001.csv
EM_23TR01_Z5_re1,zirc,0.004555353757987671,6.714184096779899e-05,10103,1595,,1718913474.1148221,10000-6198-20206-001.csv
EM_23TR01_Z6,zirc,3.5270715822761987,0.006775504211469653,10104,1595,,1718914965.4499762,10000-6199-20208-001.csv
std1596,std,1.2110083647468073,0.0022807049191587987,10105,1596,,1718915618.626851,10000-6200-20210-001.csv
EM_23TR01_Z6_re1,zirc,0.004145688501397038,9.140135192599304e-05,10106,1596,,1718917063.5155792,10000-6201-20212-001.csv
EM_23TR01_Z7,zirc,4.26727008960326,0.0054769624660493885,10107,1596,,1718918708.9732835,10000-6202-20214-001.csv
EM_23TR01_Z7_re1,zirc,0.005981639400212679,8.498121644132814e-05,10108,1596,,1718920128.1315858,10000-6203-20216-001.csv
EM_23TR01_Z8,zirc,1.543280155645324,0.0022062728580144087,10109,1596,,1718921601.2980618,10000-6204-20218-001.csv
EM_23TR01_Z8_re1,zirc,0.004517152820326923,0.00010103533093233629,10110,1596,,1718923054.096683,10000-6205-20220-001.csv
std1597,std,1.2129815406425415,0.002597291202574315,10111,1597,,1718923722.5678616,10000-6206-20222-001.csv
lb01_06212024,lb,0.026920793372461883,0.0011289998301320962,10112,1597,,1718975743.5905607,10000-6207-20224-001.csv
lb03_06212024,lb,0.0035000734914056703,7.765620476616834e-05,10114,1597,,1718976836.3581119,10000-6209-20228-001.csv
hb01_06212024,hb,0.0033573192379995065,9.601140107107812e-05,10115,1597,,1718978329.8651738,10000-6210-20230-001.csv
std1598,std,1.2083863873627618,0.0019448269169657997,10116,1598,,1718978851.9052105,10000-6211-20232-001.csv
EM_23TR03_Z1,zirc,5.0671233544792695,0.00833226186544451,10117,1598,,1718980481.6912642,10000-6212-20234-001.csv
EM_23TR03_Z1_re1,zirc,0.0040811679173908665,9.189178322915303e-05,10118,1598,,1718981952.2877235,10000-6213-20236-001.csv
EM_FCTVV_Z3,zirc,0.6855209752750322,0.0011261825713538027,10119,1598,,1718983451.3100052,10000-6214-20238-001.csv
EM_FCTVV_Z3_re1,zirc,0.008725888032581123,0.00016747182610271142,10120,1598,,1718984970.56511,10000-6215-20240-001.csv
EM_23TR03_Z2,zirc,3.5558351054571062,0.004391278712046674,10121,1598,,1718986502.8859837,10000-6216-20242-001.csv
EM_23TR03_Z2_re1,zirc,0.07508741532398291,0.0005239507928426593,10122,1598,,1718987963.3616328,10000-6217-20244-001.csv
std1599,std,1.209602650337311,0.0022528666137361327,10123,1599,,1718988577.8791502,10000-6218-20246-001.csv
EM_23TR03_Z3,zirc,3.568105971394669,0.006369024407355216,10124,1599,,1718990133.2444685,10000-6219-20248-001.csv
EM_23TR03_Z3_re1,zirc,1.9046184674187656,0.0027583263540590795,10125,1599,,1718991650.6191835,10000-6220-20250-001.csv
EM_23TR03_Z3_re2,zirc,0.0932470346373614,0.00043405761443578085,10126,1599,,1718994456.847353,10000-6221-20252-001.csv
EM_23TR03_Z4,zirc,0.1449942688654432,0.0004808303372684744,10127,1599,,1718995963.3037796,10000-6222-20254-001.csv
EM_23TR03_Z4_re1,zirc,0.007194609118136313,0.00010641694007807134,10128,1599,,1718997465.0459301,10000-6223-20256-001.csv
EM_23TR03_Z5,zirc,142.52124569699762,0.1686891463602017,10129,1599,,1718999059.6981153,10000-6224-20258-001.csv
std1600,std,1.2174661505410231,0.0022315759661520693,10130,1600,,1718999666.7190115,10000-6225-20260-001.csv
