count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
,,,,,,,,,,,,,,,,
1,1730408219,3.05E-13,6.22E-12,1.06E-10,1.97E-10,-5.65E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10781,3:56:54 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.053084044E-13,6.218506179E-12,1.059778931E-10,1.974298225E-10,-5.649279127E-14]",FALSE
2,1730408220,2.93E-13,6.44E-12,1.07E-10,1.98E-10,-5.41E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10782,3:56:57 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[2.93027809E-13,6.437097817E-12,1.065696836E-10,1.975881819E-10,-5.40962674E-14]",TRUE
3,1730408222,2.65E-13,6.59E-12,1.06E-10,1.97E-10,-5.86E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10783,3:56:59 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[2.652920472E-13,6.589543581E-12,1.060575516E-10,1.972725872E-10,-5.862381435E-14]",FALSE
4,1730408225,2.96E-13,6.29E-12,1.06E-10,1.98E-10,-6.30E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10784,3:57:02 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[2.955767684E-13,6.287603251E-12,1.064964852E-10,1.975241082E-10,-6.299136017E-14]",TRUE
5,1730408227,3.06E-13,6.38E-12,1.07E-10,1.98E-10,-5.80E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10785,3:57:05 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.063127822E-13,6.384401254E-12,0.000000000107059285,1.984702819E-10,-5.798135003E-14]",FALSE
6,1730408230,2.92E-13,6.32E-12,1.06E-10,1.99E-10,-6.26E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10786,3:57:07 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[2.921480874E-13,6.324414516E-12,1.059958926E-10,1.986839304E-10,-6.263615521E-14]",TRUE
7,1730408232,3.11E-13,6.35E-12,1.06E-10,1.98E-10,-5.61E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10787,3:57:10 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.105051481E-13,6.345635389E-12,0.00000000010646619,1.977530223E-10,-5.613997155E-14]",FALSE
8,1730408235,2.97E-13,6.30E-12,1.06E-10,1.99E-10,-6.09E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10788,3:57:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[2.968860509E-13,6.296414778E-12,1.058640745E-10,1.985749204E-10,-6.094982104E-14]",TRUE
9,1730408238,3.33E-13,6.50E-12,1.07E-10,1.99E-10,-5.77E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10789,3:57:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.334920502E-13,6.501131231E-12,1.066869232E-10,1.987758291E-10,-5.770690458E-14]",FALSE
10,1730408241,3.03E-13,6.52E-12,1.07E-10,1.98E-10,-5.36E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10790,3:57:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.032455201E-13,6.516002581E-12,1.065395203E-10,1.981756981E-10,-5.362836301E-14]",TRUE
11,1730408243,3.22E-13,6.39E-12,1.06E-10,1.98E-10,-5.75E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10791,3:57:20 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.221081442E-13,6.39103527E-12,1.064216423E-10,1.980441783E-10,-5.745665039E-14]",FALSE
12,1730408246,2.86E-13,6.41E-12,1.06E-10,1.99E-10,-5.73E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10792,3:57:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[2.864345046E-13,6.408649653E-12,1.064350968E-10,1.992583043E-10,-5.732390338E-14]",TRUE
13,1730408248,3.57E-13,6.41E-12,1.06E-10,1.98E-10,-6.04E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10793,3:57:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.568346519E-13,6.411988995E-12,1.062013325E-10,1.982696923E-10,-6.035498029E-14]",FALSE
14,1730408251,3.24E-13,6.42E-12,1.06E-10,1.98E-10,-5.63E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),10794,3:57:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.243611434E-13,6.423401307E-12,1.061863861E-10,1.979719028E-10,-5.628404169E-14]",TRUE
