count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1730836442.1102452,9.629898874846665e-13,6.729820693773814e-12,1.069356547755973e-10,2.8037156472350555e-13,-6.482848654600082e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6186,1:53:59 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[9.629898874846665e-13, 6.729820693773814e-12, 1.069356547755973e-10, 2.8037156472350555e-13, -6.482848654600082e-14]",True
2,1730836444.7061894,9.92948995595655e-13,6.6349872644699825e-12,1.0681814460733463e-10,2.9699468795732487e-13,-6.430106284666809e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6187,1:54:02 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[9.92948995595655e-13, 6.6349872644699825e-12, 1.0681814460733463e-10, 2.9699468795732487e-13, -6.430106284666809e-14]",False
3,1730836447.8461092,9.039662464752074e-13,6.7812838677738796e-12,1.073208397150971e-10,3.1700046775919033e-13,-5.752077416806833e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6188,1:54:04 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[9.039662464752074e-13, 6.7812838677738796e-12, 1.073208397150971e-10, 3.1700046775919033e-13, -5.752077416806833e-14]",True
4,1730836450.3620539,8.362754932988992e-13,6.667290417677885e-12,1.0779602904742447e-10,2.918259438353804e-13,-6.604746860105343e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6189,1:54:07 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[8.362754932988992e-13, 6.667290417677885e-12, 1.0779602904742447e-10, 2.918259438353804e-13, -6.604746860105343e-14]",False
5,1730836452.879642,8.396699676706254e-13,6.706730656946824e-12,1.0757293666951995e-10,3.140584851641509e-13,-6.544525528060993e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6190,1:54:09 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[8.396699676706254e-13, 6.706730656946824e-12, 1.0757293666951995e-10, 3.140584851641509e-13, -6.544525528060993e-14]",True
6,1730836455.395657,7.813121894253983e-13,6.600174400073211e-12,1.0702936453776957e-10,2.8247231485291346e-13,-5.768007057226077e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6191,1:54:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.813121894253983e-13, 6.600174400073211e-12, 1.0702936453776957e-10, 2.8247231485291346e-13, -5.768007057226077e-14]",False
7,1730836457.9739115,7.311675678974006e-13,6.638150966409295e-12,1.0784951404163579e-10,3.0166778905611757e-13,-6.46087526469559e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6192,1:54:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.311675678974006e-13, 6.638150966409295e-12, 1.0784951404163579e-10, 3.0166778905611757e-13, -6.46087526469559e-14]",True
8,1730836460.5322888,6.883326916264088e-13,6.707372938313805e-12,1.0795511012906545e-10,2.991821742605316e-13,-6.295049252919363e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6193,1:54:17 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.883326916264088e-13, 6.707372938313805e-12, 1.0795511012906545e-10, 2.991821742605316e-13, -6.295049252919363e-14]",False
9,1730836463.55617,6.767401309476506e-13,6.6269125603701795e-12,1.0827953117464872e-10,3.087866605206574e-13,-6.196589465504165e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6194,1:54:20 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.767401309476506e-13, 6.6269125603701795e-12, 1.0827953117464872e-10, 3.087866605206574e-13, -6.196589465504165e-14]",True
10,1730836466.0632463,6.247588709394625e-13,6.803253273235388e-12,1.0802406191778857e-10,3.1618582535183903e-13,-5.905384959248999e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),6195,1:54:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.247588709394625e-13, 6.803253273235388e-12, 1.0802406191778857e-10, 3.1618582535183903e-13, -5.905384959248999e-14]",False
