"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
FCTVV_EM_z1,"Clear, few inclusions, tips abraded on one side",1,176.6,176.8,80.2,74.6,31.25,30.8
z24TR01_EM_z2,"Yellowish, fractured (only one) inclusion +nt, Clear (Mod) pic looks dark but not as dark",2,180.1,179.2,93.7,90.9,39.45,37.15
z24TR01_EM_z3,Dark + Big. Tips are comparatively a little clear,2,414.1,416.8,162.3,237.3,105.1,99.45
z24TR01_EM_z4,"Clear, yellowish fractures, few inclusions",3,218.9,218.4,78.5,83,35.1,43.8
z24TR01_EM_z5,"Clearish, yellowish, crooked shape, inclusions, fracture?",2,212.3,212.5,87.5,112.5,44.95,43.6
z24TR01_EM_z6,"Yellowish, dark inclusions that look like fracture",2,237,237,92.1,139.6,49.4,54.9
z24TR01_EM_z7,"Clear but rough looking, few inclusions",3,245,245.4,83.7,78.1,57.65,58.35
z24TR03r_EM_z1,"Yellow/Purple, wierd tips, fracture, clear, few inclusions",2,196.3,196.3,103.5,80.1,48.3,47.3
FCTVV_EM_z2,"Clear, few inclusions, tips good",1,147.6,147.6,62.4,57.7,29.35,25
z24TR03r_EM_z2,"Clear, yellowish, fabricated, dark tips, fractured",2,295.2,295.1,115.6,84,48.85,73.35
z24TR03r_EM_z3,"Weird shape, clear yellowish fabricated",3,214.9,213.7,71.5,97.1,47.45,33.65
z24TR03r_EM_z4,"yellow/brownish, rough surface, looks dark in pic (could be empty, packed w/ big tweezers)",2,200.6,199.1,90.7,102.7,51,48
z24TR03r_EM_z5,"Dark, big stubby w/ rounded tips",3,293.8,293.2,158.4,114.8,56.25,69.7
z24TR03r_EM_z6,"Dark but clear parts too (dark stripe?), blunt tips?",2,280.3,280.5,101.1,117.1,44.7,60.05
z24TR03r_EM_z7,"Clear, yellowish inclusion & scratches",3,224.5,225.1,76.1,79.4,36.9,58
