count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1718052831.823641,1.4589360535638418e-12,6.087764407164409e-12,1.1054295673273984e-10,7.226712717828265e-13,-7.110275096564728e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3633,3:53:49 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4589360535638418e-12, 6.087764407164409e-12, 1.1054295673273984e-10, 7.226712717828265e-13, -7.110275096564728e-14]",False
2,1718052834.3835003,1.4828196179608732e-12,5.832817302070525e-12,1.1053136184102641e-10,6.85493057716452e-13,-7.847976419119232e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3634,3:53:51 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4828196179608732e-12, 5.832817302070525e-12, 1.1053136184102641e-10, 6.85493057716452e-13, -7.847976419119232e-14]",True
3,1718052837.0529575,1.4420256438593682e-12,6.049169411909139e-12,1.1063573668312898e-10,7.244180841130266e-13,-8.07633379119356e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3635,3:53:54 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4420256438593682e-12, 6.049169411909139e-12, 1.1063573668312898e-10, 7.244180841130266e-13, -8.07633379119356e-14]",False
4,1718052839.5690234,1.3867689548779927e-12,6.225368744811055e-12,1.1050297482606553e-10,6.505342054971552e-13,-7.925467058892202e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3636,3:53:56 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.3867689548779927e-12, 6.225368744811055e-12, 1.1050297482606553e-10, 6.505342054971552e-13, -7.925467058892202e-14]",True
5,1718052842.097261,1.4139151004524675e-12,6.0540574289835725e-12,1.1089728441104896e-10,7.040454374010463e-13,-7.949152132976506e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3637,3:53:59 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4139151004524675e-12, 6.0540574289835725e-12, 1.1089728441104896e-10, 7.040454374010463e-13, -7.949152132976506e-14]",False
6,1718052844.6248224,1.4434100616134149e-12,6.059354407117468e-12,1.112550399029466e-10,7.464162751422143e-13,-8.042666603232454e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3638,3:54:01 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4434100616134149e-12, 6.059354407117468e-12, 1.112550399029466e-10, 7.464162751422143e-13, -8.042666603232454e-14]",True
7,1718052847.2061503,1.3764039821090313e-12,5.968297037139969e-12,1.1064277966044145e-10,7.640193274045803e-13,-7.64143387238167e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3639,3:54:04 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.3764039821090313e-12, 5.968297037139969e-12, 1.1064277966044145e-10, 7.640193274045803e-13, -7.64143387238167e-14]",False
8,1718052849.7220068,1.4975433003036609e-12,6.052376048254482e-12,1.1105022457158498e-10,7.066387405774144e-13,-8.077494565144477e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3640,3:54:07 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4975433003036609e-12, 6.052376048254482e-12, 1.1105022457158498e-10, 7.066387405774144e-13, -8.077494565144477e-14]",True
9,1718052852.2995684,1.4125955179883354e-12,6.030993413008723e-12,1.1078287592836134e-10,7.074991634214989e-13,-7.484798506896331e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3641,3:54:09 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.4125955179883354e-12, 6.030993413008723e-12, 1.1078287592836134e-10, 7.074991634214989e-13, -7.484798506896331e-14]",False
10,1718052854.8189235,1.3779843151956461e-12,6.088433576745267e-12,1.1104168279318927e-10,7.264950360047484e-13,-7.981596205361777e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3642,3:54:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.3779843151956461e-12, 6.088433576745267e-12, 1.1104168279318927e-10, 7.264950360047484e-13, -7.981596205361777e-14]",True
11,1718052857.843464,1.3766723221467214e-12,5.9876409386205864e-12,1.1069464789237315e-10,6.718647990386351e-13,-7.794622152584862e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3643,3:54:14 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.3766723221467214e-12, 5.9876409386205864e-12, 1.1069464789237315e-10, 6.718647990386351e-13, -7.794622152584862e-14]",False
12,1718052860.347562,1.3485381431324606e-12,6.0236871914087775e-12,1.1117445158914663e-10,6.342762686600834e-13,-7.61006316014716e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3644,3:54:17 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.3485381431324606e-12, 6.0236871914087775e-12, 1.1117445158914663e-10, 6.342762686600834e-13, -7.61006316014716e-14]",True
13,1718052862.8523664,1.3328005149179645e-12,5.883787380922545e-12,1.1178093173302983e-10,7.267416919989889e-13,-8.000058813106489e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3645,3:54:19 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.3328005149179645e-12, 5.883787380922545e-12, 1.1178093173302983e-10, 7.267416919989889e-13, -8.000058813106489e-14]",False
14,1718052865.3600652,1.3716459608750786e-12,5.944755538528357e-12,1.11085966814084e-10,7.268756451773994e-13,-7.674065647268052e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3646,3:54:22 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.3716459608750786e-12, 5.944755538528357e-12, 1.11085966814084e-10, 7.268756451773994e-13, -7.674065647268052e-14]",True
15,1718052867.8642826,1.411438999530945e-12,5.869696222127185e-12,1.119554587925009e-10,6.943062661260435e-13,-7.762517571004851e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),3647,3:54:25 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[1.411438999530945e-12, 5.869696222127185e-12, 1.119554587925009e-10, 6.943062661260435e-13, -7.762517571004851e-14]",False
