count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.00),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1705007474.5829382,1.178750998719058e-12,1.0729521437990996e-11,1.327584986388075e-10,1.7815005026733388e-10,8.268491007981313e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8343,3:11:10 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.178750998719058e-12, 1.0729521437990996e-11, 1.327584986388075e-10, 1.7815005026733388e-10, 8.268491007981313e-14]",False
2,1705007476.0201564,1.0869711164138152e-12,1.0782139070464325e-11,1.3281897803807396e-10,1.7847640032542245e-10,8.490718572022951e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8344,3:11:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0869711164138152e-12, 1.0782139070464325e-11, 1.3281897803807396e-10, 1.7847640032542245e-10, 8.490718572022951e-14]",True
3,1705007478.5335226,1.0745201386649916e-12,1.0802254056530014e-11,1.3244624841313168e-10,1.7901417848076306e-10,8.401751652254222e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8345,3:11:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.0745201386649916e-12, 1.0802254056530014e-11, 1.3244624841313168e-10, 1.7901417848076306e-10, 8.401751652254222e-14]",False
4,1705007481.5576036,1.1109140950898988e-12,1.0662758002932815e-11,1.339650335108189e-10,1.7914111860584114e-10,8.41829386690092e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8346,3:11:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[1.1109140950898988e-12, 1.0662758002932815e-11, 1.339650335108189e-10, 1.7914111860584114e-10, 8.41829386690092e-14]",True
5,1705007484.0694082,9.82434186086456e-13,1.0952540957509527e-11,1.3296362622039481e-10,1.7911115646196407e-10,8.918323843093087e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8347,3:11:21 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.82434186086456e-13, 1.0952540957509527e-11, 1.3296362622039481e-10, 1.7911115646196407e-10, 8.918323843093087e-14]",False
6,1705007486.5805316,9.820255502876463e-13,1.0445790933621968e-11,1.3242582030947858e-10,1.7870287194465817e-10,8.777590335346322e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8348,3:11:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.820255502876463e-13, 1.0445790933621968e-11, 1.3242582030947858e-10, 1.7870287194465817e-10, 8.777590335346322e-14]",True
7,1705007489.1136627,9.699548022407134e-13,1.066228182133866e-11,1.3367015827547846e-10,1.7979091826436644e-10,8.666864833228524e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8349,3:11:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.699548022407134e-13, 1.066228182133866e-11, 1.3367015827547846e-10, 1.7979091826436644e-10, 8.666864833228524e-14]",False
8,1705007491.6317935,9.168389788691278e-13,1.0656022071675597e-11,1.3356434014344387e-10,1.799386056822172e-10,8.323312335580327e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8350,3:11:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.168389788691278e-13, 1.0656022071675597e-11, 1.3356434014344387e-10, 1.799386056822172e-10, 8.323312335580327e-14]",True
9,1705007494.66337,9.4083757711666e-13,1.0524120637456225e-11,1.3375320295772042e-10,1.796905263473647e-10,8.340433920762946e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8351,3:11:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[9.4083757711666e-13, 1.0524120637456225e-11, 1.3375320295772042e-10, 1.796905263473647e-10, 8.340433920762946e-14]",False
10,1705007497.1662574,8.48519822113647e-13,1.0609310305276232e-11,1.340529354187936e-10,1.802728522015684e-10,8.495604935689072e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8352,3:11:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.48519822113647e-13, 1.0609310305276232e-11, 1.340529354187936e-10, 1.802728522015684e-10, 8.495604935689072e-14]",True
11,1705007499.6766465,8.145837520137644e-13,1.0639726946704009e-11,1.332596533121233e-10,1.8005345825411467e-10,8.464471392679793e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8353,3:11:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.145837520137644e-13, 1.0639726946704009e-11, 1.332596533121233e-10, 1.8005345825411467e-10, 8.464471392679793e-14]",False
12,1705007502.1828754,8.236474111252001e-13,1.0708612815935048e-11,1.342006783477956e-10,1.7884294045700244e-10,8.553380714208109e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8354,3:11:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.236474111252001e-13, 1.0708612815935048e-11, 1.342006783477956e-10, 1.7884294045700244e-10, 8.553380714208109e-14]",True
13,1705007505.2138786,8.26164711729277e-13,1.0850288549579812e-11,1.3387770059214432e-10,1.7995642476176243e-10,8.615157876369975e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8355,3:11:42 PM,"['0.97', '1.95', '2.85', '3.82', '5.00']","[8.26164711729277e-13, 1.0850288549579812e-11, 1.3387770059214432e-10, 1.7995642476176243e-10, 8.615157876369975e-14]",False
