,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb01_01082024,lb,0.195945766,0.009690981,9757,1532,for illustration purposes only,1704730454.0,10000-5852-19514-001.csv
lb02_01082024,lb,0.004011931,7.09e-05,9758,1532,,1704731783.0,10000-5853-19516-001.csv
hb01_01082024,hb,0.003988050999999999,0.000106261,9759,1532,,1704733213.0,10000-5854-19518-001.csv
std1533,std,1.197232121,0.001672035,9760,1533,,1704733832.0,10000-5855-19520-001.csv
RK-FCT_01zr,zirc,1.906808434,0.003641453,9761,1533,,1704735569.0,10000-5856-19522-001.csv
RK-FCT_01zr_re1,zirc,0.100602163,0.000415123,9762,1533,4.82% remaining,1704737190.0,10000-5857-19524-001.csv
RK-FCT_01zr_re2,zirc,0.285313159,0.000667498,9763,1533,12.31% remaining,1704738953.0,10000-5858-19526-001.csv
RK-FCT_01zr_re3,zirc,0.048693496,0.000367494,9764,1533,"1.92% remaining, done",1704740166.0,10000-5859-19528-001.csv
std1534,std,1.203142109,0.002409011,9765,1534,,1704740822.0,10000-5860-19530-001.csv
RK081623-01Aq_01zr,zirc,12.48942338,0.010386723,9766,1534,,1704742075.0,10000-5861-19532-001.csv
RK081623-01Aq_01zr_re1,zirc,0.004317367,9.63e-05,9767,1534,done,1704744049.0,10000-5862-19534-001.csv
RK081623-01Aq_02zr,zirc,0.904070835,0.001088525,9768,1534,,1704745283.0,10000-5863-19536-001.csv
RK081623-01Aq_02zr_re1,zirc,0.004375472,7.670000000000001e-05,9769,1534,"0.04%, done",1704746517.0,10000-5864-19538-001.csv
RK081623-01Aq_03zr,zirc,8.066156247,0.013774017,9770,1534,,1704747916.0,10000-5865-19540-001.csv
RK081623-01Aq_03zr_re1,zirc,0.958912098,0.002056003,9771,1534,10.59%,1704749116.0,10000-5866-19542-001.csv
RK081623-01Aq_03zr_re2,zirc,0.274223275,0.000858777,9772,1534,2.91%,1704750353.0,10000-5867-19544-001.csv
