count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1729370491.6878889,9.254195717026126e-13,6.551272545285425e-12,1.0922229787269089e-10,1.3351793282101454e-10,-6.571051889463567e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9462,3:41:27 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[9.254195717026126e-13, 6.551272545285425e-12, 1.0922229787269089e-10, 1.3351793282101454e-10, -6.571051889463567e-14]",True
2,1729370491.8692963,9.548825488994717e-13,6.602094738961117e-12,1.0980377718183831e-10,1.324075432629357e-10,-6.445121129503018e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9463,3:41:30 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[9.548825488994717e-13, 6.602094738961117e-12, 1.0980377718183831e-10, 1.324075432629357e-10, -6.445121129503018e-14]",False
3,1729370494.4668229,8.322050188726282e-13,6.583343245547546e-12,1.0982144360571766e-10,1.3321782565967055e-10,-6.29172142987619e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9464,3:41:32 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[8.322050188726282e-13, 6.583343245547546e-12, 1.0982144360571766e-10, 1.3321782565967055e-10, -6.29172142987619e-14]",True
4,1729370497.0366628,7.843324514172911e-13,6.591377183645664e-12,1.1049750697766925e-10,1.3431414314091228e-10,-6.343307091616693e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9465,3:41:35 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.843324514172911e-13, 6.591377183645664e-12, 1.1049750697766925e-10, 1.3431414314091228e-10, -6.343307091616693e-14]",False
5,1729370499.600463,7.25151113201844e-13,6.612515656562179e-12,1.1002347644062382e-10,1.3427660372489214e-10,-6.250977789860543e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9466,3:41:38 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.25151113201844e-13, 6.612515656562179e-12, 1.1002347644062382e-10, 1.3427660372489214e-10, -6.250977789860543e-14]",True
6,1729370502.6261146,7.351553719080195e-13,6.622666824662726e-12,1.1017973339244591e-10,1.3442834345678278e-10,-6.035651172646775e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9467,3:41:40 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.351553719080195e-13, 6.622666824662726e-12, 1.1017973339244591e-10, 1.3442834345678278e-10, -6.035651172646775e-14]",False
7,1729370505.1352406,6.714338286750721e-13,6.3999786373281076e-12,1.1058234189453842e-10,1.3491913142260614e-10,-6.499537236540065e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9468,3:41:43 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.714338286750721e-13, 6.3999786373281076e-12, 1.1058234189453842e-10, 1.3491913142260614e-10, -6.499537236540065e-14]",True
8,1729370507.6433787,6.660326045022924e-13,6.535201633323107e-12,1.1081340012264462e-10,1.3487212735530107e-10,-6.838911490066046e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9469,3:41:45 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.660326045022924e-13, 6.535201633323107e-12, 1.1081340012264462e-10, 1.3487212735530107e-10, -6.838911490066046e-14]",False
9,1729370510.1742613,6.19850199813643e-13,6.4658855526700254e-12,1.1073068156841614e-10,1.3543029198093137e-10,-6.119552157764566e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9470,3:41:48 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.19850199813643e-13, 6.4658855526700254e-12, 1.1073068156841614e-10, 1.3543029198093137e-10, -6.119552157764566e-14]",True
10,1729370512.7360363,6.204292179838589e-13,6.529612354283509e-12,1.1077710276863328e-10,1.356217915748914e-10,-6.372724207061656e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9471,3:41:51 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.204292179838589e-13, 6.529612354283509e-12, 1.1077710276863328e-10, 1.356217915748914e-10, -6.372724207061656e-14]",False
11,1729370515.3052075,5.732153033483067e-13,6.527554972241001e-12,1.1097854579755762e-10,1.3568089707316489e-10,-6.484802929015987e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9472,3:41:53 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.732153033483067e-13, 6.527554972241001e-12, 1.1097854579755762e-10, 1.3568089707316489e-10, -6.484802929015987e-14]",True
12,1729370517.8796616,5.108924893380828e-13,6.5456173467537404e-12,1.1098801044884254e-10,1.3580726820894284e-10,-6.41759323634361e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9473,3:41:56 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.108924893380828e-13, 6.5456173467537404e-12, 1.1098801044884254e-10, 1.3580726820894284e-10, -6.41759323634361e-14]",False
13,1729370520.5769858,4.924327005190188e-13,6.4889092363240586e-12,1.1140614125659809e-10,1.3661489994820641e-10,-6.150376703154686e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9474,3:41:58 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.924327005190188e-13, 6.4889092363240586e-12, 1.1140614125659809e-10, 1.3661489994820641e-10, -6.150376703154686e-14]",True
14,1729370523.181343,4.990576636838828e-13,6.559790904914209e-12,1.1039769098886154e-10,1.3652877439707112e-10,-6.192252656814223e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9475,3:42:01 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.990576636838828e-13, 6.559790904914209e-12, 1.1039769098886154e-10, 1.3652877439707112e-10, -6.192252656814223e-14]",False
15,1729370525.761763,5.09986530002754e-13,6.463501608933164e-12,1.1132338800790009e-10,1.3632159290288826e-10,-6.50027313876464e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9476,3:42:04 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.09986530002754e-13, 6.463501608933164e-12, 1.1132338800790009e-10, 1.3632159290288826e-10, -6.50027313876464e-14]",True
16,1729370528.786889,4.142864707974009e-13,6.52072102910739e-12,1.116087916530617e-10,1.3696586920186604e-10,-5.977661264198672e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9477,3:42:06 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.142864707974009e-13, 6.52072102910739e-12, 1.116087916530617e-10, 1.3696586920186604e-10, -5.977661264198672e-14]",False
17,1729370531.2948868,4.411753623013992e-13,6.5095060418352e-12,1.114244460587166e-10,1.3628835560108854e-10,-6.088541265126049e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),9478,3:42:09 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.411753623013992e-13, 6.5095060418352e-12, 1.114244460587166e-10, 1.3628835560108854e-10, -6.088541265126049e-14]",True
