,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
Z061124-Abg-06,,"clear interior, several small dark round inclusions, both ends moderately rounded, euhedral in view b",208.94900782779703,3.1392569799825867,1.5024033914388193,85.18620987868216,0.8513269509151363,178.3651882057828,2.6663825197021365,1.4949007407352874,8.587089328093318,0.12531339921160614,1.4593233448921252,4.016101284316077,0.05714702220013901,1.4229477334974852,0,0,0,9.310524945003625,0.0690389258295686,0.7415148580490885,2.604821878365666e-05,329.6612869929166,154.17949755688804,0.0,365.8934689187853
Z061124-Abg-07,,"cloudy interior, several small dark inclusions, only mild surface staining, both tips present but one rounded",141.5959587023764,1.9712089100701242,1.3921364198066208,101.72416155779904,0.873633552633106,123.8909076331716,1.718358181888245,1.3869929720558098,19.797890706282352,0.2757448389452238,1.3927990766093241,15.208371695724116,0.22782078422781663,1.4979958984818158,0,0,0,15.784006532580657,0.11678553720116844,0.7398979274375288,3.68765580311224e-05,536.8692677221582,412.41299372053203,0.0,633.7863212464832
Z061124-Abg-08,,"mostly clear interior with mild cloudiness, mild surface staining, one end very rounded, the other end has a rounded tip, no visible inclusions, both tips euhedral in view b",249.40520381634457,3.5810581630970577,1.4358393924025958,73.82169321986522,0.828752565366953,207.45026434952905,2.9594580930098453,1.426586802523187,6.441342829393906,0.09042321744844618,1.4037945168174584,4.197243399034976,0.06940595119892556,1.653607966001764,0,0,0,8.459945489457883,0.06262762669708606,0.7402840452710678,1.7033698412273667e-05,378.15292213654453,246.40822547443034,0.0,436.05885512303564
Z061324-pCcg-01,,"mostly cloudy interior, mild yellow surface staining, no inclusions visible, one end almost euhedral, the other broken/chipped",452.6375787221358,6.796416852707061,1.5015140527868613,49.82177185631294,0.7539400138948859,344.62233317554546,5.106955856035431,1.4818992747733573,1.066430617916047,0.014810248501054135,1.3887681253934185,0.44162048130174303,0.009332765248048028,2.1132999132056316,0,0,0,2.242289783457708,0.016628075276542146,0.7415667412488021,4.5827861823488e-06,232.70355095848547,96.36506346351091,0.0,255.34934087241052
RK24_FCT_12,,"very clear, few very small inclusions, close to euhedral with some minor surface chipping/abrasion, both tips present",26.633450808265195,0.3754190722351212,1.409577282860458,67.01871999669089,0.8133488601805037,21.672201257264835,0.30458685228057736,1.4054264662131424,2.0009897575744815,0.026845794163999223,1.3416257660679185,0.8918200059960585,0.01662525424143189,1.8641939101672684,0,0,0,0.25878252212853814,0.001961390512415494,0.7579300550449326,1.0004349946687496e-05,200.01197161610904,89.14322377250966,0.0,220.96062920264882
Z061324-pCcg-02,,"mostly clear interior with 2 darker sections near the core, only mild surface staining, both tips present but slightly chipped/rounded",567.5221086856606,8.91669937998545,1.571163350910834,47.44236834980655,0.7424980304259021,426.85818110921826,6.594320767577784,1.5448505052525925,0.8941288577589493,0.013079585034002389,1.4628299847949378,0.38138389998031286,0.0066987396575106445,1.7564295865285438,0,0,0,2.35249110089403,0.01748067388661679,0.7430707763346485,4.0709952502608014e-06,219.63397223361252,93.68320927318207,0.0,241.6495264128103
Z061324-pCcg-03,,"very cloudy interior, no inclusions visible, one tip euhedral, one tip rounded",111.02002539452917,1.6384390622039422,1.4758049787697858,50.61404732552334,0.7547307579034656,83.98389028583237,1.2320858505527126,1.4670502239886818,2.035104983161054,0.026555819454881287,1.3048869554450753,1.7871052252180497,0.02495205724503808,1.3962276475350583,0,0,0,1.1202736360555325,0.011125923044859841,0.9931433434454512,4.506318491601601e-06,451.6114400155842,396.5776561396331,0.0,544.807189208398
Z061324-pCcg-04,,"mostly clear interior, one moderate-sized reddish inclusion (zircon?), several other small inclusions, both tips slightly rounded",600.2016722128336,10.516027663585742,1.7520823667176857,48.83996544168274,0.7483240450186257,455.0898783384332,7.8427006208141705,1.723330048439761,1.21583536358991,0.018635588918495722,1.532739503765687,0.699101941702586,0.015178729751763435,2.171175453296168,0,0,0,3.5257122741217346,0.035093415021102047,0.9953567475906389,4.5968039106528e-06,264.4958077877303,152.08435149527736,0.0,300.2356303891205
Z061324-pCcg-05,,"mostly cloudy interior, moderate yellow-orange surface staining, no inclusions visible, both tips euhedral, one face lumpy",279.9487656503241,5.51988907492954,1.9717497457460746,54.66988711044116,0.7754553133515707,218.30866462152986,4.26786644682504,1.9549688759372026,2.4377992126909955,0.0468945833820304,1.9236442090021524,0.5536544888664416,0.008575956134441837,1.5489725644598935,0,0,0,3.0819471645076097,0.02356196863917006,0.76451565784498,6.0627218127956675e-06,402.0964985637148,91.32111054443024,0.0,423.55695954165594
Z061324-pCcg-06,,"mostly clear interior, some reddish surface staining, several very small inclusions, both tips present and mostly euhedral",623.8305253659234,10.200995149844324,1.635218979363133,48.25702866459108,0.7467203963028801,472.4154250979266,7.590101933345546,1.6066583625571076,0.8704065998747024,0.013094745952846319,1.504440103594268,0.34359541068292165,0.007499913804016974,2.1827747318016657,0,0,0,2.5283240900667625,0.01932823001449626,0.7644680557541135,4.434787757870934e-06,196.26792698926582,77.47730656852808,0.0,214.47509403286992
Z061324-pCcg-07,,"somewhat clear interior, possibly some small inclusions, some surface staining, both ends rounded, euhedral in view b!",626.4805787185551,9.74135124279909,1.5549326784757949,62.96609954459834,0.8009199205135699,507.1930274948348,7.772879758565281,1.5325289065896002,1.553760669176125,0.023121640786798986,1.4881082553762375,1.030499529582661,0.014123017706085898,1.3705021012290552,0,0,0,5.13551536490782,0.03931410381071756,0.7655337588776395,1.0771765585833335e-05,144.24382491386362,95.66672439826758,0.0,166.7255051474565
