"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
RK24_FCT_01,"clear, lots of small needley inclusions, both tips present but one slightly chipped, very euhedral overall",2,269.65,266.54,106.29,122.33,44.08,27.34
Z061224_XAqf_01,"very clear interior, several small inclusions including one small zircon(?), euhedral tip of core visible faintly in interior, both ends rounded with one very rounded and one only slightly rounded",3,320.04,318.45,100.33,83.71,24.43,36.57
Z061224XAqf_02,"very clear interior, several small inclusions, both ends moderately rounded, edges slightly darker in color",4,236.92,236.92,96.42,91.01,27.97,27.37
Z061224XAqf_03,"very clear interior, several inclusions, crack through center?/slight cloudiness and black speck near core, both ends present and only mildly rounded",2,260.4,261.47,105.68,99.82,49.72,50.35
Z061224XAqf_04,"extremely clear interior, many small inclusions, both end present and mildly rounded",2,248.07,250.25,80.68,64.73,23.82,22.68
Z061224_XAqf_05,"somewhat cloudy interior, core appears slightly gray/dark, exterior moderately yellow/brown/black stained, both tips present but mildly rounded",3,273.41,271.91,85.74,81.47,27.35,42.25
Z061224_XAqf_06,"cloudy interior, no inclusions visible, exterior mildly yellow stained, both tips rounded",3,275.82,272.22,102.18,103.17,22.79,29.01
Z061224_XAqf_07,"cloudy interior, no inclusions visible, both tips present and almost euhedral (rounded in view b)",3,222.34,219.14,100.48,95.9,47.52,31.93
RK24_FCT_02,"clear, several needley inclusions, both tips present and intact, very euhedral, side b shows one tip is off-center",2,238.56,236.82,83.89,83.64,40.87,37.25
Z061224_XAqf_08,"slightly cloudy interior and somewhat clear, no inclusions visible, both ends somewhat rounded but one close to euhedral",2,280.14,278.82,98.89,83.72,31.71,41.83
Z081523_01Aq_01,"stained yellow with patches of red-orange, tips mostly intact, slight abrasion on one tip. Surfaces are also slightly chipped/abraded, unable to see much of interior but patches visible towards the edges and tips appear mostly clear",2,545.99,539.83,188.85,173.89,80.97,70.97
Z081523-01Aq_02,"both tips intact, but moderately abraded. Yellow/orange staining, difficult to see interior of grain",3,498.99,497,184.41,146.07,65.57,52.78
Z081523-01Aq_03,"tips intact but mildly rounded, surface staining minimal, interior appears very clear, no inclusions visible, mild to moderate surface abrasion and rounding",2,512.36,506.72,176.46,117.38,64.27,64.27
Z081523-01Aq_04,"tips pretty rounded, surfaces chipped and abraded. Surface staining minor and patchy. Interior appears clear, some small round inclusions visible.",3,664.84,665.77,164.75,182.5,38.06,81.48
