count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
,,,,,,,,,,,,,,,,
1,1727892291,3.64E-13,6.47E-12,1.07E-10,8.80E-11,-6.78E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6749,1:04:47 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.644274281E-13,6.471068906E-12,1.067940805E-10,8.800023904E-11,-6.783302761E-14]",FALSE
2,1727892293,4.16E-13,6.39E-12,1.06E-10,8.85E-11,-6.27E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6750,1:04:50 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.155380467E-13,6.386307715E-12,0.000000000106363994,8.850049166E-11,-6.273651845E-14]",TRUE
3,1727892296,3.80E-13,6.45E-12,1.06E-10,8.78E-11,-7.03E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6751,1:04:52 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.797321886E-13,6.45093744E-12,1.062058982E-10,8.78345105E-11,-7.032475459E-14]",FALSE
4,1727892298,4.00E-13,6.56E-12,1.06E-10,8.79E-11,-6.29E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6752,1:04:55 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.999782547E-13,6.558520654E-12,1.057410964E-10,8.792092054E-11,-6.292607088E-14]",TRUE
5,1727892301,3.89E-13,6.58E-12,1.06E-10,8.78E-11,-6.61E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6753,1:04:58 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.887580904E-13,6.582624203E-12,1.064280886E-10,8.780887129E-11,-6.606915942E-14]",FALSE
6,1727892304,4.04E-13,6.47E-12,1.06E-10,8.79E-11,-6.42E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6754,1:05:00 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.036045857E-13,6.471773204E-12,1.061659302E-10,8.793528405E-11,-6.416735361E-14]",TRUE
7,1727892306,3.96E-13,6.62E-12,1.07E-10,8.81E-11,-6.69E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6755,1:05:03 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.958677732E-13,6.621710992E-12,0.000000000106518433,8.811867208E-11,-6.690116939E-14]",FALSE
8,1727892309,3.47E-13,6.37E-12,1.06E-10,8.84E-11,-6.58E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6756,1:05:05 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.471271935E-13,6.3720626E-12,1.060953547E-10,8.835401161E-11,-6.57624183E-14]",TRUE
9,1727892312,4.00E-13,6.47E-12,1.07E-10,8.77E-11,-6.42E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6757,1:05:08 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.999232586E-13,6.472854371E-12,1.072353803E-10,8.770720261E-11,-6.415512923E-14]",FALSE
10,1727892315,3.64E-13,6.38E-12,1.07E-10,8.84E-11,-6.47E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6758,1:05:11 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.636145204E-13,6.381167296E-12,1.065486865E-10,8.841167382E-11,-6.471642748E-14]",TRUE
11,1727892317,3.70E-13,6.54E-12,1.06E-10,8.87E-11,-6.77E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6759,1:05:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.695318791E-13,6.54265097E-12,1.060486907E-10,8.865889273E-11,-6.773375534E-14]",FALSE
12,1727892320,3.71E-13,6.42E-12,1.06E-10,8.79E-11,-6.85E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6760,1:05:16 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.70650586E-13,6.417329775E-12,1.063099886E-10,8.785526473E-11,-6.847150749E-14]",TRUE
13,1727892322,3.47E-13,6.44E-12,1.06E-10,8.77E-11,-6.95E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6761,1:05:19 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.473164139E-13,6.443675888E-12,1.060917049E-10,8.768134829E-11,-6.950740168E-14]",FALSE
14,1727892325,3.52E-13,6.43E-12,1.07E-10,8.82E-11,-6.87E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6762,1:05:21 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.516753674E-13,6.426471334E-12,1.066847791E-10,8.818795694E-11,-6.869216974E-14]",TRUE
15,1727892328,3.26E-13,6.52E-12,1.06E-10,8.82E-11,-6.35E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6763,1:05:24 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.264726814E-13,6.521159047E-12,1.063710162E-10,8.818094172E-11,-6.346142958E-14]",FALSE
16,1727892330,3.47E-13,6.56E-12,1.06E-10,8.85E-11,-6.81E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6764,1:05:27 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.47041135E-13,6.562161405E-12,1.063981819E-10,8.854842554E-11,-6.812263834E-14]",TRUE
17,1727892333,3.37E-13,6.48E-12,1.06E-10,8.78E-11,-6.70E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6765,1:05:29 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.37244257E-13,6.475449083E-12,1.058412039E-10,8.784460659E-11,-6.696587593E-14]",FALSE
18,1727892335,3.29E-13,6.49E-12,1.06E-10,8.86E-11,-6.12E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6766,1:05:32 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.287622182E-13,6.491834414E-12,1.062422303E-10,8.859052381E-11,-6.121501689E-14]",TRUE
19,1727892338,3.47E-13,6.42E-12,1.07E-10,8.81E-11,-6.88E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6767,1:05:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.470265525E-13,6.417671516E-12,1.065706273E-10,8.811226054E-11,-6.884596381E-14]",FALSE
20,1727892341,3.11E-13,6.38E-12,1.07E-10,8.79E-11,-6.44E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),6768,1:05:37 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.105526632E-13,6.379988118E-12,1.069890981E-10,8.786715799E-11,-6.443807212E-14]",TRUE
