count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1728421328.7500532,6.859439231898801e-13,6.5821141939648165e-12,1.118284770340594e-10,1.367052582246231e-10,-6.015622570389179e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8508,4:02:04 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.859439231898801e-13, 6.5821141939648165e-12, 1.118284770340594e-10, 1.367052582246231e-10, -6.015622570389179e-14]",False
2,1728421330.1196508,6.48259928810041e-13,6.568766364178913e-12,1.1208673572626893e-10,1.3693131351022458e-10,-6.254393026703872e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8509,4:02:07 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.48259928810041e-13, 6.568766364178913e-12, 1.1208673572626893e-10, 1.3693131351022458e-10, -6.254393026703872e-14]",True
3,1728421332.6534793,6.086283278576576e-13,6.516836549563809e-12,1.1209922573529596e-10,1.3725981462542336e-10,-6.173207968028158e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8510,4:02:10 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.086283278576576e-13, 6.516836549563809e-12, 1.1209922573529596e-10, 1.3725981462542336e-10, -6.173207968028158e-14]",False
4,1728421335.1819048,5.592033997317558e-13,6.4677542835345214e-12,1.1244566389123634e-10,1.3729092862568848e-10,-5.974696648883282e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8511,4:02:12 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.592033997317558e-13, 6.4677542835345214e-12, 1.1244566389123634e-10, 1.3729092862568848e-10, -5.974696648883282e-14]",True
5,1728421337.7027473,5.522365876219071e-13,6.4080676528965874e-12,1.1257997312164036e-10,1.378049202527265e-10,-6.448937521150166e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8512,4:02:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.522365876219071e-13, 6.4080676528965874e-12, 1.1257997312164036e-10, 1.378049202527265e-10, -6.448937521150166e-14]",False
6,1728421340.2214,5.286959563720328e-13,6.509680381544536e-12,1.1208309280696938e-10,1.3822423761133962e-10,-5.981233032730654e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8513,4:02:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.286959563720328e-13, 6.509680381544536e-12, 1.1208309280696938e-10, 1.3822423761133962e-10, -5.981233032730654e-14]",True
7,1728421342.8082879,5.116185795329964e-13,6.408784527373035e-12,1.1169301594726733e-10,1.3825789124677357e-10,-6.430471525273665e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8514,4:02:20 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.116185795329964e-13, 6.408784527373035e-12, 1.1169301594726733e-10, 1.3825789124677357e-10, -6.430471525273665e-14]",False
8,1728421345.3272817,4.594123475740175e-13,6.513648127814964e-12,1.1299598062786131e-10,1.3830120382252176e-10,-6.098612825682082e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8515,4:02:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.594123475740175e-13, 6.513648127814964e-12, 1.1299598062786131e-10, 1.3830120382252176e-10, -6.098612825682082e-14]",True
9,1728421347.9244502,5.050236487683102e-13,6.535854323030943e-12,1.1289708057304892e-10,1.387392006835242e-10,-6.439596441807846e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8516,4:02:25 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[5.050236487683102e-13, 6.535854323030943e-12, 1.1289708057304892e-10, 1.387392006835242e-10, -6.439596441807846e-14]",False
10,1728421350.9509668,4.292764874038596e-13,6.407796602353466e-12,1.1236172409168077e-10,1.3794775044484453e-10,-6.69261941330622e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8517,4:02:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.292764874038596e-13, 6.407796602353466e-12, 1.1236172409168077e-10, 1.3794775044484453e-10, -6.69261941330622e-14]",True
