,aliquot_type,intercept,error,QST,QRT,diff_temp,diff_time,cool_time,notes,time_of_collection,file
lb02_09102024,lb,0.003256631,7.020000000000001e-05,10485,1669,,,,,1725986048.0,10000-6576-20970-001.csv
std1670,std,1.213957774,0.002018341,10486,1670,,,,,1725986561.0,10000-6577-20972-001.csv
RS24_GZ8_150_1,zirc,0.27758703100000004,0.00103674,10487,1670,150.0,3600.0,185.0,,1725991335.0,10000-6578-20974-001.csv
RS24_GZ8_175_1,zirc,0.284359533,0.000853665,10489,1670,175.0,7200.0,226.0,,1726010412.0,10000-6580-20978-001.csv
std1671,std,1.220113403,0.002057646,10490,1671,,,,,1726011084.0,10000-6581-20980-001.csv
lb02_09112024,lb,0.003148293,8.8e-05,10492,1671,,,,,1726073625.0,10000-6583-20984-001.csv
std1672,std,1.213492118,0.001434785,10493,1672,,,,,1726074095.0,10000-6584-20986-001.csv
RS24_GZ8_200_1,zirc,0.306958383,0.000768605,10494,1672,200.0,7200.0,217.0,,1726082099.0,10000-6585-20988-001.csv
RS24_GZ8_225_1,zirc,0.438530089,0.001026488,10495,1672,225.0,7200.0,230.0,,1726090688.0,10000-6586-20990-001.csv
RS24_GZ8_250_1,zirc,0.722218771,0.0013754420000000002,10496,1672,250.0,7200.0,245.0,,1726099482.0,10000-6587-20992-001.csv
std1673,std,1.220396351,0.002535955,10497,1673,,,,,1726100016.0,10000-6588-20994-001.csv
lb02_09122024,lb,0.0031246190000000004,7.36e-05,10499,1673,,,,,1726165900.0,10000-6590-20998-001.csv
std1674,std,1.208840823,0.0014554720000000002,10500,1674,,,,,1726166381.0,10000-6591-21000-001.csv
RS24_GZ8_275_1,zirc,1.156957569,0.002391045,10501,1674,275.0,7200.0,253.0,,1726174579.0,10000-6592-21002-001.csv
cb01_09122024,hb,0.003279887,8.4e-05,10502,1674,,,,,1726179047.0,10000-6593-21004-001.csv
std1675,std,1.217485373,0.002331656,10503,1675,,,,,1726179586.0,10000-6594-21006-001.csv
lb02_09132024,lb,0.0032139309999999997,6.9e-05,10505,1675,,,,,1726247254.0,10000-6596-21010-001.csv
std1676,std,1.219349995,0.002299168,10506,1676,,,,,1726247819.0,10000-6597-21012-001.csv
RS24_GZ8_300_1,zirc,1.963943895,0.004065936,10507,1676,300.0,7200.0,262.0,,1726256177.0,10000-6598-21014-001.csv
RS24_GZ8_325_1,zirc,2.8407384369999997,0.00438544,10508,1676,325.0,7200.0,273.0,,1726265319.0,10000-6599-21016-001.csv
std1677,std,1.2246524540000001,0.002393111,10509,1677,,,,,1726266158.0,10000-6600-21018-001.csv
lb02_09162024,lb,0.003136486,8.51e-05,10511,1677,,,,,1726501713.0,10000-6602-21022-001.csv
std1678,std,1.211028215,0.0017860320000000001,10512,1678,,,,,1726502261.0,10000-6603-21024-001.csv
RS24_GZ8_350_1,zirc,4.3072027319999995,0.007713495,10513,1678,350.0,7200.0,280.0,,1726511447.0,10000-6604-21026-001.csv
RS24_GZ8_375_1,zirc,5.366768607,0.012664308999999999,10514,1678,375.0,5400.0,300.0,,1726511447.0,10000-6605-21028-001.csv
RS24_GZ8_400_1,zirc,5.920558922000001,0.010594247,10515,1678,400.0,3600.0,309.0,,1726530563.0,10000-6605-21030-001.csv
std1679,std,1.2207177009999999,0.002405718,10516,1679,,,,,1726531077.0,10000-6606-21032-001.csv
lb02_09172024,lb,0.003277328,4.5799999999999995e-05,10518,1679,,,,,1726609087.0,10000-6608-21036-001.csv
std1680,std,1.216572808,0.0023399000000000002,10519,1680,,,,,1726609637.0,10000-6609-21038-001.csv
RS24_GZ8_370_2,zirc,3.067952183,0.004386814,10520,1680,370.0,7200.0,290.0,,1726618329.0,10000-6610-21040-001.csv
std1681,std,1.226308123,0.00264962,10521,1681,,,,,1726619034.0,10000-6611-21042-001.csv
lb02_09182024,lb,0.0031240940000000004,5.56e-05,10523,1681,,,,,1726677858.0,10000-6613-21046-001.csv
std1682,std,1.2131112,0.002907528,10524,1682,,,,,1726678328.0,10000-6614-21048-001.csv
