count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
1,1767991096.3557577,4.598733720218018e-12,1.2914917399409198e-11,1.6956204496043625e-10,5.050523801258811e-13,-5.82907881034947e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8343,2:38:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.598733720218018e-12, 1.2914917399409198e-11, 1.6956204496043625e-10, 5.050523801258811e-13, -5.82907881034947e-14]",False
2,1767991097.9250596,4.402713436879591e-12,1.2864698889503146e-11,1.698205187583568e-10,5.182657688423964e-13,-5.824593601487169e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8344,2:38:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.402713436879591e-12, 1.2864698889503146e-11, 1.698205187583568e-10, 5.182657688423964e-13, -5.824593601487169e-14]",True
3,1767991100.525514,4.262294944074041e-12,1.2758207684759881e-11,1.6931205049086628e-10,4.94590967573677e-13,-5.892963390484104e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8345,2:38:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.262294944074041e-12, 1.2758207684759881e-11, 1.6931205049086628e-10, 4.94590967573677e-13, -5.892963390484104e-14]",False
4,1767991103.1071527,4.3178321161574384e-12,1.2718984719606308e-11,1.7008611186142275e-10,5.885337247928113e-13,-5.884905735463464e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8346,2:38:21 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.3178321161574384e-12, 1.2718984719606308e-11, 1.7008611186142275e-10, 5.885337247928113e-13, -5.884905735463464e-14]",True
5,1767991105.6859977,4.251500627244775e-12,1.294914349359022e-11,1.7063890578317142e-10,5.464614221198372e-13,-5.716155088326957e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8347,2:38:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.251500627244775e-12, 1.294914349359022e-11, 1.7063890578317142e-10, 5.464614221198372e-13, -5.716155088326957e-14]",False
6,1767991108.2151222,4.081086163454373e-12,1.2844830234171045e-11,1.6964077365066998e-10,5.501345906600008e-13,-5.933188646336032e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8348,2:38:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.081086163454373e-12, 1.2844830234171045e-11, 1.6964077365066998e-10, 5.501345906600008e-13, -5.933188646336032e-14]",True
7,1767991110.8231094,4.196460453437245e-12,1.2821419273501e-11,1.7047128986202864e-10,5.643240323822962e-13,-5.822431295779418e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8349,2:38:29 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.196460453437245e-12, 1.2821419273501e-11, 1.7047128986202864e-10, 5.643240323822962e-13, -5.822431295779418e-14]",False
8,1767991113.978456,3.972837250149075e-12,1.2886196450179188e-11,1.7015744369075492e-10,5.523174691039745e-13,-5.531498517693731e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8350,2:38:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.972837250149075e-12, 1.2886196450179188e-11, 1.7015744369075492e-10, 5.523174691039745e-13, -5.531498517693731e-14]",True
9,1767991116.5168307,4.133589304178287e-12,1.3105397843327093e-11,1.6983398021253038e-10,5.46164513354902e-13,-5.798223771773248e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8351,2:38:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[4.133589304178287e-12, 1.3105397843327093e-11, 1.6983398021253038e-10, 5.46164513354902e-13, -5.798223771773248e-14]",False
10,1767991119.0427973,3.925742543542388e-12,1.3059960231320833e-11,1.7032757149149091e-10,4.98097440029821e-13,-5.772742310214407e-14,True,(UIUC Quad) HeliumMID.par,5,IVT,(A),8352,2:38:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[3.925742543542388e-12, 1.3059960231320833e-11, 1.7032757149149091e-10, 4.98097440029821e-13, -5.772742310214407e-14]",True
