,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
FCT_Zr_25-1,,"Prisitine, transparent, whole grain, minor inclusion",25.07805394183463,0.3445243061009493,1.373807979279532,82.60976812245985,0.8465815228861692,21.238214465001473,0.29108082098854043,1.3705522254152462,1.8994887627446528,0.023837986956572528,1.2549685696549213,1.0319989395192544,0.015456372100937983,1.497712013942395,0,0,0,0.24576777774159492,0.002055390251850445,0.8363139670862478,1.7780189866666666e-05,106.83174797282177,58.042065200551654,0.0,120.47163329495142
Dupont6002-1,,"Opaque, whole grain, rounded, polished 40-50%",645.1698259628473,12.16377876092233,1.8853607641630146,58.34829044525132,0.7850178051999075,512.4285746277899,9.519564284132933,1.8577348640339992,0.23505887230772984,0.0044201894899455725,1.8804606039966167,0.21030749965522166,0.00612312457986314,2.9115103312537105,0,0,0,0.8214371275375588,0.006771385526031044,0.8243339994053815,3.905230051873376e-06,60.19078752991002,53.852781234830246,0.0,72.84619112009513
Dupont6002-45,,"Mostly opaque, whole grain (slightly chipped side), 50% polished",755.2658685785296,10.948421998036478,1.449611647172972,95.52468746069896,0.8636196089415328,657.6406412097489,9.433074566230811,1.4343813285137608,0.8311629659932321,0.011910975121331283,1.433049306654054,1.261555273010176,0.018431161659201195,1.4609872475284342,0,0,0,4.218912755619945,0.03474721390279861,0.8236058888990396,2.7514030599999996e-05,30.208695268123755,45.85134367809332,0.0,40.983761032475684
Dupont6002-72,,"Opaque, rounded, whole grain, 40% polished",905.145047197639,16.13984329258772,1.7831223120048267,71.00817245309905,0.8207935093121126,753.1971556765442,13.18932619805946,1.7511120559413709,0.4805072169187969,0.008665698522514127,1.8034481517430743,0.4900762054189856,0.006702542095241605,1.3676530345951678,0,0,0,2.5809275249094785,0.021260940697534578,0.8237713183472778,1.0785242799999999e-05,44.55228554695096,45.43951531800338,0.0,55.23057164668175
Dupont6002-101,,"Opaque, chipped, 50% polished",1004.9359307957102,29.401271474116772,2.925686162981235,46.85950250890216,0.7384297050047738,759.6384650402101,21.595140518448318,2.8428181973783038,0.10167756765477184,0.002990386613313705,2.941048534389643,0.06040114690714116,0.0023316103713717775,3.8602087721220304,0,0,0,0.5082435267325641,0.004183575342013442,0.8231438517100531,3.3414798666666667e-06,30.428903273986062,18.076166643911293,0.0,34.67680243530522
Dupont6002-103,,"Translucent to opaque, whole grain, 40% polished",805.1892498684864,15.00274380426243,1.8632568438678068,72.91163301548877,0.8253327565978594,672.4693459023873,12.3395675037084,1.8349635680641951,0.6620432711756695,0.012487562576019944,1.88621546652748,0.6571319343299676,0.01415764402915603,2.154459902118683,0,0,0,3.136297489163135,0.025894007691506,0.8256234550764937,1.15774824e-05,57.18369921043193,56.75948462940162,0.0,70.52217809834131
Dupont6002-109,,"Translucent to opaque, whole grain and good shape, 50% polished",138.5190145218,9.32950890808664,6.735182848574461,62.35845895987289,0.7952259398890473,110.40214325613678,7.4733249956255445,6.769184705307009,0.008194259172752348,0.0005413638417784708,6.606623373332157,0.013037558224713995,0.002240286736495625,17.18333063509498,0,0,0,0.006769994406157492,8.537455387189827e-05,1.2610727387639762,8.0458784e-06,1.018441836350938,1.6204020961482584,0.0,1.3992363289457788
Dupont6002-140,,"Translucent, whole grain, 40% polished",814.8718013462027,13.375715058601807,1.6414502301471914,66.02640571859435,0.807525746241138,666.6481869180568,10.763779170828846,1.6146116320499213,0.6276586925751153,0.010490133795280958,1.6713118004058467,0.7218065825815257,0.014842640907557852,2.05631830821956,0,0,0,3.031816677319823,0.022406606835709133,0.7390488680706431,8.950017599999998e-06,70.12932494960853,80.64862158276938,0.0,89.08175102155934
FCT_Zr_25-2,,"Transparent/translucent, whole grain, some minor non  zircon material",24.06594917425755,0.32269493739607086,1.3408776652002807,105.34993461998224,0.8787223145803547,21.15301343465208,0.2830967732800643,1.3383283386768225,5.645823817485755,0.0720241500465872,1.2757066528275336,2.7519492162447174,0.04322244136901417,1.5706118817117956,0,0,0,0.7190153828094442,0.005326650863472902,0.7408257167822776,4.2938423999999994e-05,131.48651700597478,64.09059671693394,0.0,146.54780723445424
Dupont6002-148,,"Opaque to slightly translucent, non whole grain, rounded, 50% polished",705.0393345142407,11.721623764608074,1.6625489090880383,40.636764706741836,0.6987784379957446,501.4039202672613,8.161905867540224,1.6278105410882542,0.13443289050429252,0.002225007317386926,1.6551063575590381,0.14945741908293927,0.003943785727708601,2.638735334724369,0,0,0,0.4781900882521097,0.0035487349598162543,0.7421180503317548,1.3568600062810752e-06,99.0764632180076,110.14947628427555,0.0,124.96159014481236
Dupont6002-174,,"Translucent, subrounded, 50% polished",1122.2322425634213,24.849546479693625,2.214296251454323,53.53370638912983,0.7667902440810623,880.2238507744531,18.982132516907427,2.1565119486601336,0.16617788733364774,0.0037061140545986567,2.2302089129088607,0.15748742991985973,0.0052928018763452244,3.3607773515883523,0,0,0,1.0413891047777313,0.007708846359389308,0.7402464961484924,5.4515451e-06,30.48271348496186,28.88858608541269,0.0,37.27153121503384
