,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
lb02_12022025,lb,0.0031584029999999997,4.7432233921204776e-05,12178,1984,,1764700093.8049579,10000-8245-24356-001.csv
lb01_12032025,lb,0.003228618,3.505675571364762e-05,12181,1984,,1764775834.9398036,10000-8248-24362-001.csv
hb01_12032025,hb,0.00314459,5.762370694140327e-05,12182,1984,,1764777634.5847921,10000-8249-24364-001.csv
std1985,std,1.2512948540260769,0.001733849,12183,1985,,1764778551.108204,10000-8250-24366-001.csv
FCT_Zr_25-1,zirc,0.957283434,0.001308434,12184,1985,,1764782645.9858472,10000-8251-24368-001.csv
FCT_Zr_25-1_re1,zirc,0.07036988400000001,0.00020940900000000003,12185,1985,,1764784189.3471189,10000-8252-24370-001.csv
FCT_Zr_25-1_re2,zirc,0.017528199960734937,0.000118211,12186,1985,,1764785803.4633427,10000-8253-24372-001.csv
Dupont6002-1,zirc,3.4548206956280145,0.003668222,12187,1985,,1764787673.3842762,10000-8254-24374-001.csv
Dupont6002-1_re1,zirc,0.013279722429853723,0.00011803,12188,1985,,1764789300.7307262,10000-8255-24376-001.csv
std1986,std,1.2466974918920672,0.000962583,12189,1986,,1764789885.6230946,10000-8256-24378-001.csv
Dupont6002-45,zirc,17.75309556,0.019083360470399047,12190,1986,,1764791398.173838,10000-8257-24380-001.csv
Dupont6002-45_re1,zirc,0.033105314,0.000179563,12191,1986,,1764792844.396802,10000-8258-24382-001.csv
Dupont6002-72,zirc,10.869042462062616,0.011720447289505805,12192,1986,,1764796984.270719,10000-8259-24384-001.csv
Dupont6002-72_re1,zirc,0.014139922324457519,0.000125213,12193,1986,,1764798436.7890122,10000-8260-24386-001.csv
Dupont6002-101,zirc,2.1445077549606393,0.001982442,12194,1986,,1764799969.658189,10000-8261-24388-001.csv
Dupont6002-101_re1,zirc,0.0036899090000000003,7.809282336073476e-05,12195,1986,,1764801513.661383,10000-8262-24390-001.csv
Dupont6002-103,zirc,13.205198818485684,0.016056883,12196,1986,,1764802921.3477132,10000-8263-24392-001.csv
std1987,std,1.239280166,0.001656597,12198,1987,,1764803994.5875432,10000-8265-24396-001.csv
lb01_12042025,lb,0.003148958,7.188351657164645e-05,12199,1987,,1764862787.530686,10000-8267-24398-001.csv
hb01_12042025,hb,0.003135126,5.861364665892122e-05,12200,1987,,1764864278.8970253,10000-8268-24400-001.csv
std1988,std,1.2448697169652827,0.001848359,12201,1988,,1764864871.6823719,10000-8269-24402-001.csv
Dupont6002-103_re1,zirc,0.018498645,0.000122331,12202,1988,,1764866373.1768808,10000-8270-24404-001.csv
Dupont6002-109,zirc,0.031324668,0.000213025,12203,1988,,1764867890.0949786,10000-8271-24406-001.csv
Dupont6002-109_re1,zirc,0.003492242,6.29981955860198e-05,12204,1988,,1764869397.1389086,10000-8272-24408-001.csv
Dupont6002-140,zirc,11.075641080239274,0.012417974195358035,12205,1988,,1764871342.4565532,10000-8273-24410-001.csv
Dupont6002-140_re1,zirc,1.0477553309645518,0.0013630489999999999,12206,1988,,1764872856.480845,10000-8274-24412-001.csv
Dupont6002-140_re2,zirc,0.6701013328736709,0.001121678,12207,1988,,1764874358.2138226,10000-8275-24414-001.csv
std1989,std,1.2451032157638369,0.001706319,12208,1989,,1764874963.6844594,10000-8276-24416-001.csv
FCT_Zr_25-2,zirc,2.9008429769366115,0.003273186,12209,1989,,1764876546.5607386,10000-8277-24418-001.csv
FCT_Zr_25-2_re1,zirc,0.13725935621426796,0.000518384,12210,1989,,1764878024.5898488,10000-8278-24420-001.csv
Dupont6002-148,zirc,2.0182396610766644,0.002589675,12211,1989,,1764879520.5536845,10000-8279-24422-001.csv
Dupont6002-148_re1,zirc,0.004388078,3.942855431740595e-05,12212,1989,,1764880977.751918,10000-8280-24424-001.csv
Dupont6002-174,zirc,3.3432579908047484,0.003282755,12213,1989,,1764882479.408528,10000-8281-24426-001.csv
Dupont6002-174_re1,zirc,1.042315702311565,0.0018245870000000001,12214,1989,,1764884176.9897325,10000-8282-24428-001.csv
Dupont6002-174_re2,zirc,0.014999067825316481,0.00015513299999999998,12215,1989,,1764885626.1528566,10000-8283-24430-001.csv
Dupont6002-209,zirc,1.7509908862925372,0.0019868489999999997,12217,1989,,1764887673.3280032,10000-8285-24434-001.csv
Dupont6002-209_re1,zirc,0.4170444129337306,0.000652178,12218,1989,,1764889130.0848026,10000-8286-24436-001.csv
std1990,std,1.2491012624285491,0.001161678,12219,1990,,1764889715.148534,10000-8287-24438-001.csv
lb03_12052025,lb,0.003136194,5.678127427389346e-05,12222,1990,,1764947158.0625782,10000-8290-24444-001.csv
hb01_12052025,hb,0.0032020620000000003,5.6092644738520335e-05,12223,1990,,1764948596.1422675,10000-8291-24446-001.csv
std1991,std,1.243328719713785,0.002363985,12224,1991,,1764949131.555792,10000-8292-24448-001.csv
Dupont6002-209_re2,zirc,0.09949371,0.000347074,12225,1991,,1764950541.8738148,10000-8293-24450-001.csv
Dupont6002-292,zirc,10.579399869070203,0.01408510366564724,12226,1991,,1764952013.900213,10000-8294-24452-001.csv
Dupont6002-292_re1,zirc,0.017281303961469024,0.00011941600000000001,12227,1991,,1764953452.485726,10000-8295-24454-001.csv
Dupont6002-296,zirc,0.21448027481104506,0.000411666,12228,1991,,1764955021.2410483,10000-8296-24456-001.csv
Dupont6002-296_re1,zirc,0.004208999000000001,6.342249228273621e-05,12229,1991,,1764956428.2796485,10000-8297-24458-001.csv
McClure4863-31,zirc,25.29952330187998,0.02454013081759436,12230,1991,,1764957877.0900273,10000-8298-24460-001.csv
McClure4863-31_re1,zirc,0.017110042,0.000160198,12231,1991,,1764959323.8215344,10000-8299-24462-001.csv
std1992,std,1.2474181030861498,0.0011702,12232,1992,,1764959892.7590566,10000-8300-24464-001.csv
McClure4863-50,zirc,1.0343783749226998,0.00154095,12233,1992,,1764961312.9512374,10000-8301-24466-001.csv
McClure4863-50_re1,zirc,0.0035269959999999997,4.002505526963533e-05,12234,1992,,1764962845.4760656,10000-8302-24468-001.csv
FCT_Zr_25-3,zirc,0.003304745,4.382874830130883e-05,12235,1992,,1764964305.0941527,10000-8303-24470-001.csv
FCT_Zr_25-3_re1,zirc,0.003290424,6.195739349772064e-05,12236,1992,,1764965813.4818184,10000-8304-24472-001.csv
McClure4863-60,zirc,4.706829062247637,0.005483283,12237,1992,,1764967288.5638762,10000-8305-24474-001.csv
McClure4863-60_re1,zirc,0.0036944409999999997,5.698260387900344e-05,12238,1992,,1764968760.773054,10000-8306-24476-001.csv
McClure4863-101,zirc,9.970653486618405,0.009381154000000001,12239,1992,,1764970191.4175816,10000-8307-24478-001.csv
McClure4863-101_re1,zirc,0.057076035931477975,0.000270115,12240,1992,,1764971605.9288094,10000-8308-24480-001.csv
McClure4863-166,zirc,1.6580439890891934,0.001808674,12241,1992,,1764973017.895259,10000-8309-24482-001.csv
std1993,std,1.2489178476425506,0.001488765,12242,1993,,1764973503.7162395,10000-8310-24484-001.csv
McClure4863-166_re1,zirc,0.004255444000000001,6.107575125794009e-05,12243,1993,,1764974860.9183745,10000-8311-24486-001.csv
McClure4863-178,zirc,2.471148811588568,0.003405257,12244,1993,,1764976297.1213078,10000-8312-24488-001.csv
McClure4863-178_re1,zirc,0.007562116,8.563941260376303e-05,12245,1993,,1764977659.781261,10000-8313-24490-001.csv
std1994,std,1.2496491044837756,0.0016297820000000002,12246,1994,,1764978155.577431,10000-8314-24492-001.csv
lb03_12062025,lb,0.0030881790000000004,5.410764192471212e-05,12250,1994,,1765036229.1099343,10000-8318-24500-001.csv
hb01_12062025,hb,0.003162827,4.480463598031385e-05,12251,1994,,1765037594.761304,10000-8319-24502-001.csv
std1995,std,1.2463449309267618,0.002084764,12252,1995,,1765038106.948512,10000-8320-24504-001.csv
McClure4863-186,zirc,11.332603843867359,0.010731344892457615,12253,1995,,1765039574.5571008,10000-8321-24506-001.csv
McClure4863-186_re1,zirc,0.2711916258389341,0.00065748,12254,1995,,1765041175.7516441,10000-8322-24508-001.csv
McClure4863-218,zirc,17.66514523,0.019389207752189004,12255,1995,,1765042679.4602938,10000-8323-24510-001.csv
McClure4863-218_re1,zirc,0.5650147857808845,0.001143215,12256,1995,,1765044103.301417,10000-8324-24512-001.csv
McClure4863-222,zirc,24.95895999916164,0.018124209941627712,12257,1995,,1765045586.9732888,10000-8325-24514-001.csv
McClure4863-222_re1,zirc,0.010771265362996576,0.000115735,12258,1995,,1765047430.406034,10000-8326-24516-001.csv
McClure4863-293,zirc,2.5207997365928723,0.0023989370000000003,12259,1995,,1765048916.430334,10000-8327-24518-001.csv
std1996,std,1.2495304596458359,0.0012997430000000001,12260,1996,,1765049433.8488505,10000-8328-24520-001.csv
McClure4863-293_re1,zirc,0.005112585,8.258210109119674e-05,12261,1996,,1765050810.2300773,10000-8329-24522-001.csv
McClure4863-301,zirc,5.983744844352706,0.007589156999999999,12262,1996,,1765052176.3649778,10000-8330-24524-001.csv
McClure4863-301_re1,zirc,0.037868213040648725,0.000183412,12263,1996,,1765053567.799698,10000-8331-24526-001.csv
CPBD4700-8,zirc,3.834422029290446,0.003852602,12264,1996,,1765055004.2656946,10000-8332-24528-001.csv
CPBD4700-8_re1,zirc,0.024092287060555183,0.000141542,12265,1996,,1765056597.0,10000-8333-24530-001.csv
CPBD4700-111,zirc,7.258881588381213,0.007617301,12266,1996,,1765058032.7708726,10000-8334-24532-001.csv
std1997,std,1.2479501659999999,0.001760239,12267,1997,,1765058526.3947086,10000-8335-24534-001.csv
lb04_12082025,lb,0.003054709,4.7218766260717e-05,12271,1997,,1765209540.7449727,10000-8339-24542-001.csv
hb01_12082025,hb,0.0032076279999999997,6.911200047916418e-05,12272,1997,,1765210916.7133214,10000-8340-24544-001.csv
std1998,std,1.2456252330756186,0.0018896779999999999,12273,1998,,1765211470.702043,10000-8341-24546-001.csv
FCT_Zr_25-4,zirc,2.906089633508357,0.004267937,12274,1998,,1765212862.2582972,10000-8342-24548-001.csv
FCT_Zr_25-4_re1,zirc,0.022755065,0.00012142,12275,1998,,1765214251.6537206,10000-8343-24550-001.csv
CPBD4700-111_re1,zirc,0.011786482832823564,9.604464034364544e-05,12276,1998,,1765215672.576118,10000-8344-24552-001.csv
CPBD4700-124,zirc,2.053864303622395,0.003404473,12277,1998,,1765217048.7310317,10000-8345-24554-001.csv
CPBD4700-124_re1,zirc,0.003365726,6.126643244934496e-05,12278,1998,,1765218437.9909766,10000-8346-24556-001.csv
CPBD4700-130,zirc,11.559300702735966,0.012356927,12279,1998,,1765219874.3402886,10000-8347-24558-001.csv
CPBD4700-130_re1,zirc,0.11711679664136528,0.000378994,12280,1998,,1765221263.62439,10000-8348-24560-001.csv
CPBD4700-163,zirc,11.623867263696821,0.014580158761370287,12281,1998,,1765222877.2090786,10000-8349-24562-001.csv
CPBD4700-163_re1,zirc,0.015518999660381578,0.000118723,12282,1998,,1765224331.144166,10000-8350-24564-001.csv
std1999,std,1.2473349808471492,0.001662707,12283,1999,,1765224851.0057254,10000-8351-24566-001.csv
CPBD4700-189,zirc,2.147321468142992,0.002254368,12284,1999,,1765226216.9331508,10000-8352-24568-001.csv
CPBD4700-189_re1,zirc,0.0069779759999999994,6.992194205702017e-05,12285,1999,,1765227595.6665394,10000-8353-24570-001.csv
CPBD4700-302,zirc,3.3021548849858378,0.003298003,12286,1999,,1765228985.5461733,10000-8354-24572-001.csv
CPBD4700-302_re1,zirc,0.10225591022306547,0.000342626,12287,1999,,1765230375.185416,10000-8355-24574-001.csv
std2000,std,1.248919522636052,0.001797271,12288,2000,,1765230915.4819129,10000-8356-24576-001.csv
lb03_01072026,lb,0.00292243405403112,3.9721994146246636e-05,12291,2000,,1767801183.3939428,10000-8359-24582-001.csv
hb01_01072026,hb,0.0031485923775671923,4.077574808247742e-05,12292,2000,,1767802782.1297717,10000-8360-24584-001.csv
std2001,std,1.2500939464931826,0.0018519636928496788,12293,2001,,1767803312.0363705,10000-8361-24586-001.csv
FCT_Zr_25-5,zirc,2.0602094737119874,0.0018701816841018095,12294,2001,,1767804724.5542643,10000-8362-24588-001.csv
FCT_Zr_25-5_re1,zirc,0.05367040559484765,0.0002945844473636344,12295,2001,,1767806122.3178277,10000-8363-24590-001.csv
Couisineau6687-7,zirc,4.397517683747957,0.005202701955910945,12296,2001,,1767807532.4246194,10000-8364-24592-001.csv
Couisineau6687-7_re1,zirc,0.018107517260209295,0.00012218509059589718,12297,2001,,1767809117.4477112,10000-8365-24594-001.csv
Couisineau6687-253,zirc,2.5592266577905365,0.0027273636471424082,12298,2001,,1767810499.4516828,10000-8366-24596-001.csv
Couisineau6687-253_re1,zirc,0.00757508238890711,8.034929161607635e-05,12299,2001,,1767811886.6328897,10000-8367-24598-001.csv
Couisineau6687-213,zirc,2.5379122334033246,0.002638859291851802,12300,2001,,1767813265.4524875,10000-8368-24600-001.csv
Couisineau6687-213_re1,zirc,0.0031029466011842886,6.72983488679882e-05,12301,2001,,1767814631.5135741,10000-8369-24602-001.csv
std2002,std,1.2543743615098508,0.0017172335911909554,12302,2002,,1767815133.1232193,10000-8370-24604-001.csv
Couisineau6687-13,zirc,5.048824251246467,0.005702941541443344,12303,2002,,1767816504.3545814,10000-8371-24606-001.csv
Couisineau6687-13_re1,zirc,0.12884850137232517,0.0004146325637966537,12304,2002,,1767817885.8387082,10000-8372-24608-001.csv
Couisineau6687-172,zirc,4.069076343880015,0.0030094430216375816,12305,2002,,1767819257.6187143,10000-8373-24610-001.csv
Couisineau6687-172_re1,zirc,0.0033939048533408018,5.684857843105624e-05,12306,2002,,1767820636.8978336,10000-8374-24612-001.csv
Couisineau6687-291,zirc,2.1834930349145,0.002732342986497577,12307,2002,,1767822068.3536623,10000-8375-24614-001.csv
Couisineau6687-291_re1,zirc,0.005516966117620174,6.406077602823036e-05,12308,2002,,1767823478.6781695,10000-8376-24616-001.csv
Couisineau6687-114,zirc,1.8935525620417608,0.002376762150503268,12309,2002,,1767824868.6493843,10000-8377-24618-001.csv
Couisineau6687-114_re1,zirc,0.014113612323389129,7.824345202407404e-05,12310,2002,,1767826252.6944058,10000-8378-24620-001.csv
std2003,std,1.2551004400734045,0.001876008134446887,12311,2003,,1767826738.717615,10000-8379-24622-001.csv
lb03_01082026,lb,0.0037471928001682427,6.060350616215989e-05,12314,2003,,1767884893.27845,10000-8382-24628-001.csv
hb01_01082026,hb,0.003170347007690367,4.74735799027492e-05,12315,2003,,1767886264.2004035,10000-8383-24630-001.csv
std2004,std,1.2498387793870758,0.0014299045758976235,12316,2004,,1767886763.226878,10000-8384-24632-001.csv
FCT_Zr_25-6,zirc,2.694969819397042,0.0029366304395487285,12317,2004,,1767888134.0007234,10000-8385-24634-001.csv
FCT_Zr_25-6_re1,zirc,0.15499080525136624,0.00042791915359879814,12318,2004,,1767889510.1788974,10000-8386-24636-001.csv
AK5660-185,zirc,2.1546344652287885,0.0026182685113212063,12319,2004,,1767890896.6762493,10000-8387-24638-001.csv
AK5660-185_re1,zirc,0.0034046389163421204,5.8471053471986966e-05,12320,2004,,1767892259.6513786,10000-8388-24640-001.csv
AK5660-199,zirc,3.5790318340395855,0.0040887241006099155,12321,2004,,1767893635.791761,10000-8389-24642-001.csv
AK5660-199_re1,zirc,0.005293308048861188,5.676961864229347e-05,12322,2004,,1767895001.0095544,10000-8390-24644-001.csv
AK5660-267,zirc,9.619622828624843,0.00821696773175428,12323,2004,,1767896427.081486,10000-8391-24646-001.csv
AK5660-267_re1,zirc,0.11638198640123772,0.0003798107884479468,12324,2004,,1767897823.4491005,10000-8392-24648-001.csv
AK5660-121,zirc,10.531180958115145,0.013294723780554409,12325,2004,,1767899204.3892531,10000-8393-24650-001.csv
std2005,std,1.2551127874552919,0.0019624940681924586,12326,2005,,1767899695.7273853,10000-8394-24652-001.csv
AK5660-121_re1,zirc,0.013283846397741172,0.00014530703118897635,12327,2005,,1767901074.4659202,10000-8395-24654-001.csv
AK5660-96,zirc,6.023950753512219,0.007003402841464754,12328,2005,,1767902453.109728,10000-8396-24656-001.csv
AK5660-96_re1,zirc,0.041403407576597905,0.00018595154059105254,12329,2005,,1767903837.0292945,10000-8397-24658-001.csv
AK5660-40,zirc,11.612130806293273,0.008092764968783092,12330,2005,,1767905213.0077157,10000-8398-24660-001.csv
AK5660-40_re1,zirc,0.019389793379856503,0.0001539171588785326,12331,2005,,1767906581.0627863,10000-8399-24662-001.csv
AK5660-264,zirc,17.727530838801137,0.015089724144878072,12332,2005,,1767907957.233136,10000-8400-24664-001.csv
AK5660-264_re1,zirc,0.007989387453759784,0.00010529856670050872,12333,2005,,1767909335.942551,10000-8401-24666-001.csv
Carter5282-201,zirc,4.641172761725393,0.005799911691298875,12334,2005,,1767910703.9172556,10000-8402-24668-001.csv
Carter5282-201_re1,zirc,0.011963822810201018,9.301743693570206e-05,12336,2005,,1767912396.153825,10000-8404-24672-001.csv
