"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
Dur251,Placeholder I don’t have dimensions for now.,DUR,394.11,407.58,133..38,215.34,,
CTJ4ap1,C axis is short,1.5,122.29,127.43,129.43,79.58,,
CTJ4ap2,,1.5,167.89,167.89,119.05,92.08,,
CTJ4ap3,,1.5,168.63,168.63,100.99,90.29,,
CTJ4ap4,,1,244.54,244.54,85.14,78,,
CTJ4ap5,,1,210.85,212.56,103.75,64.52,,
CTJ4ap6,,2,155.18,155.18,110.18,86.63,,
CTJ4ap7,,1.5,237.21,230.69,121.33,85.4,,
CTJ4ap8,,1,282.4,283.47,113.81,91.61,,
CTJ4ap9,,1,212.66,212.66,112.94,104.24,,
CTJ4ap10,possible inclusion,1,228.39,105.42,98.53,79.86,,
CTJ4ap11,,2,270.08,272.4,172.54,127.28,,
CTJ4ap12,,1.5,167.75,160.95,108.63,104.49,,
CTJ4ap13,,1.5,173.95,173.95,121.56,89.71,,
CTJ4ap14,,1.5,174.32,179.75,128.1,103.64,,
CTJ4ap15,,1,167.42,166.17,116.85,90.29,,
CTJ4ap16,,1.5,167.51,167.3,117.33,90.42,,
CTJ4ap17,,1,211.5,211.08,119.92,76.89,,
CTJ4ap18,,1.5,142.21,141.69,91.57,81.38,,
CTJ4ap19,,1,144.1,146.97,100.94,62.46,,
CTJ4ap20,,1,168.98,168.49,102.48,91.82,,
CTJ4ap21,,2,155.49,174.54,127.58,98.46,,
CTJ4ap22,somewhere between 2Tip and 1T,1.5,182.99,195.35,119.58,111.47,,
CTJ4ap23,,1,170.45,166.88,98.58,75.51,,
CTJ4ap24,,1.5,184.84,176.4,122.15,103.66,,
CTJ4ap25,,1,137.3,137.13,136.34,109.35,,
Dur252,,DUR,320.21,311.1,234.59,147.75,,
CTJ4ap26,,1.5,157.25,166.08,104.92,96.16,,
CTJ4ap27,,1.5,161.11,162.75,72.88,59.91,,
CTJ4ap28,,1,142.38,136.79,116.54,87.87,,
CTJ4ap29,,1,231.87,232.98,129.45,90.98,,
CTJ4ap30,,2,131.67,131.67,130.99,98.96,,
CTJ4ap31,,1,134.08,134.08,116.19,106.56,,
CTJ4ap32,,1.5,110.92,110.66,128.98,102.98,,
CTJ4ap33,,1,154.07,154.11,123.86,112.21,,
CTJ4ap34,,1,199.55,196.72,98.62,80.61,,
CTJ4ap35,,1.5,155.92,155.92,113.19,95.68,,
CTJ4ap36,,1.5,183.46,181.77,121.2,120.85,,
CTJ4ap37,,1,155.07,155.07,160.96,103.71,,
CTJ4ap38,,1.5,129.42,129.42,129.2,101.39,,
CTJ4ap39,,1,205.49,205.49,134.76,112.47,,
CTJ4ap40,,1.5,125.73,125.73,124.3,101,,
CTJ4ap41,,2,126.49,126.42,119.28,85.86,,
CTJ4ap43,,1.5,148.9,138.14,109.26,90.62,,
CTJ4ap44,,1,204.26,209.03,93.06,93.06,,
CTJ4ap45,,1.5,138.85,139.67,121.21,96.51,,
CTJ4ap46,,1,212.78,213.18,125.88,91,,
CTJ4ap47,,1.5,182.72,169.98,118.93,89.44,,
CTJ4ap48,,2,156.83,149.45,103.27,92.61,,
CTJ4ap49,,1.5,217.01,217.01,124.79,119.39,,
Dur253,,DUR,455.4,425.35,251.95,134.1,,
CTJ3ap17,,2,105.25,105.25,105.98,95.81,,
CTJ3ap18,,1.5,128.64,128.64,97.89,73.24,,
CTJ3ap19,,1.5,98.24,98.24,68.68,45.07,,
CTJ3ap20,,1.5,69.75,69.75,55.81,51.52,,
CTJ3ap21,,1,113.75,113.75,45.84,35.67,,
CTJ3ap22,,1,109.42,109.42,43.65,34.43,,
CTJ3ap23,,1.5,116.76,116.76,57.7,55.82,,
CTJ3ap24,,1.5,114.68,114.68,81.74,64.99,,
CTJ3ap25,,1.5,101.51,101.51,94.69,76.38,,
CTJ3ap26,,2,104.78,104.78,87.84,76.16,,
CTJ3ap27,,1,95.77,97.46,58.78,58.61,,
CTJ3ap29,,1,135.53,135.13,89.71,68.88,,
CTJ3ap30,,1,91.82,94.72,52.91,44.59,,
CTJ3ap31,,1,131.12,126.49,98.92,71.19,,
CTJ3ap32,,1,134.65,128.63,118.34,98.4,,
CTJ3ap33,,2,76.55,54.96,85.86,81.21,,
CTJ3ap34,,2,150.31,118.64,98.93,65.2,,
CTJ3ap35,,1,162.44,166.66,86.82,62.48,,
CTJ3ap36,,1.5,64.69,71.96,53.06,51.6,,
CTJ3ap37,,1.5,133.98,141.73,98.18,87.26,,
CTJ3ap38,,1,119.89,122.72,80.99,91.2,,
CTJ3ap39,,1.5,136.05,137.69,66.35,77.59,,
CTJ3ap40,,1.5,142.49,146.55,104.42,84.82,,
CTJ3ap41,,2,138.8,146.34,87.72,68.37,,
CTJ3ap42,,2,104.25,103.11,48.69,69.64,,
CTJ3ap43,,1,120.35,125.33,44.06,61.29,,
CTJ3ap44,,1,80.94,80.01,51.63,33.71,,
CTJ3ap45,,1.5,92.3,88.69,64.51,102.15,,
CTJ3ap47,,1,117.91,113.63,99.17,77.67,,
CTJ3ap48,,1.5,92,93.76,78.22,68.65,,
CTJ3ap49,,2,128.95,131.73,88.11,81.73,,
CTJ3ap50,,1,155.59,160.44,40.99,49.49,,
CTJ3ap51,,1,123.53,122.49,82.48,74.8,,
Dur254,,DUR,380.91,415.61,230.04,149.84,,
CTJ1ap51,,1,151.44,151.44,76.56,56.81,,
CTJ1ap52,,1,213.18,213.18,88.45,82.74,,
CTJ1ap53,,2,121.83,121.83,78.64,53.29,,
CTJ1ap54,,1,138.69,138.69,91.74,52.84,,
CTJ1ap55,,2,97.63,97.63,75.92,75.21,,
CTJ1ap56,,1,172.3,172.3,105.65,90.85,,
CTJ1ap57,,1.5,139.8,139.8,95.2,84.08,,
CTJ1ap58,,1.5,121.27,121.27,92.52,74.54,,
CTJ1ap59,,1.5,110.79,110.79,76.8,75.16,,
CTJ1ap60,,2,84.25,84.25,66.24,64,,
CTJ1ap49,,1.5,107.58,107.58,85,65.42,,
CTJ1ap50,,2,159.27,159.27,77.26,66.88,,
Dur255,,DUR,425.78,427.84,194.4,134.69,,
CTJ1ap61,,1,132.05,132.05,69.88,51.23,,
CTJ1ap62,,1.5,116.44,116.44,89.86,82.75,,
CTJ1ap63,,1.5,136.21,136.21,105.73,76.29,,
CTJ1ap64,,1,116.32,116.32,95.28,78.93,,
CTJ1ap65,,1,139.34,139.34,86.71,81.54,,
CTJ1ap66,,2,100,100,102.32,71.05,,
CTJ1ap67,,1,119.78,119.78,71.94,62.79,,
CTJ1ap68,,2,201.84,201.84,121.44,102.12,,
